店,日付,時間,レシート,顧客,商品,大分類,中分類,小分類,細分類,メーカー,ブランド,仕入単価,単価,数量,金額,仕入金額,粗利金額,年月
B,20010404,143329,1000140,00104B,0000255,1,14,1406,140621,1894,189400,256,333,1,333,256,77,20014
C,20010404,172851,1000117,00222C,0000540,1,14,1403,140323,1789,178900,286,372,1,372,286,86,20014
D,20010404,172851,1000126,00222D,0000558,1,13,1301,130198,1839,183902,312,518,1,518,312,206,20014
A,20010404,172851,1000133,00222A,0000540,1,14,1403,140323,1789,178900,286,372,1,372,286,86,20014
B,20010404,172851,1000141,00222B,0000645,1,11,1118,111897,0002,000202,205,267,4,1068,820,248,20014
C,20010404,172851,1000117,00222C,0000120,1,11,1197,119701,1924,192404,327,426,1,426,327,99,20014
D,20010404,172851,1000126,00222D,0000377,1,11,1105,110511,0302,030201,571,743,1,743,571,172,20014
A,20010404,172851,1000133,00222A,0000398,1,11,1104,110409,1193,119302,471,613,1,613,471,142,20014
B,20010404,172851,1000141,00222B,0000398,1,11,1104,110409,1193,119302,471,613,4,2452,1884,568,20014
C,20010404,172851,1000117,00222C,0000558,1,13,1301,130198,1839,183902,312,406,4,1624,1248,376,20014
D,20010404,172851,1000126,00222D,0000645,1,11,1118,111897,0002,000202,205,267,1,267,205,62,20014
A,20010404,172851,1000133,00222A,0000558,1,13,1301,130198,1839,183902,312,406,1,406,312,94,20014
B,20010404,172851,1000141,00222B,0000377,1,11,1105,110511,0302,030201,571,743,1,743,571,172,20014
C,20010404,172851,1000117,00222C,0000344,1,11,1104,110411,0370,037000,189,246,6,1476,1134,342,20014
D,20010404,172851,1000126,00222D,0000120,1,11,1197,119701,1924,192404,327,426,6,2556,1962,594,20014
A,20010404,172851,1000133,00222A,0000377,1,11,1105,110511,0302,030201,571,743,1,743,571,172,20014
B,20010404,172851,1000141,00222B,0000540,1,14,1403,140323,1789,178900,286,372,5,1860,1430,430,20014
C,20010404,172851,1000117,00222C,0000377,1,11,1105,110511,0302,030201,571,743,1,743,571,172,20014
D,20010404,172851,1000126,00222D,0000503,1,14,1403,140327,0371,037101,262,341,1,341,262,79,20014
A,20010404,172851,1000133,00222A,0000507,1,11,1102,110297,1145,114501,252,328,1,328,252,76,20014
B,20010404,172851,1000141,00222B,0000344,1,11,1104,110411,0370,037000,189,246,1,246,189,57,20014
C,20010404,172851,1000117,00222C,0000398,1,11,1104,110409,1193,119302,471,702,1,702,471,231,20014
D,20010404,172851,1000126,00222D,0000540,1,14,1403,140323,1789,178900,286,372,3,1116,858,258,20014
A,20010404,172851,1000133,00222A,0000344,1,11,1104,110411,0370,037000,189,246,1,246,189,57,20014
B,20010404,172851,1000141,00222B,0000503,1,14,1403,140327,0371,037101,262,341,6,2046,1572,474,20014
C,20010404,172851,1000117,00222C,0000503,1,14,1403,140327,0371,037101,262,341,1,341,262,79,20014
D,20010404,172851,1000126,00222D,0000398,1,11,1104,110409,1193,119302,471,613,1,613,471,142,20014
A,20010404,172851,1000133,00222A,0000645,1,11,1118,111897,0002,000202,205,267,1,267,205,62,20014
B,20010404,114827,1000139,00097B,0000227,1,11,1115,111509,0752,075203,274,357,1,357,274,83,20014
C,20010404,114827,1000115,00097C,0000227,1,11,1115,111509,0752,075203,274,357,1,357,274,83,20014
D,20010404,172851,1000126,00222D,0000507,1,11,1102,110297,1145,114501,252,328,1,328,252,76,20014
A,20010404,172851,1000133,00222A,0000120,1,11,1197,119701,1924,192404,327,426,1,426,327,99,20014
B,20010404,172851,1000141,00222B,0000558,1,13,1301,130198,1839,183902,312,513,1,513,312,201,20014
C,20010404,114827,1000115,00097C,0000355,1,14,1403,140309,0585,058501,336,437,1,437,336,101,20014
D,20010404,114827,1000124,00097D,0000462,1,14,1406,140681,1674,167405,231,301,1,301,231,70,20014
A,20010404,172851,1000133,00222A,0000503,1,14,1403,140327,0371,037101,262,512,5,2560,1310,1250,20014
B,20010404,172851,1000141,00222B,0000507,1,11,1102,110297,1145,114501,252,328,1,328,252,76,20014
C,20010405,135246,1000119,00030C,0000168,1,14,1406,140621,0418,041802,431,561,4,2244,1724,520,20014
D,20010405,112229,1000130,00144D,0000371,1,11,1120,112005,0438,043802,400,520,1,520,400,120,20014
A,20010405,112229,1000137,00144A,0000345,1,11,1121,112105,0188,018800,343,692,1,692,343,349,20014
B,20010405,112229,1000145,00144B,0000345,1,11,1121,112105,0188,018800,343,446,1,446,343,103,20014
C,20010405,112229,1000121,00144C,0000195,1,14,1403,140316,0590,059000,362,471,1,471,362,109,20014
D,20010405,123331,1000131,00200D,0000347,1,11,1119,111905,1646,164603,297,387,7,2709,2079,630,20014
A,20010405,112229,1000137,00144A,0000518,1,11,1110,111011,1369,136902,361,470,5,2350,1805,545,20014
B,20010405,112229,1000145,00144B,0000387,1,14,1403,140325,1291,129100,269,350,1,350,269,81,20014
C,20010405,123331,1000122,00200C,0000365,1,14,1401,140111,0769,076900,161,210,1,210,161,49,20014
D,20010405,123331,1000131,00200D,0000548,1,11,1115,111503,1207,120700,305,397,3,1191,915,276,20014
A,20010405,112229,1000137,00144A,0000195,1,14,1403,140316,0590,059000,362,471,1,471,362,109,20014
B,20010405,112229,1000145,00144B,0000354,1,11,1112,111211,0869,086900,188,245,5,1225,940,285,20014
C,20010405,123331,1000122,00200C,0000336,1,11,1111,111101,1496,149602,393,511,1,511,393,118,20014
D,20010405,112355,1000129,00129D,0000203,1,11,1116,111603,1012,101201,242,315,1,315,242,73,20014
A,20010405,112229,1000137,00144A,0000421,1,11,1105,110597,0616,061601,412,536,5,2680,2060,620,20014
B,20010405,112229,1000145,00144B,0000518,1,11,1110,111011,1369,136902,361,470,1,470,361,109,20014
C,20010405,123331,1000122,00200C,0000429,1,11,1119,111997,1117,111700,295,384,7,2688,2065,623,20014
D,20010405,112355,1000129,00129D,0000518,1,11,1110,111011,1369,136902,361,470,6,2820,2166,654,20014
A,20010405,112229,1000137,00144A,0000354,1,11,1112,111211,0869,086900,188,313,1,313,188,125,20014
B,20010405,112229,1000145,00144B,0000371,1,11,1120,112005,0438,043802,400,520,1,520,400,120,20014
C,20010405,123331,1000122,00200C,0000347,1,11,1119,111905,1646,164603,297,387,1,387,297,90,20014
D,20010405,112355,1000129,00129D,0000126,1,11,1108,110803,1496,149603,333,433,1,433,333,100,20014
A,20010405,112229,1000137,00144A,0000352,1,11,1101,110125,1322,132200,345,449,1,449,345,104,20014
B,20010405,112229,1000145,00144B,0000421,1,11,1105,110597,0616,061601,412,570,1,570,412,158,20014
C,20010405,123331,1000122,00200C,0000548,1,11,1115,111503,1207,120700,305,397,4,1588,1220,368,20014
D,20010405,123331,1000131,00200D,0000429,1,11,1119,111997,1117,111700,295,384,1,384,295,89,20014
A,20010405,112229,1000137,00144A,0000371,1,11,1120,112005,0438,043802,400,520,1,520,400,120,20014
B,20010405,112229,1000145,00144B,0000352,1,11,1101,110125,1322,132200,345,449,5,2245,1725,520,20014
C,20010405,123331,1000122,00200C,0000359,1,11,1116,111603,0567,056702,325,423,1,423,325,98,20014
D,20010405,112355,1000129,00129D,0000358,1,11,1104,110403,0344,034403,272,354,7,2478,1904,574,20014
A,20010405,112229,1000137,00144A,0000387,1,14,1403,140325,1291,129100,269,350,1,350,269,81,20014
B,20010405,112229,1000145,00144B,0000267,1,11,1106,110603,0268,026800,423,550,1,550,423,127,20014
C,20010405,123331,1000122,00200C,0000513,1,11,1110,111001,1955,195503,388,505,1,505,388,117,20014
D,20010405,112355,1000129,00129D,0000554,1,11,1108,110807,1716,171603,250,325,1,325,250,75,20014
A,20010405,112229,1000137,00144A,0000267,1,11,1106,110603,0268,026800,423,550,6,3300,2538,762,20014
B,20010405,112229,1000145,00144B,0000195,1,14,1403,140316,0590,059000,362,471,6,2826,2172,654,20014
C,20010405,123331,1000122,00200C,0000338,1,14,1401,140105,1875,187504,331,431,1,431,331,100,20014
D,20010405,112229,1000130,00144D,0000387,1,14,1403,140325,1291,129100,269,350,1,350,269,81,20014
A,20010405,112355,1000136,00129A,0000554,1,11,1108,110807,1716,171603,250,325,4,1300,1000,300,20014
B,20010405,112355,1000144,00129B,0000622,1,11,1120,112005,0449,044901,230,299,1,299,230,69,20014
C,20010405,123331,1000122,00200C,0000452,1,11,1108,110802,0506,050602,235,318,1,318,235,83,20014
D,20010405,112229,1000130,00144D,0000345,1,11,1121,112105,0188,018800,343,446,1,446,343,103,20014
A,20010405,112355,1000136,00129A,0000203,1,11,1116,111603,1012,101201,242,315,1,315,242,73,20014
B,20010405,112355,1000144,00129B,0000203,1,11,1116,111603,1012,101201,242,315,5,1575,1210,365,20014
C,20010405,123331,1000122,00200C,0000324,1,11,1120,112005,1854,185406,286,372,1,372,286,86,20014
D,20010405,123331,1000131,00200D,0000359,1,11,1116,111603,0567,056702,325,423,7,2961,2275,686,20014
A,20010405,112355,1000136,00129A,0000622,1,11,1120,112005,0449,044901,230,299,1,299,230,69,20014
B,20010405,112355,1000144,00129B,0000518,1,11,1110,111011,1369,136902,361,470,5,2350,1805,545,20014
C,20010405,123331,1000122,00200C,0000418,1,11,1105,110501,1844,184400,197,257,1,257,197,60,20014
D,20010405,112229,1000130,00144D,0000195,1,14,1403,140316,0590,059000,362,471,1,471,362,109,20014
A,20010405,112355,1000136,00129A,0000126,1,11,1108,110803,1496,149603,333,433,1,433,333,100,20014
B,20010405,112355,1000144,00129B,0000358,1,11,1104,110403,0344,034403,272,354,1,354,272,82,20014
C,20010405,112355,1000120,00129C,0000203,1,11,1116,111603,1012,101201,242,315,1,315,242,73,20014
D,20010405,112229,1000130,00144D,0000352,1,11,1101,110125,1322,132200,345,449,3,1347,1035,312,20014
A,20010405,112355,1000136,00129A,0000518,1,11,1110,111011,1369,136902,361,470,4,1880,1444,436,20014
B,20010405,112355,1000144,00129B,0000126,1,11,1108,110803,1496,149603,333,433,1,433,333,100,20014
C,20010405,112355,1000120,00129C,0000518,1,11,1110,111011,1369,136902,361,470,1,470,361,109,20014
D,20010405,112229,1000130,00144D,0000518,1,11,1110,111011,1369,136902,361,470,1,470,361,109,20014
A,20010405,112355,1000136,00129A,0000358,1,11,1104,110403,0344,034403,272,354,1,354,272,82,20014
B,20010405,123331,1000146,00200B,0000452,1,11,1108,110802,0506,050602,235,359,6,2154,1410,744,20014
C,20010405,112355,1000120,00129C,0000126,1,11,1108,110803,1496,149603,333,433,6,2598,1998,600,20014
D,20010405,112229,1000130,00144D,0000267,1,11,1106,110603,0268,026800,423,550,1,550,423,127,20014
A,20010405,123331,1000138,00200A,0000513,1,11,1110,111001,1955,195503,388,505,1,505,388,117,20014
B,20010405,135246,1000143,00030B,0000168,1,14,1406,140621,0418,041802,431,561,1,561,431,130,20014
C,20010405,112355,1000120,00129C,0000622,1,11,1120,112005,0449,044901,230,299,1,299,230,69,20014
D,20010405,112229,1000130,00144D,0000421,1,11,1105,110597,0616,061601,412,536,5,2680,2060,620,20014
A,20010405,123331,1000138,00200A,0000365,1,14,1401,140111,0769,076900,161,210,5,1050,805,245,20014
B,20010405,123331,1000146,00200B,0000513,1,11,1110,111001,1955,195503,388,505,3,1515,1164,351,20014
C,20010405,112355,1000120,00129C,0000358,1,11,1104,110403,0344,034403,272,354,1,354,272,82,20014
D,20010405,112229,1000130,00144D,0000354,1,11,1112,111211,0869,086900,188,245,1,245,188,57,20014
A,20010405,123331,1000138,00200A,0000548,1,11,1115,111503,1207,120700,305,563,3,1689,915,774,20014
B,20010405,123331,1000146,00200B,0000347,1,11,1119,111905,1646,164603,297,485,3,1455,891,564,20014
C,20010405,112355,1000120,00129C,0000554,1,11,1108,110807,1716,171603,250,325,1,325,250,75,20014
D,20010405,123331,1000131,00200D,0000452,1,11,1108,110802,0506,050602,235,306,1,306,235,71,20014
A,20010405,123331,1000138,00200A,0000324,1,11,1120,112005,1854,185406,286,372,1,372,286,86,20014
B,20010405,123331,1000146,00200B,0000429,1,11,1119,111997,1117,111700,295,384,1,384,295,89,20014
C,20010405,112229,1000121,00144C,0000267,1,11,1106,110603,0268,026800,423,550,6,3300,2538,762,20014
D,20010405,123331,1000131,00200D,0000365,1,14,1401,140111,0769,076900,161,210,1,210,161,49,20014
A,20010405,123331,1000138,00200A,0000418,1,11,1105,110501,1844,184400,197,311,1,311,197,114,20014
B,20010405,123331,1000146,00200B,0000336,1,11,1111,111101,1496,149602,393,622,1,622,393,229,20014
C,20010405,135246,1000119,00030C,0000264,1,11,1115,111509,0969,096902,469,610,1,610,469,141,20014
D,20010405,123331,1000131,00200D,0000513,1,11,1110,111001,1955,195503,388,505,3,1515,1164,351,20014
A,20010405,123331,1000138,00200A,0000359,1,11,1116,111603,0567,056702,325,423,1,423,325,98,20014
B,20010405,123331,1000146,00200B,0000548,1,11,1115,111503,1207,120700,305,485,6,2910,1830,1080,20014
C,20010405,112229,1000121,00144C,0000352,1,11,1101,110125,1322,132200,345,449,3,1347,1035,312,20014
D,20010405,123331,1000131,00200D,0000280,1,14,1403,140316,0175,017501,253,329,1,329,253,76,20014
A,20010405,123331,1000138,00200A,0000429,1,11,1119,111997,1117,111700,295,384,1,384,295,89,20014
B,20010405,123331,1000146,00200B,0000365,1,14,1401,140111,0769,076900,161,299,5,1495,805,690,20014
C,20010405,112229,1000121,00144C,0000421,1,11,1105,110597,0616,061601,412,536,2,1072,824,248,20014
D,20010405,123331,1000131,00200D,0000418,1,11,1105,110501,1844,184400,197,257,1,257,197,60,20014
A,20010405,123331,1000138,00200A,0000280,1,14,1403,140316,0175,017501,253,329,5,1645,1265,380,20014
B,20010405,123331,1000146,00200B,0000418,1,11,1105,110501,1844,184400,197,257,1,257,197,60,20014
C,20010405,112229,1000121,00144C,0000345,1,11,1121,112105,0188,018800,343,446,8,3568,2744,824,20014
D,20010405,123331,1000131,00200D,0000338,1,14,1401,140105,1875,187504,331,431,1,431,331,100,20014
A,20010405,123331,1000138,00200A,0000452,1,11,1108,110802,0506,050602,235,384,7,2688,1645,1043,20014
B,20010405,123331,1000146,00200B,0000359,1,11,1116,111603,0567,056702,325,423,4,1692,1300,392,20014
C,20010405,112229,1000121,00144C,0000518,1,11,1110,111011,1369,136902,361,470,1,470,361,109,20014
D,20010405,123331,1000131,00200D,0000336,1,11,1111,111101,1496,149602,393,511,1,511,393,118,20014
A,20010405,123331,1000138,00200A,0000347,1,11,1119,111905,1646,164603,297,387,1,387,297,90,20014
