店,日付,時間,レシート,顧客,商品,大分類,中分類,小分類,細分類,メーカー,ブランド,仕入単価,単価,数量,金額,仕入金額,粗利金額,年月
B,20010701,163424,1000437,00053B,0000580,1,14,1403,140315,1613,161302,420,546,1,546,420,126,20017
C,20010701,163424,1000364,00053C,0000356,1,11,1108,110802,0751,075103,181,321,1,321,181,140,20017
D,20010701,163424,1000379,00053D,0000356,1,11,1108,110802,0751,075103,181,551,1,551,181,370,20017
A,20010701,163424,1000400,00053A,0000092,1,14,1403,140316,0399,039902,359,467,1,467,359,108,20017
B,20010701,163424,1000437,00053B,0000368,1,13,1301,130139,0054,005401,335,436,1,436,335,101,20017
C,20010701,163424,1000364,00053C,0000429,1,11,1119,111997,1117,111700,295,384,6,2304,1770,534,20017
D,20010701,163424,1000379,00053D,0000446,1,11,1115,111503,0931,093101,328,427,1,427,328,99,20017
A,20010701,163424,1000400,00053A,0000580,1,14,1403,140315,1613,161302,420,546,1,546,420,126,20017
B,20010701,163424,1000437,00053B,0000429,1,11,1119,111997,1117,111700,295,384,5,1920,1475,445,20017
C,20010701,163424,1000364,00053C,0000092,1,14,1403,140316,0399,039902,359,467,1,467,359,108,20017
D,20010701,163424,1000379,00053D,0000092,1,14,1403,140316,0399,039902,359,467,1,467,359,108,20017
A,20010701,163424,1000400,00053A,0000368,1,13,1301,130139,0054,005401,335,436,7,3052,2345,707,20017
B,20010701,163424,1000437,00053B,0000092,1,14,1403,140316,0399,039902,359,467,1,467,359,108,20017
C,20010701,163424,1000364,00053C,0000487,1,11,1117,111705,0717,071700,207,270,1,270,207,63,20017
D,20010701,163424,1000379,00053D,0000429,1,11,1119,111997,1117,111700,295,384,1,384,295,89,20017
A,20010701,163424,1000400,00053A,0000429,1,11,1119,111997,1117,111700,295,384,1,384,295,89,20017
B,20010701,163424,1000437,00053B,0000432,1,11,1105,110509,1258,125804,331,522,1,522,331,191,20017
C,20010701,163424,1000364,00053C,0000368,1,13,1301,130139,0054,005401,335,436,1,436,335,101,20017
D,20010701,163424,1000379,00053D,0000368,1,13,1301,130139,0054,005401,335,436,1,436,335,101,20017
A,20010701,163424,1000400,00053A,0000356,1,11,1108,110802,0751,075103,181,274,4,1096,724,372,20017
B,20010701,163424,1000437,00053B,0000356,1,11,1108,110802,0751,075103,181,282,1,282,181,101,20017
C,20010701,163424,1000364,00053C,0000580,1,14,1403,140315,1613,161302,420,546,1,546,420,126,20017
D,20010701,163424,1000379,00053D,0000432,1,11,1105,110509,1258,125804,331,519,1,519,331,188,20017
A,20010701,163424,1000400,00053A,0000487,1,11,1117,111705,0717,071700,207,270,1,270,207,63,20017
B,20010701,163424,1000437,00053B,0000487,1,11,1117,111705,0717,071700,207,368,1,368,207,161,20017
C,20010701,163424,1000364,00053C,0000446,1,11,1115,111503,0931,093101,328,436,6,2616,1968,648,20017
D,20010701,163424,1000379,00053D,0000487,1,11,1117,111705,0717,071700,207,270,1,270,207,63,20017
A,20010701,163424,1000400,00053A,0000446,1,11,1115,111503,0931,093101,328,427,1,427,328,99,20017
B,20010701,163424,1000437,00053B,0000446,1,11,1115,111503,0931,093101,328,427,1,427,328,99,20017
C,20010701,163424,1000364,00053C,0000432,1,11,1105,110509,1258,125804,331,486,3,1458,993,465,20017
D,20010701,163424,1000379,00053D,0000580,1,14,1403,140315,1613,161302,420,546,1,546,420,126,20017
A,20010701,163424,1000400,00053A,0000432,1,11,1105,110509,1258,125804,331,431,6,2586,1986,600,20017
B,20010701,182651,1000439,00108B,0000677,1,11,1115,111507,0854,085404,162,211,1,211,162,49,20017
C,20010701,182651,1000366,00108C,0000677,1,11,1115,111507,0854,085404,162,211,1,211,162,49,20017
D,20010701,182651,1000381,00108D,0000444,1,11,1116,111603,0315,031501,419,670,1,670,419,251,20017
A,20010701,182651,1000402,00108A,0000486,1,11,1108,110801,1315,131504,208,292,5,1460,1040,420,20017
B,20010701,182651,1000439,00108B,0000460,1,14,1406,140661,0597,059700,101,236,4,944,404,540,20017
C,20010701,182651,1000366,00108C,0000511,1,11,1110,111097,1883,188302,311,405,1,405,311,94,20017
D,20010701,182651,1000381,00108D,0000460,1,14,1406,140661,0597,059700,101,191,1,191,101,90,20017
A,20010701,182651,1000402,00108A,0000511,1,11,1110,111097,1883,188302,311,551,1,551,311,240,20017
B,20010701,182651,1000439,00108B,0000487,1,11,1117,111705,0717,071700,207,368,6,2208,1242,966,20017
C,20010701,182651,1000366,00108C,0000487,1,11,1117,111705,0717,071700,207,270,3,810,621,189,20017
D,20010701,182651,1000381,00108D,0000486,1,11,1108,110801,1315,131504,208,271,1,271,208,63,20017
A,20010701,182651,1000402,00108A,0000677,1,11,1115,111507,0854,085404,162,211,1,211,162,49,20017
B,20010701,182651,1000439,00108B,0000444,1,11,1116,111603,0315,031501,419,545,5,2725,2095,630,20017
C,20010701,182651,1000366,00108C,0000486,1,11,1108,110801,1315,131504,208,271,1,271,208,63,20017
D,20010701,182651,1000381,00108D,0000511,1,11,1110,111097,1883,188302,311,405,1,405,311,94,20017
A,20010701,182651,1000402,00108A,0000523,1,13,1301,130139,0120,012000,392,510,1,510,392,118,20017
B,20010701,182651,1000439,00108B,0000511,1,11,1110,111097,1883,188302,311,405,5,2025,1555,470,20017
C,20010701,155737,1000367,00118C,0000334,1,11,1107,110797,1480,148000,299,431,1,431,299,132,20017
D,20010701,113138,1000383,00126D,0000443,1,13,1301,130121,1886,188600,395,514,1,514,395,119,20017
A,20010701,182651,1000402,00108A,0000487,1,11,1117,111705,0717,071700,207,270,1,270,207,63,20017
B,20010701,182651,1000439,00108B,0000486,1,11,1108,110801,1315,131504,208,337,1,337,208,129,20017
C,20010701,182651,1000366,00108C,0000460,1,14,1406,140661,0597,059700,101,132,1,132,101,31,20017
D,20010701,182651,1000381,00108D,0000523,1,13,1301,130139,0120,012000,392,600,1,600,392,208,20017
A,20010701,182651,1000402,00108A,0000460,1,14,1406,140661,0597,059700,101,197,1,197,101,96,20017
B,20010701,182651,1000439,00108B,0000523,1,13,1301,130139,0120,012000,392,510,1,510,392,118,20017
C,20010701,115823,1000370,00164C,0000280,1,14,1403,140316,0175,017501,253,378,1,378,253,125,20017
D,20010701,182651,1000381,00108D,0000487,1,11,1117,111705,0717,071700,207,270,1,270,207,63,20017
A,20010701,182651,1000402,00108A,0000444,1,11,1116,111603,0315,031501,419,545,1,545,419,126,20017
B,20010701,200038,1000444,00272B,0000347,1,11,1119,111905,1646,164603,297,485,1,485,297,188,20017
A,20010701,200038,1000407,00272A,0000126,1,11,1108,110803,1496,149603,333,433,1,433,333,100,20017
B,20010701,200038,1000444,00272B,0000586,1,11,1102,110207,1090,109003,317,413,1,413,317,96,20017
A,20010701,200038,1000407,00272A,0000586,1,11,1102,110207,1090,109003,317,413,6,2478,1902,576,20017
B,20010701,200038,1000444,00272B,0000402,1,11,1101,110135,1198,119800,310,619,1,619,310,309,20017
A,20010701,200038,1000407,00272A,0000392,1,14,1401,140107,1376,137605,254,331,1,331,254,77,20017
B,20010701,200038,1000444,00272B,0000126,1,11,1108,110803,1496,149603,333,433,1,433,333,100,20017
A,20010701,200038,1000407,00272A,0000447,1,11,1105,110511,1574,157403,324,422,1,422,324,98,20017
B,20010701,200038,1000444,00272B,0000392,1,14,1401,140107,1376,137605,254,613,1,613,254,359,20017
A,20010701,200038,1000407,00272A,0000275,1,14,1406,140693,0570,057004,370,481,1,481,370,111,20017
B,20010701,200038,1000444,00272B,0000351,1,11,1113,111397,0745,074501,227,452,7,3164,1589,1575,20017
A,20010701,200038,1000407,00272A,0000402,1,11,1101,110135,1198,119800,310,637,1,637,310,327,20017
B,20010701,200038,1000444,00272B,0000465,1,14,1402,140205,0918,091803,506,658,1,658,506,152,20017
A,20010701,200038,1000407,00272A,0000070,1,14,1402,140201,0598,059801,271,353,1,353,271,82,20017
B,20010701,200038,1000444,00272B,0000367,1,11,1106,110697,0048,004803,292,568,1,568,292,276,20017
A,20010701,200038,1000407,00272A,0000465,1,14,1402,140205,0918,091803,506,794,6,4764,3036,1728,20017
B,20010701,200038,1000444,00272B,0000447,1,11,1105,110511,1574,157403,324,422,1,422,324,98,20017
A,20010701,200038,1000407,00272A,0000347,1,11,1119,111905,1646,164603,297,387,6,2322,1782,540,20017
B,20010701,200038,1000444,00272B,0000259,1,11,1106,110697,0061,006101,263,439,5,2195,1315,880,20017
A,20010701,200038,1000407,00272A,0000351,1,11,1113,111397,0745,074501,227,296,1,296,227,69,20017
B,20010701,200038,1000444,00272B,0000275,1,14,1406,140693,0570,057004,370,697,1,697,370,327,20017
A,20010701,200038,1000407,00272A,0000259,1,11,1106,110697,0061,006101,263,342,1,342,263,79,20017
B,20010701,155737,1000440,00118B,0000342,1,14,1401,140115,0147,014700,332,432,1,432,332,100,20017
A,20010701,200038,1000407,00272A,0000367,1,11,1106,110697,0048,004803,292,380,5,1900,1460,440,20017
B,20010701,142019,1000442,00132B,0000228,1,14,1402,140205,0749,074904,325,494,1,494,325,169,20017
C,20010702,131741,1000371,00023C,0000395,1,11,1118,111807,1556,155601,293,625,1,625,293,332,20017
A,20010702,111927,1000409,00181A,0000555,1,11,1119,111997,1558,155803,93,121,1,121,93,28,20017
B,20010702,111927,1000446,00181B,0000645,1,11,1118,111897,0002,000202,205,267,5,1335,1025,310,20017
C,20010702,131741,1000371,00023C,0000481,1,11,1103,110301,1896,189601,98,128,1,128,98,30,20017
A,20010702,111927,1000409,00181A,0000210,1,11,1107,110797,1489,148902,465,605,1,605,465,140,20017
B,20010702,111927,1000446,00181B,0000555,1,11,1119,111997,1558,155803,93,261,1,261,93,168,20017
C,20010702,131741,1000371,00023C,0000562,1,11,1101,110142,1440,144003,415,540,1,540,415,125,20017
A,20010702,111927,1000409,00181A,0000532,1,13,1301,130121,1482,148204,202,316,1,316,202,114,20017
B,20010702,111927,1000446,00181B,0000343,1,11,1104,110407,0189,018903,384,500,1,500,384,116,20017
C,20010702,131741,1000371,00023C,0000501,1,11,1108,110802,0876,087602,333,433,1,433,333,100,20017
A,20010702,111927,1000409,00181A,0000343,1,11,1104,110407,0189,018903,384,500,1,500,384,116,20017
B,20010702,111927,1000446,00181B,0000631,1,13,1301,130137,0285,028503,334,435,1,435,334,101,20017
C,20010702,131741,1000371,00023C,0000482,1,11,1119,111997,0844,084400,285,499,1,499,285,214,20017
A,20010702,111927,1000409,00181A,0000617,1,12,1201,120197,0573,057301,450,585,1,585,450,135,20017
B,20010702,111927,1000446,00181B,0000532,1,13,1301,130121,1482,148204,202,263,1,263,202,61,20017
C,20010702,131741,1000371,00023C,0000491,1,13,1304,130497,0578,057800,377,796,1,796,377,419,20017
A,20010702,111927,1000409,00181A,0000631,1,13,1301,130137,0285,028503,334,435,5,2175,1670,505,20017
B,20010702,111927,1000446,00181B,0000210,1,11,1107,110797,1489,148902,465,605,1,605,465,140,20017
C,20010702,131741,1000371,00023C,0000583,1,11,1108,110805,1238,123804,70,121,1,121,70,51,20017
A,20010702,111927,1000409,00181A,0000645,1,11,1118,111897,0002,000202,205,330,1,330,205,125,20017
B,20010702,111927,1000446,00181B,0000617,1,12,1201,120197,0573,057301,450,585,1,585,450,135,20017
C,20010702,131741,1000371,00023C,0000504,1,11,1121,112113,0358,035804,297,387,1,387,297,90,20017
A,20010702,131741,1000408,00023A,0000371,1,11,1120,112005,0438,043802,400,693,6,4158,2400,1758,20017
B,20010702,131741,1000445,00023B,0000395,1,11,1118,111807,1556,155601,293,477,1,477,293,184,20017
C,20010702,131741,1000371,00023C,0000480,1,13,1301,130131,1492,149206,320,416,1,416,320,96,20017
A,20010702,131741,1000408,00023A,0000501,1,11,1108,110802,0876,087602,333,770,1,770,333,437,20017
B,20010702,131741,1000445,00023B,0000321,1,13,1301,130129,0971,097100,214,365,5,1825,1070,755,20017
C,20010702,151350,1000373,00219C,0000645,1,11,1118,111897,0002,000202,205,267,1,267,205,62,20017
A,20010702,131741,1000408,00023A,0000321,1,13,1301,130129,0971,097100,214,279,5,1395,1070,325,20017
B,20010702,131741,1000445,00023B,0000583,1,11,1108,110805,1238,123804,70,91,1,91,70,21,20017
C,20010702,151350,1000373,00219C,0000166,1,11,1110,111007,0610,061002,367,478,5,2390,1835,555,20017
A,20010702,131741,1000408,00023A,0000504,1,11,1121,112113,0358,035804,297,387,1,387,297,90,20017
B,20010702,131741,1000445,00023B,0000467,1,11,1101,110115,0508,050800,173,274,1,274,173,101,20017
C,20010702,151350,1000373,00219C,0000513,1,11,1110,111001,1955,195503,388,505,3,1515,1164,351,20017
A,20010702,131741,1000408,00023A,0000395,1,11,1118,111807,1556,155601,293,381,1,381,293,88,20017
B,20010702,131741,1000445,00023B,0000371,1,11,1120,112005,0438,043802,400,635,1,635,400,235,20017
C,20010702,151350,1000373,00219C,0000349,1,13,1301,130198,1017,101703,247,322,1,322,247,75,20017
A,20010702,131741,1000408,00023A,0000562,1,11,1101,110142,1440,144003,415,540,6,3240,2490,750,20017
B,20010702,131741,1000445,00023B,0000501,1,11,1108,110802,0876,087602,333,433,1,433,333,100,20017
C,20010702,111927,1000372,00181C,0000210,1,11,1107,110797,1489,148902,465,605,1,605,465,140,20017
D,20010702,111927,1000387,00181D,0000343,1,11,1104,110407,0189,018903,384,500,1,500,384,116,20017
A,20010702,131741,1000408,00023A,0000491,1,13,1304,130497,0578,057800,377,577,1,577,377,200,20017
B,20010702,131741,1000445,00023B,0000562,1,11,1101,110142,1440,144003,415,671,5,3355,2075,1280,20017
C,20010702,111927,1000372,00181C,0000631,1,13,1301,130137,0285,028503,334,435,5,2175,1670,505,20017
D,20010702,111927,1000387,00181D,0000645,1,11,1118,111897,0002,000202,205,267,1,267,205,62,20017
A,20010702,131741,1000408,00023A,0000583,1,11,1108,110805,1238,123804,70,91,1,91,70,21,20017
B,20010702,131741,1000445,00023B,0000480,1,13,1301,130131,1492,149206,320,416,1,416,320,96,20017
C,20010702,111927,1000372,00181C,0000532,1,13,1301,130121,1482,148204,202,263,1,263,202,61,20017
D,20010702,111927,1000387,00181D,0000210,1,11,1107,110797,1489,148902,465,605,1,605,465,140,20017
A,20010702,131741,1000408,00023A,0000481,1,11,1103,110301,1896,189601,98,156,1,156,98,58,20017
B,20010702,131741,1000445,00023B,0000482,1,11,1119,111997,0844,084400,285,371,3,1113,855,258,20017
C,20010702,111927,1000372,00181C,0000343,1,11,1104,110407,0189,018903,384,500,1,500,384,116,20017
D,20010702,111927,1000387,00181D,0000617,1,12,1201,120197,0573,057301,450,585,1,585,450,135,20017
A,20010702,131741,1000408,00023A,0000480,1,13,1301,130131,1492,149206,320,501,1,501,320,181,20017
B,20010702,131741,1000445,00023B,0000491,1,13,1304,130497,0578,057800,377,591,1,591,377,214,20017
C,20010702,111927,1000372,00181C,0000645,1,11,1118,111897,0002,000202,205,267,5,1335,1025,310,20017
D,20010702,111927,1000387,00181D,0000555,1,11,1119,111997,1558,155803,93,121,1,121,93,28,20017
A,20010702,131741,1000408,00023A,0000467,1,11,1101,110115,0508,050800,173,225,1,225,173,52,20017
B,20010702,131741,1000445,00023B,0000481,1,11,1103,110301,1896,189601,98,186,1,186,98,88,20017
C,20010702,111927,1000372,00181C,0000555,1,11,1119,111997,1558,155803,93,195,1,195,93,102,20017
D,20010702,111927,1000387,00181D,0000631,1,13,1301,130137,0285,028503,334,435,1,435,334,101,20017
A,20010702,131741,1000408,00023A,0000482,1,11,1119,111997,0844,084400,285,371,1,371,285,86,20017
B,20010702,131741,1000445,00023B,0000504,1,11,1121,112113,0358,035804,297,387,1,387,297,90,20017
C,20010702,111927,1000372,00181C,0000617,1,12,1201,120197,0573,057301,450,585,1,585,450,135,20017
D,20010702,111927,1000387,00181D,0000532,1,13,1301,130121,1482,148204,202,263,6,1578,1212,366,20017
A,20010702,151350,1000410,00219A,0000349,1,13,1301,130198,1017,101703,247,426,1,426,247,179,20017
B,20010702,151350,1000447,00219B,0000645,1,11,1118,111897,0002,000202,205,267,3,801,615,186,20017
C,20010702,131741,1000371,00023C,0000321,1,13,1301,130129,0971,097100,214,279,1,279,214,65,20017
D,20010702,131741,1000386,00023D,0000371,1,11,1120,112005,0438,043802,400,520,1,520,400,120,20017
A,20010702,151350,1000410,00219A,0000645,1,11,1118,111897,0002,000202,205,330,4,1320,820,500,20017
B,20010702,151350,1000447,00219B,0000349,1,13,1301,130198,1017,101703,247,322,1,322,247,75,20017
C,20010702,131741,1000371,00023C,0000467,1,11,1101,110115,0508,050800,173,225,1,225,173,52,20017
D,20010702,131741,1000386,00023D,0000467,1,11,1101,110115,0508,050800,173,225,1,225,173,52,20017
A,20010702,151350,1000410,00219A,0000166,1,11,1110,111007,0610,061002,367,478,1,478,367,111,20017
B,20010702,151350,1000447,00219B,0000513,1,11,1110,111001,1955,195503,388,597,1,597,388,209,20017
C,20010702,131741,1000371,00023C,0000371,1,11,1120,112005,0438,043802,400,1004,1,1004,400,604,20017
D,20010702,131741,1000386,00023D,0000395,1,11,1118,111807,1556,155601,293,543,5,2715,1465,1250,20017
A,20010702,151350,1000410,00219A,0000513,1,11,1110,111001,1955,195503,388,579,1,579,388,191,20017
B,20010702,175012,1000448,00298B,0000351,1,11,1113,111397,0745,074501,227,452,5,2260,1135,1125,20017
D,20010702,131741,1000386,00023D,0000491,1,13,1304,130497,0578,057800,377,717,1,717,377,340,20017
B,20010702,175012,1000448,00298B,0000410,1,11,1121,112197,0701,070100,281,366,6,2196,1686,510,20017
D,20010702,131741,1000386,00023D,0000321,1,13,1301,130129,0971,097100,214,279,1,279,214,65,20017
B,20010702,175012,1000448,00298B,0000380,1,11,1121,112105,0109,010905,209,329,1,329,209,120,20017
D,20010702,131741,1000386,00023D,0000504,1,11,1121,112113,0358,035804,297,438,1,438,297,141,20017
B,20010702,175012,1000448,00298B,0000531,1,11,1117,111701,0158,015803,192,250,1,250,192,58,20017
D,20010702,131741,1000386,00023D,0000583,1,11,1108,110805,1238,123804,70,130,1,130,70,60,20017
B,20010702,175012,1000448,00298B,0000310,1,14,1404,140403,1148,114803,298,388,1,388,298,90,20017
D,20010702,131741,1000386,00023D,0000562,1,11,1101,110142,1440,144003,415,540,1,540,415,125,20017
B,20010702,151350,1000447,00219B,0000166,1,11,1110,111007,0610,061002,367,478,1,478,367,111,20017
D,20010702,131741,1000386,00023D,0000501,1,11,1108,110802,0876,087602,333,433,1,433,333,100,20017
D,20010702,131741,1000386,00023D,0000482,1,11,1119,111997,0844,084400,285,408,4,1632,1140,492,20017
