店,日付,時間,レシート,顧客,商品,大分類,中分類,小分類,細分類,メーカー,ブランド,仕入単価,単価,数量,金額,仕入金額,粗利金額
D,20010206,172546,1000021,00091D,0000536,1,11,1113,111307,1083,108301,206,268,5,1340,1030,310
D,20010206,172546,1000021,00091D,0000377,1,11,1105,110511,0302,030201,571,743,1,743,571,172
D,20010206,172546,1000021,00091D,0000494,1,11,1110,111009,1720,172003,236,307,6,1842,1416,426
D,20010206,172546,1000021,00091D,0000553,1,14,1403,140307,0617,061702,249,324,1,324,249,75
D,20010206,172546,1000021,00091D,0000423,1,11,1107,110791,0107,010703,290,377,1,377,290,87
D,20010206,172546,1000021,00091D,0000420,1,11,1102,110211,0376,037601,255,332,5,1660,1275,385
D,20010206,172546,1000021,00091D,0000424,1,11,1111,111113,1484,148401,226,294,1,294,226,68
D,20010208,132523,1000022,00082D,0000385,1,11,1106,110605,1175,117501,278,362,5,1810,1390,420
D,20010208,132523,1000022,00082D,0000571,1,11,1103,110303,1158,115804,171,223,1,223,171,52
D,20010208,132523,1000022,00082D,0000246,1,11,1111,111109,1223,122300,333,433,1,433,333,100
D,20010208,132523,1000022,00082D,0000464,1,11,1102,110297,0542,054202,500,650,1,650,500,150
D,20010208,132523,1000022,00082D,0000343,1,11,1104,110407,0189,018903,384,500,1,500,384,116
D,20010208,132523,1000022,00082D,0000397,1,11,1105,110517,0191,019104,212,276,1,276,212,64
D,20010208,132523,1000022,00082D,0000283,1,11,1102,110297,0134,013404,223,290,1,290,223,67
D,20010208,132523,1000022,00082D,0000399,1,11,1113,111307,0939,093902,198,258,1,258,198,60
D,20010208,132523,1000022,00082D,0000281,1,14,1403,140305,1501,150100,206,268,1,268,206,62
D,20010208,132523,1000022,00082D,0000609,1,14,1401,140107,1818,181803,232,302,1,302,232,70
D,20010208,132523,1000022,00082D,0000163,1,11,1106,110601,0477,047701,77,101,1,101,77,24
D,20010208,132523,1000022,00082D,0000475,1,11,1101,110135,1067,106705,243,316,1,316,243,73
D,20010208,132523,1000022,00082D,0000441,1,11,1110,111007,0713,071300,296,385,1,385,296,89
D,20010209,154647,1000023,00228D,0000319,1,11,1101,110197,1895,189503,395,514,1,514,395,119
D,20010209,154647,1000023,00228D,0000220,1,11,1119,111905,0191,019100,402,523,6,3138,2412,726
D,20010209,154647,1000023,00228D,0000176,1,11,1116,111601,0018,001800,253,329,6,1974,1518,456
D,20010209,154647,1000023,00228D,0000197,1,14,1402,140201,1515,151500,360,468,1,468,360,108
D,20010209,154647,1000023,00228D,0000232,1,11,1116,111603,1347,134702,253,329,5,1645,1265,380
D,20010211,134123,1000025,00181D,0000523,1,13,1301,130139,0120,012000,392,510,6,3060,2352,708
D,20010211,134123,1000025,00181D,0000360,1,11,1119,111905,1327,132705,235,306,1,306,235,71
D,20010211,134123,1000025,00181D,0000442,1,11,1101,110197,0266,026600,240,312,1,312,240,72
D,20010211,143917,1000024,00144D,0000294,1,14,1406,140681,0694,069401,236,307,1,307,236,71
D,20010211,143917,1000024,00144D,0000517,1,11,1197,119705,1151,115102,424,552,1,552,424,128
D,20010211,143917,1000024,00144D,0000317,1,11,1119,111907,0623,062301,357,465,3,1395,1071,324
D,20010211,143917,1000024,00144D,0000433,1,14,1497,149797,0227,022700,416,541,1,541,416,125
D,20010211,143917,1000024,00144D,0000235,1,11,1104,110413,1523,152302,321,418,4,1672,1284,388
D,20010211,143917,1000024,00144D,0000387,1,14,1403,140325,1291,129100,269,350,1,350,269,81
D,20010212,131823,1000026,00227D,0000563,1,11,1121,112113,0367,036703,132,172,1,172,132,40
D,20010212,131823,1000026,00227D,0000380,1,11,1121,112105,0109,010905,209,272,1,272,209,63
D,20010212,131823,1000026,00227D,0000629,1,11,1107,110703,1409,140900,278,362,1,362,278,84
D,20010212,131823,1000026,00227D,0000343,1,11,1104,110407,0189,018903,384,500,1,500,384,116
D,20010212,131823,1000026,00227D,0000396,1,14,1401,140103,1489,148900,404,526,1,526,404,122
D,20010212,131823,1000026,00227D,0000343,1,11,1104,110407,0189,018903,384,500,6,3000,2304,696
D,20010212,131823,1000026,00227D,0000431,1,11,1101,110129,1705,170502,207,270,3,810,621,189
D,20010212,131823,1000026,00227D,0000357,1,11,1105,110505,0013,001300,500,650,1,650,500,150
D,20010212,131823,1000026,00227D,0000443,1,13,1301,130121,1886,188600,395,514,7,3598,2765,833
D,20010213,111536,1000027,00168D,0000283,1,11,1102,110297,0134,013404,223,290,1,290,223,67
D,20010213,111536,1000027,00168D,0000589,1,11,1116,111601,1296,129603,265,345,1,345,265,80
D,20010213,111536,1000027,00168D,0000442,1,11,1101,110197,0266,026600,240,399,5,1995,1200,795
D,20010213,111536,1000027,00168D,0000541,1,11,1101,110129,0121,012101,277,361,1,361,277,84
D,20010213,111536,1000027,00168D,0000572,1,11,1115,111507,1801,180100,421,548,1,548,421,127
D,20010213,111536,1000027,00168D,0000488,1,11,1119,111905,1644,164402,358,466,3,1398,1074,324
D,20010213,134652,1000028,00181D,0000220,1,11,1119,111905,0191,019100,402,523,1,523,402,121
D,20010213,134652,1000028,00181D,0000448,1,11,1120,112005,1298,129803,313,407,1,407,313,94
D,20010213,134652,1000028,00181D,0000385,1,11,1106,110605,1175,117501,278,362,3,1086,834,252
D,20010216,105511,1000029,00088D,0000429,1,11,1119,111997,1117,111700,295,384,1,384,295,89
D,20010216,105511,1000029,00088D,0000289,1,14,1406,140691,0678,067800,475,618,1,618,475,143
D,20010216,105511,1000029,00088D,0000414,1,11,1117,111701,1705,170501,310,403,4,1612,1240,372
D,20010216,105511,1000029,00088D,0000136,1,14,1404,140497,1472,147200,279,363,1,363,279,84
D,20010216,105511,1000029,00088D,0000627,1,11,1111,111107,0179,017901,112,146,6,876,672,204
D,20010216,105511,1000029,00088D,0000594,1,11,1113,111303,1991,199103,248,323,1,323,248,75
D,20010216,105511,1000029,00088D,0000402,1,11,1101,110135,1198,119800,310,403,1,403,310,93
D,20010216,105511,1000029,00088D,0000454,1,14,1401,140107,1804,180403,199,259,1,259,199,60
D,20010216,122637,1000032,00180D,0000275,1,14,1406,140693,0570,057004,370,481,3,1443,1110,333
D,20010216,122637,1000032,00180D,0000461,1,14,1406,140671,0894,089401,381,496,1,496,381,115
D,20010216,122637,1000032,00180D,0000280,1,14,1403,140316,0175,017501,253,329,1,329,253,76
D,20010216,122637,1000032,00180D,0000493,1,11,1113,111305,1755,175504,274,357,1,357,274,83
D,20010216,122637,1000032,00180D,0000471,1,11,1115,111511,1361,136102,275,358,1,358,275,83
D,20010216,122637,1000032,00180D,0000402,1,11,1101,110135,1198,119800,310,403,1,403,310,93
D,20010216,122637,1000032,00180D,0000505,1,11,1108,110803,0085,008500,194,253,1,253,194,59
D,20010216,122637,1000032,00180D,0000466,1,14,1401,140105,0590,059003,408,531,1,531,408,123
D,20010216,122637,1000032,00180D,0000414,1,11,1117,111701,1705,170501,310,403,1,403,310,93
D,20010216,122637,1000032,00180D,0000598,1,14,1406,140621,1747,174700,206,268,1,268,206,62
D,20010216,143742,1000030,00160D,0000260,1,11,1121,112107,1431,143106,325,423,1,423,325,98
D,20010216,143742,1000030,00160D,0000553,1,14,1403,140307,0617,061702,249,458,1,458,249,209
D,20010216,143742,1000030,00160D,0000315,1,14,1402,140205,0405,040501,290,377,4,1508,1160,348
D,20010216,143742,1000030,00160D,0000463,1,14,1402,140211,0108,010800,333,433,1,433,333,100
D,20010216,161106,1000031,00178D,0000285,1,11,1110,111015,1516,151601,208,271,1,271,208,63
D,20010216,161106,1000031,00178D,0000420,1,11,1102,110211,0376,037601,255,332,1,332,255,77
D,20010216,161106,1000031,00178D,0000342,1,14,1401,140115,0147,014700,332,432,5,2160,1660,500
D,20010216,161106,1000031,00178D,0000478,1,11,1101,110125,0807,080700,121,158,1,158,121,37
D,20010216,161106,1000031,00178D,0000391,1,11,1111,111111,0052,005200,191,249,1,249,191,58
D,20010216,161106,1000031,00178D,0000308,1,14,1404,140407,0707,070700,468,609,1,609,468,141
D,20010216,161106,1000031,00178D,0000276,1,11,1120,112097,0617,061701,142,185,1,185,142,43
D,20010217,122709,1000033,00221D,0000547,1,14,1404,140497,0338,033801,183,238,1,238,183,55
D,20010217,122709,1000033,00221D,0000324,1,11,1120,112005,1854,185406,286,372,1,372,286,86
D,20010217,122709,1000033,00221D,0000506,1,13,1301,130129,0854,085400,246,320,1,320,246,74
D,20010217,122709,1000033,00221D,0000390,1,11,1117,111797,1943,194300,411,535,1,535,411,124
D,20010217,122709,1000033,00221D,0000528,1,11,1107,110721,0547,054700,241,314,1,314,241,73
D,20010217,122709,1000033,00221D,0000278,1,11,1107,110725,0140,014000,278,362,5,1810,1390,420
D,20010217,122709,1000033,00221D,0000452,1,11,1108,110802,0506,050602,235,306,1,306,235,71
D,20010217,122709,1000033,00221D,0000335,1,11,1101,110103,0485,048500,109,142,1,142,109,33
D,20010217,122709,1000033,00221D,0000270,1,11,1115,111507,0605,060502,238,310,5,1550,1190,360
D,20010220,141805,1000034,00049D,0000482,1,11,1119,111997,0844,084400,285,371,1,371,285,86
D,20010220,141805,1000034,00049D,0000293,1,11,1116,111697,1527,152705,296,385,1,385,296,89
D,20010220,141805,1000034,00049D,0000117,1,14,1406,140691,0714,071401,197,257,6,1542,1182,360
D,20010222,112146,1000035,00250D,0000463,1,14,1402,140211,0108,010800,333,433,1,433,333,100
D,20010222,112146,1000035,00250D,0000391,1,11,1111,111111,0052,005200,191,249,1,249,191,58
D,20010222,112146,1000035,00250D,0000432,1,11,1105,110509,1258,125804,331,431,1,431,331,100
D,20010222,112146,1000035,00250D,0000191,1,11,1117,111703,1508,150802,488,635,5,3175,2440,735
D,20010222,112146,1000035,00250D,0000516,1,14,1403,140313,0263,026304,243,316,1,316,243,73
D,20010222,112146,1000035,00250D,0000318,1,13,1304,130497,1248,124805,231,301,1,301,231,70
D,20010222,112146,1000035,00250D,0000479,1,13,1301,130127,1293,129301,188,245,1,245,188,57
D,20010222,112146,1000035,00250D,0000289,1,14,1406,140691,0678,067800,475,618,1,618,475,143
D,20010223,110603,1000037,00254D,0000486,1,11,1108,110801,1315,131504,208,271,1,271,208,63
D,20010223,110603,1000037,00254D,0000373,1,11,1118,111897,1341,134100,91,119,1,119,91,28
D,20010223,110603,1000037,00254D,0000574,1,14,1401,140101,1632,163202,222,289,1,289,222,67
D,20010223,110603,1000037,00254D,0000368,1,13,1301,130139,0054,005401,335,436,3,1308,1005,303
D,20010223,110603,1000037,00254D,0000436,1,11,1111,111197,0407,040704,331,431,5,2155,1655,500
D,20010223,110603,1000037,00254D,0000374,1,11,1117,111701,0151,015100,329,428,1,428,329,99
D,20010223,110603,1000037,00254D,0000457,1,11,1110,111007,1319,131902,174,227,1,227,174,53
D,20010223,110603,1000037,00254D,0000414,1,11,1117,111701,1705,170501,310,575,1,575,310,265
D,20010223,122531,1000036,00044D,0000336,1,11,1111,111101,1496,149602,393,511,6,3066,2358,708
D,20010223,122531,1000036,00044D,0000535,1,11,1105,110504,1013,101300,376,489,4,1956,1504,452
D,20010223,122531,1000036,00044D,0000313,1,11,1119,111997,1378,137803,185,241,1,241,185,56
D,20010223,122531,1000036,00044D,0000579,1,11,1102,110211,1884,188400,259,337,1,337,259,78
D,20010223,122531,1000036,00044D,0000367,1,11,1106,110697,0048,004803,292,380,1,380,292,88
D,20010223,122531,1000036,00044D,0000481,1,11,1103,110301,1896,189601,98,128,1,128,98,30
D,20010223,122531,1000036,00044D,0000332,1,11,1107,110721,0550,055003,354,461,5,2305,1770,535
D,20010223,122531,1000036,00044D,0000602,1,11,1113,111301,1772,177202,419,545,5,2725,2095,630
D,20010223,122531,1000036,00044D,0000397,1,11,1105,110517,0191,019104,212,276,5,1380,1060,320
D,20010224,112454,1000041,00254D,0000339,1,11,1105,110501,1285,128501,430,559,1,559,430,129
D,20010224,112454,1000041,00254D,0000534,1,11,1104,110415,1226,122600,374,487,1,487,374,113
D,20010224,112454,1000041,00254D,0000327,1,13,1302,130297,0471,047101,357,465,1,465,357,108
D,20010224,112454,1000041,00254D,0000600,1,14,1406,140621,1730,173000,245,319,1,319,245,74
D,20010224,112454,1000041,00254D,0000275,1,14,1406,140693,0570,057004,370,481,1,481,370,111
D,20010224,112454,1000041,00254D,0000487,1,11,1117,111705,0717,071700,207,270,1,270,207,63
D,20010224,112454,1000041,00254D,0000364,1,13,1301,130137,1772,177201,366,476,6,2856,2196,660
D,20010224,112454,1000041,00254D,0000365,1,14,1401,140111,0769,076900,161,210,1,210,161,49
D,20010224,143400,1000038,00004D,0000441,1,11,1110,111007,0713,071300,296,521,1,521,296,225
D,20010224,143400,1000038,00004D,0000311,1,11,1116,111603,1776,177601,339,441,2,882,678,204
D,20010224,143400,1000038,00004D,0000482,1,11,1119,111997,0844,084400,285,371,1,371,285,86
D,20010224,143400,1000038,00004D,0000377,1,11,1105,110511,0302,030201,571,743,1,743,571,172
D,20010224,150343,1000040,00118D,0000405,1,13,1301,130123,1310,131000,408,531,1,531,408,123
D,20010224,150343,1000040,00118D,0000393,1,11,1105,110517,1889,188901,410,533,1,533,410,123
D,20010224,150343,1000040,00118D,0000613,1,11,1114,111401,1568,156801,342,445,6,2670,2052,618
D,20010224,150343,1000040,00118D,0000339,1,11,1105,110501,1285,128501,430,559,1,559,430,129
D,20010224,150343,1000040,00118D,0000319,1,11,1101,110197,1895,189503,395,514,1,514,395,119
D,20010224,150343,1000040,00118D,0000355,1,14,1403,140309,0585,058501,336,437,1,437,336,101
D,20010224,162043,1000039,00077D,0000547,1,14,1404,140497,0338,033801,183,238,1,238,183,55
D,20010224,162043,1000039,00077D,0000239,1,11,1104,110497,0781,078100,225,293,1,293,225,68
D,20010224,162043,1000039,00077D,0000431,1,11,1101,110129,1705,170502,207,270,1,270,207,63
D,20010224,162043,1000039,00077D,0000233,1,11,1101,110142,0244,024400,406,528,1,528,406,122
D,20010224,162043,1000039,00077D,0000532,1,13,1301,130121,1482,148204,202,263,1,263,202,61
D,20010224,162043,1000039,00077D,0000378,1,13,1301,130139,0386,038605,222,289,6,1734,1332,402
D,20010224,162043,1000039,00077D,0000646,1,13,1302,130205,1380,138005,393,511,1,511,393,118
D,20010226,144910,1000042,00168D,0000324,1,11,1120,112005,1854,185406,286,405,1,405,286,119
D,20010226,144910,1000042,00168D,0000417,1,11,1107,110703,0442,044204,395,514,2,1028,790,238
D,20010226,144910,1000042,00168D,0000280,1,14,1403,140316,0175,017501,253,329,1,329,253,76
D,20010226,144910,1000042,00168D,0000463,1,14,1402,140211,0108,010800,333,433,1,433,333,100
D,20010226,144910,1000042,00168D,0000226,1,11,1107,110705,0904,090400,339,441,1,441,339,102
D,20010226,144910,1000042,00168D,0000399,1,11,1113,111307,0939,093902,198,297,1,297,198,99
D,20010226,144910,1000042,00168D,0000323,1,14,1406,140697,1714,171400,327,426,1,426,327,99
D,20010226,144910,1000042,00168D,0000715,1,11,1121,112111,1378,137804,288,375,1,375,288,87
D,20010226,144910,1000042,00168D,0000266,1,11,1104,110407,1862,186200,334,435,1,435,334,101
D,20010226,144910,1000042,00168D,0000469,1,11,1113,111303,1417,141703,201,262,6,1572,1206,366
D,20010226,144910,1000042,00168D,0000553,1,14,1403,140307,0617,061702,249,458,5,2290,1245,1045
D,20010227,170615,1000043,00004D,0000381,1,11,1113,111397,0678,067801,292,380,1,380,292,88
D,20010227,170615,1000043,00004D,0000568,1,11,1111,111113,0463,046305,81,106,1,106,81,25
D,20010227,170615,1000043,00004D,0000320,1,14,1403,140327,1903,190301,95,124,1,124,95,29
D,20010227,170615,1000043,00004D,0000438,1,14,1403,140309,1100,110001,208,271,1,271,208,63
