shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit,YearMonth
B,20010601,155344,1000324,00231B,0000517,1,11,1197,119705,1151,115102,424,813,5,4065,2120,1945,20016
C,20010601,155344,1000268,00231C,0000511,1,11,1110,111097,1883,188302,311,405,3,1215,933,282,20016
D,20010601,155344,1000283,00231D,0000633,1,11,1121,112105,0742,074201,145,189,6,1134,870,264,20016
A,20010601,155344,1000299,00231A,0000633,1,11,1121,112105,0742,074201,145,189,5,945,725,220,20016
B,20010601,155344,1000324,00231B,0000326,1,11,1106,110601,1340,134000,416,782,4,3128,1664,1464,20016
C,20010601,155344,1000268,00231C,0000426,1,11,1106,110601,1763,176305,177,268,3,804,531,273,20016
D,20010601,161933,1000281,00066D,0000547,1,14,1404,140497,0338,033801,183,238,1,238,183,55,20016
A,20010601,155344,1000299,00231A,0000525,1,11,1101,110105,0956,095603,140,182,1,182,140,42,20016
B,20010601,161933,1000322,00066B,0000183,1,11,1112,111207,1430,143002,266,346,5,1730,1330,400,20016
C,20010601,155344,1000268,00231C,0000525,1,11,1101,110105,0956,095603,140,182,1,182,140,42,20016
D,20010601,155344,1000283,00231D,0000511,1,11,1110,111097,1883,188302,311,405,5,2025,1555,470,20016
A,20010601,155344,1000299,00231A,0000426,1,11,1106,110601,1763,176305,177,313,1,313,177,136,20016
B,20010601,155344,1000324,00231B,0000502,1,11,1107,110703,0725,072501,110,162,1,162,110,52,20016
C,20010601,155344,1000268,00231C,0000427,1,11,1105,110503,1032,103200,305,460,1,460,305,155,20016
D,20010601,155344,1000283,00231D,0000432,1,11,1105,110509,1258,125804,331,519,1,519,331,188,20016
A,20010601,155344,1000299,00231A,0000511,1,11,1110,111097,1883,188302,311,482,3,1446,933,513,20016
B,20010601,155344,1000324,00231B,0000525,1,11,1101,110105,0956,095603,140,182,1,182,140,42,20016
C,20010601,161933,1000266,00066C,0000691,1,14,1404,140403,0129,012906,172,224,1,224,172,52,20016
D,20010601,155344,1000283,00231D,0000426,1,11,1106,110601,1763,176305,177,231,1,231,177,54,20016
A,20010601,155344,1000299,00231A,0000502,1,11,1107,110703,0725,072501,110,143,4,572,440,132,20016
B,20010601,155344,1000324,00231B,0000426,1,11,1106,110601,1763,176305,177,282,1,282,177,105,20016
C,20010601,161933,1000266,00066C,0000183,1,11,1112,111207,1430,143002,266,346,1,346,266,80,20016
D,20010601,155344,1000283,00231D,0000427,1,11,1105,110503,1032,103200,305,397,1,397,305,92,20016
A,20010601,161933,1000297,00066A,0000284,1,13,1301,130133,1056,105604,132,172,1,172,132,40,20016
B,20010601,161933,1000322,00066B,0000691,1,14,1404,140403,0129,012906,172,224,4,896,688,208,20016
C,20010601,155344,1000268,00231C,0000345,1,11,1121,112105,0188,018800,343,446,1,446,343,103,20016
D,20010601,155344,1000283,00231D,0000525,1,11,1101,110105,0956,095603,140,182,1,182,140,42,20016
A,20010601,161933,1000297,00066A,0000691,1,14,1404,140403,0129,012906,172,224,1,224,172,52,20016
B,20010601,161933,1000322,00066B,0000284,1,13,1301,130133,1056,105604,132,172,4,688,528,160,20016
C,20010601,161933,1000266,00066C,0000284,1,13,1301,130133,1056,105604,132,172,1,172,132,40,20016
D,20010601,161933,1000281,00066D,0000183,1,11,1112,111207,1430,143002,266,346,1,346,266,80,20016
A,20010601,161933,1000297,00066A,0000183,1,11,1112,111207,1430,143002,266,346,1,346,266,80,20016
B,20010601,161933,1000322,00066B,0000547,1,14,1404,140497,0338,033801,183,238,3,714,549,165,20016
C,20010601,155344,1000268,00231C,0000326,1,11,1106,110601,1340,134000,416,541,7,3787,2912,875,20016
D,20010601,155344,1000283,00231D,0000304,1,11,1107,110707,1487,148704,343,446,1,446,343,103,20016
A,20010601,161933,1000297,00066A,0000547,1,14,1404,140497,0338,033801,183,238,1,238,183,55,20016
B,20010601,155344,1000324,00231B,0000432,1,11,1105,110509,1258,125804,331,522,1,522,331,191,20016
C,20010602,164649,1000269,00020C,0000307,1,14,1403,140305,0788,078801,273,355,4,1420,1092,328,20016
D,20010602,164649,1000284,00020D,0000608,1,14,1406,140601,0960,096001,163,212,1,212,163,49,20016
A,20010602,164649,1000300,00020A,0000336,1,11,1111,111101,1496,149602,393,720,1,720,393,327,20016
B,20010602,164649,1000325,00020B,0000608,1,14,1406,140601,0960,096001,163,212,1,212,163,49,20016
C,20010602,164649,1000269,00020C,0000512,1,11,1118,111807,1133,113302,352,458,1,458,352,106,20016
D,20010602,164649,1000284,00020D,0000307,1,14,1403,140305,0788,078801,273,406,1,406,273,133,20016
A,20010602,164649,1000300,00020A,0000512,1,11,1118,111807,1133,113302,352,458,2,916,704,212,20016
B,20010602,164649,1000325,00020B,0000400,1,11,1112,111209,1444,144403,252,328,1,328,252,76,20016
C,20010602,164649,1000269,00020C,0000336,1,11,1111,111101,1496,149602,393,511,1,511,393,118,20016
D,20010602,164649,1000284,00020D,0000196,1,11,1111,111101,1811,181100,247,322,5,1610,1235,375,20016
A,20010602,164649,1000300,00020A,0000299,1,11,1110,111003,0565,056500,222,289,1,289,222,67,20016
B,20010602,164649,1000325,00020B,0000299,1,11,1110,111003,0565,056500,222,415,1,415,222,193,20016
C,20010602,164649,1000269,00020C,0000400,1,11,1112,111209,1444,144403,252,459,1,459,252,207,20016
D,20010602,164649,1000284,00020D,0000512,1,11,1118,111807,1133,113302,352,576,3,1728,1056,672,20016
A,20010602,164649,1000300,00020A,0000487,1,11,1117,111705,0717,071700,207,270,5,1350,1035,315,20016
B,20010602,164649,1000325,00020B,0000487,1,11,1117,111705,0717,071700,207,368,1,368,207,161,20016
C,20010602,164649,1000269,00020C,0000196,1,11,1111,111101,1811,181100,247,322,1,322,247,75,20016
D,20010602,164649,1000284,00020D,0000336,1,11,1111,111101,1496,149602,393,511,5,2555,1965,590,20016
A,20010602,164649,1000300,00020A,0000400,1,11,1112,111209,1444,144403,252,397,1,397,252,145,20016
B,20010602,164649,1000325,00020B,0000196,1,11,1111,111101,1811,181100,247,322,1,322,247,75,20016
C,20010602,164649,1000269,00020C,0000608,1,14,1406,140601,0960,096001,163,302,1,302,163,139,20016
D,20010602,164649,1000284,00020D,0000487,1,11,1117,111705,0717,071700,207,270,1,270,207,63,20016
A,20010602,164649,1000300,00020A,0000608,1,14,1406,140601,0960,096001,163,212,1,212,163,49,20016
B,20010602,164649,1000325,00020B,0000512,1,11,1118,111807,1133,113302,352,458,1,458,352,106,20016
C,20010602,164649,1000269,00020C,0000299,1,11,1110,111003,0565,056500,222,289,1,289,222,67,20016
D,20010602,164649,1000284,00020D,0000299,1,11,1110,111003,0565,056500,222,289,1,289,222,67,20016
A,20010602,164649,1000300,00020A,0000196,1,11,1111,111101,1811,181100,247,322,1,322,247,75,20016
B,20010602,164649,1000325,00020B,0000336,1,11,1111,111101,1496,149602,393,622,4,2488,1572,916,20016
C,20010602,164649,1000269,00020C,0000487,1,11,1117,111705,0717,071700,207,270,1,270,207,63,20016
D,20010602,164649,1000284,00020D,0000400,1,11,1112,111209,1444,144403,252,411,6,2466,1512,954,20016
A,20010602,164649,1000300,00020A,0000307,1,14,1403,140305,0788,078801,273,355,6,2130,1638,492,20016
B,20010602,164649,1000325,00020B,0000307,1,14,1403,140305,0788,078801,273,355,1,355,273,82,20016
C,20010603,170949,1000272,00223C,0000423,1,11,1107,110791,0107,010703,290,495,1,495,290,205,20016
D,20010603,180115,1000285,00016D,0000604,1,11,1121,112107,1770,177000,365,475,1,475,365,110,20016
A,20010603,124725,1000304,00250A,0000650,1,14,1403,140301,0910,091000,397,517,1,517,397,120,20016
B,20010603,104258,1000331,00292B,0000396,1,14,1401,140103,1489,148900,404,526,1,526,404,122,20016
C,20010603,124725,1000273,00250C,0000608,1,14,1406,140601,0960,096001,163,302,3,906,489,417,20016
D,20010603,180115,1000285,00016D,0000492,1,11,1197,119797,0501,050100,361,470,1,470,361,109,20016
A,20010603,124725,1000304,00250A,0000608,1,14,1406,140601,0960,096001,163,212,1,212,163,49,20016
B,20010603,104258,1000331,00292B,0000352,1,11,1101,110125,1322,132200,345,594,1,594,345,249,20016
C,20010603,133333,1000271,00219C,0000237,1,11,1101,110111,0295,029502,244,318,3,954,732,222,20016
D,20010603,124725,1000288,00250D,0000435,1,11,1101,110129,0522,052203,256,333,6,1998,1536,462,20016
A,20010603,124725,1000304,00250A,0000435,1,11,1101,110129,0522,052203,256,333,1,333,256,77,20016
B,20010603,180115,1000326,00016B,0000492,1,11,1197,119797,0501,050100,361,574,1,574,361,213,20016
C,20010603,133333,1000271,00219C,0000243,1,14,1403,140301,1525,152504,187,244,1,244,187,57,20016
D,20010603,124725,1000288,00250D,0000608,1,14,1406,140601,0960,096001,163,258,3,774,489,285,20016
A,20010603,133333,1000302,00219A,0000237,1,11,1101,110111,0295,029502,244,318,1,318,244,74,20016
B,20010603,104258,1000331,00292B,0000525,1,11,1101,110105,0956,095603,140,182,6,1092,840,252,20016
C,20010603,170949,1000272,00223C,0000490,1,13,1301,130123,0887,088701,357,465,1,465,357,108,20016
D,20010603,124725,1000288,00250D,0000650,1,14,1403,140301,0910,091000,397,517,1,517,397,120,20016
A,20010603,133333,1000302,00219A,0000243,1,14,1403,140301,1525,152504,187,244,7,1708,1309,399,20016
B,20010603,104258,1000331,00292B,0000362,1,11,1119,111901,0171,017104,222,289,1,289,222,67,20016
C,20010603,170949,1000272,00223C,0000345,1,11,1121,112105,0188,018800,343,446,2,892,686,206,20016
D,20010603,133333,1000286,00219D,0000243,1,14,1403,140301,1525,152504,187,359,1,359,187,172,20016
A,20010603,153418,1000305,00268A,0000465,1,14,1402,140205,0918,091803,506,794,1,794,506,288,20016
B,20010603,104258,1000331,00292B,0000515,1,11,1119,111907,1477,147704,436,567,1,567,436,131,20016
C,20010603,180115,1000270,00016C,0000537,1,13,1301,130135,0596,059601,298,546,1,546,298,248,20016
D,20010603,133333,1000286,00219D,0000237,1,11,1101,110111,0295,029502,244,318,1,318,244,74,20016
A,20010603,153418,1000305,00268A,0000230,1,11,1121,112111,0312,031203,345,449,1,449,345,104,20016
B,20010603,104258,1000331,00292B,0000418,1,11,1105,110501,1844,184400,197,257,1,257,197,60,20016
C,20010603,170949,1000272,00223C,0000322,1,13,1303,130303,0606,060602,213,380,7,2660,1491,1169,20016
D,20010603,170949,1000287,00223D,0000490,1,13,1301,130123,0887,088701,357,728,5,3640,1785,1855,20016
A,20010603,153418,1000305,00268A,0000507,1,11,1102,110297,1145,114501,252,328,1,328,252,76,20016
B,20010603,124725,1000329,00250B,0000650,1,14,1403,140301,0910,091000,397,517,6,3102,2382,720,20016
C,20010603,170949,1000272,00223C,0000257,1,11,1112,111209,1400,140000,379,493,1,493,379,114,20016
D,20010603,170949,1000287,00223D,0000276,1,11,1120,112097,0617,061701,142,185,1,185,142,43,20016
A,20010603,153418,1000305,00268A,0000376,1,11,1119,111905,0346,034600,359,638,5,3190,1795,1395,20016
B,20010603,124725,1000329,00250B,0000435,1,11,1101,110129,0522,052203,256,333,1,333,256,77,20016
C,20010603,170949,1000272,00223C,0000276,1,11,1120,112097,0617,061701,142,221,6,1326,852,474,20016
D,20010603,170949,1000287,00223D,0000423,1,11,1107,110791,0107,010703,290,377,1,377,290,87,20016
A,20010603,153418,1000305,00268A,0000393,1,11,1105,110517,1889,188901,410,1066,1,1066,410,656,20016
B,20010603,124725,1000329,00250B,0000608,1,14,1406,140601,0960,096001,163,212,1,212,163,49,20016
C,20010603,180115,1000270,00016C,0000657,1,11,1113,111301,0484,048401,257,335,1,335,257,78,20016
D,20010603,180115,1000285,00016D,0000618,1,11,1105,110501,0679,067905,528,687,5,3435,2640,795,20016
A,20010603,170949,1000303,00223A,0000490,1,13,1301,130123,0887,088701,357,465,1,465,357,108,20016
B,20010603,133333,1000327,00219B,0000243,1,14,1403,140301,1525,152504,187,244,1,244,187,57,20016
C,20010603,180115,1000270,00016C,0000618,1,11,1105,110501,0679,067905,528,687,1,687,528,159,20016
D,20010603,180115,1000285,00016D,0000537,1,13,1301,130135,0596,059601,298,468,5,2340,1490,850,20016
A,20010603,170949,1000303,00223A,0000257,1,11,1112,111209,1400,140000,379,493,1,493,379,114,20016
B,20010603,133333,1000327,00219B,0000237,1,11,1101,110111,0295,029502,244,318,4,1272,976,296,20016
C,20010603,180115,1000270,00016C,0000291,1,11,1112,111211,1364,136402,272,354,4,1416,1088,328,20016
D,20010603,170949,1000287,00223D,0000322,1,13,1303,130303,0606,060602,213,409,1,409,213,196,20016
A,20010603,170949,1000303,00223A,0000423,1,11,1107,110791,0107,010703,290,377,5,1885,1450,435,20016
B,20010603,153418,1000330,00268B,0000393,1,11,1105,110517,1889,188901,410,645,3,1935,1230,705,20016
C,20010603,180115,1000270,00016C,0000548,1,11,1115,111503,1207,120700,305,397,1,397,305,92,20016
D,20010603,180115,1000285,00016D,0000657,1,11,1113,111301,0484,048401,257,335,1,335,257,78,20016
A,20010603,170949,1000303,00223A,0000276,1,11,1120,112097,0617,061701,142,235,1,235,142,93,20016
B,20010603,153418,1000330,00268B,0000376,1,11,1119,111905,0346,034600,359,467,1,467,359,108,20016
C,20010603,180115,1000270,00016C,0000283,1,11,1102,110297,0134,013404,223,290,1,290,223,67,20016
D,20010603,180115,1000285,00016D,0000291,1,11,1112,111211,1364,136402,272,498,6,2988,1632,1356,20016
A,20010603,170949,1000303,00223A,0000345,1,11,1121,112105,0188,018800,343,938,6,5628,2058,3570,20016
B,20010603,153418,1000330,00268B,0000507,1,11,1102,110297,1145,114501,252,328,5,1640,1260,380,20016
C,20010603,180115,1000270,00016C,0000602,1,11,1113,111301,1772,177202,419,545,1,545,419,126,20016
D,20010603,180115,1000285,00016D,0000492,1,11,1197,119797,0501,050100,361,470,5,2350,1805,545,20016
A,20010603,170949,1000303,00223A,0000322,1,13,1303,130303,0606,060602,213,277,3,831,639,192,20016
B,20010603,153418,1000330,00268B,0000230,1,11,1121,112111,0312,031203,345,449,1,449,345,104,20016
C,20010603,180115,1000270,00016C,0000214,1,13,1302,130205,1230,123000,339,441,1,441,339,102,20016
D,20010603,180115,1000285,00016D,0000283,1,11,1102,110297,0134,013404,223,290,1,290,223,67,20016
A,20010603,180115,1000301,00016A,0000602,1,11,1113,111301,1772,177202,419,545,1,545,419,126,20016
B,20010603,153418,1000330,00268B,0000465,1,14,1402,140205,0918,091803,506,658,1,658,506,152,20016
C,20010603,180115,1000270,00016C,0000492,1,11,1197,119797,0501,050100,361,557,1,557,361,196,20016
D,20010603,180115,1000285,00016D,0000602,1,11,1113,111301,1772,177202,419,545,1,545,419,126,20016
A,20010603,180115,1000301,00016A,0000283,1,11,1102,110297,0134,013404,223,290,1,290,223,67,20016
B,20010603,104258,1000331,00292B,0000608,1,14,1406,140601,0960,096001,163,212,1,212,163,49,20016
C,20010603,180115,1000270,00016C,0000604,1,11,1121,112107,1770,177000,365,475,2,950,730,220,20016
D,20010603,180115,1000285,00016D,0000214,1,13,1302,130205,1230,123000,339,527,1,527,339,188,20016
A,20010603,180115,1000301,00016A,0000548,1,11,1115,111503,1207,120700,305,739,3,2217,915,1302,20016
B,20010603,170949,1000328,00223B,0000423,1,11,1107,110791,0107,010703,290,377,1,377,290,87,20016
C,20010603,124725,1000273,00250C,0000650,1,14,1403,140301,0910,091000,397,517,5,2585,1985,600,20016
D,20010603,170949,1000287,00223D,0000257,1,11,1112,111209,1400,140000,379,493,1,493,379,114,20016
A,20010603,180115,1000301,00016A,0000291,1,11,1112,111211,1364,136402,272,354,1,354,272,82,20016
B,20010603,170949,1000328,00223B,0000322,1,13,1303,130303,0606,060602,213,277,1,277,213,64,20016
C,20010603,180115,1000270,00016C,0000492,1,11,1197,119797,0501,050100,361,557,5,2785,1805,980,20016
D,20010603,180115,1000285,00016D,0000548,1,11,1115,111503,1207,120700,305,397,1,397,305,92,20016
A,20010603,180115,1000301,00016A,0000492,1,11,1197,119797,0501,050100,361,470,1,470,361,109,20016
B,20010603,170949,1000328,00223B,0000490,1,13,1301,130123,0887,088701,357,465,1,465,357,108,20016
C,20010603,124725,1000273,00250C,0000435,1,11,1101,110129,0522,052203,256,333,1,333,256,77,20016
D,20010603,170949,1000287,00223D,0000345,1,11,1121,112105,0188,018800,343,446,4,1784,1372,412,20016
A,20010603,180115,1000301,00016A,0000214,1,13,1302,130205,1230,123000,339,441,1,441,339,102,20016
B,20010603,170949,1000328,00223B,0000345,1,11,1121,112105,0188,018800,343,446,1,446,343,103,20016
A,20010603,180115,1000301,00016A,0000537,1,13,1301,130135,0596,059601,298,388,3,1164,894,270,20016
B,20010603,170949,1000328,00223B,0000276,1,11,1120,112097,0617,061701,142,185,1,185,142,43,20016
A,20010603,180115,1000301,00016A,0000657,1,11,1113,111301,0484,048401,257,335,1,335,257,78,20016
B,20010603,180115,1000326,00016B,0000657,1,11,1113,111301,0484,048401,257,335,5,1675,1285,390,20016
A,20010603,180115,1000301,00016A,0000618,1,11,1105,110501,0679,067905,528,687,5,3435,2640,795,20016
B,20010603,180115,1000326,00016B,0000548,1,11,1115,111503,1207,120700,305,607,6,3642,1830,1812,20016
A,20010603,180115,1000301,00016A,0000604,1,11,1121,112107,1770,177000,365,475,1,475,365,110,20016
B,20010603,180115,1000326,00016B,0000291,1,11,1112,111211,1364,136402,272,354,1,354,272,82,20016
A,20010603,180115,1000301,00016A,0000492,1,11,1197,119797,0501,050100,361,470,1,470,361,109,20016
B,20010603,180115,1000326,00016B,0000618,1,11,1105,110501,0679,067905,528,687,1,687,528,159,20016
B,20010603,180115,1000326,00016B,0000537,1,13,1301,130135,0596,059601,298,607,1,607,298,309,20016
B,20010603,180115,1000326,00016B,0000214,1,13,1302,130205,1230,123000,339,624,1,624,339,285,20016
B,20010603,180115,1000326,00016B,0000602,1,11,1113,111301,1772,177202,419,654,4,2616,1676,940,20016
B,20010603,180115,1000326,00016B,0000492,1,11,1197,119797,0501,050100,361,574,5,2870,1805,1065,20016
B,20010603,180115,1000326,00016B,0000283,1,11,1102,110297,0134,013404,223,290,5,1450,1115,335,20016
B,20010603,180115,1000326,00016B,0000604,1,11,1121,112107,1770,177000,365,475,1,475,365,110,20016
B,20010603,170949,1000328,00223B,0000257,1,11,1112,111209,1400,140000,379,493,1,493,379,114,20016
B,20010603,104258,1000331,00292B,0000590,1,11,1112,111297,1260,126001,472,614,1,614,472,142,20016
C,20010604,093537,1000276,00192C,0000572,1,11,1115,111507,1801,180100,421,548,1,548,421,127,20016
D,20010604,164912,1000293,00250D,0000509,1,13,1301,130125,1301,130103,445,701,1,701,445,256,20016
A,20010604,093537,1000308,00192A,0000261,1,11,1111,111113,1771,177104,274,357,3,1071,822,249,20016
B,20010604,160056,1000332,00030B,0000262,1,11,1110,111011,0013,001302,174,227,4,908,696,212,20016
C,20010604,093537,1000276,00192C,0000483,1,14,1403,140305,0369,036900,257,335,5,1675,1285,390,20016
D,20010604,164912,1000293,00250D,0000326,1,11,1106,110601,1340,134000,416,541,3,1623,1248,375,20016
A,20010604,093537,1000308,00192A,0000483,1,14,1403,140305,0369,036900,257,478,1,478,257,221,20016
B,20010604,164912,1000336,00250B,0000482,1,11,1119,111997,0844,084400,285,371,1,371,285,86,20016
C,20010604,093537,1000276,00192C,0000395,1,11,1118,111807,1556,155601,293,625,1,625,293,332,20016
D,20010604,093537,1000291,00192D,0000261,1,11,1111,111113,1771,177104,274,357,5,1785,1370,415,20016
A,20010604,093537,1000308,00192A,0000395,1,11,1118,111807,1556,155601,293,381,3,1143,879,264,20016
B,20010604,093537,1000334,00192B,0000471,1,11,1115,111511,1361,136102,275,433,1,433,275,158,20016
C,20010604,093537,1000276,00192C,0000471,1,11,1115,111511,1361,136102,275,358,1,358,275,83,20016
D,20010604,093537,1000291,00192D,0000471,1,11,1115,111511,1361,136102,275,358,1,358,275,83,20016
A,20010604,093537,1000308,00192A,0000471,1,11,1115,111511,1361,136102,275,358,1,358,275,83,20016
B,20010604,093537,1000334,00192B,0000483,1,14,1403,140305,0369,036900,257,490,4,1960,1028,932,20016
C,20010604,154104,1000275,00155C,0000184,1,11,1105,110505,0612,061203,518,674,1,674,518,156,20016
D,20010604,093537,1000291,00192D,0000395,1,11,1118,111807,1556,155601,293,543,1,543,293,250,20016
A,20010604,093537,1000308,00192A,0000572,1,11,1115,111507,1801,180100,421,666,2,1332,842,490,20016
B,20010604,093537,1000334,00192B,0000395,1,11,1118,111807,1556,155601,293,381,1,381,293,88,20016
C,20010604,154104,1000275,00155C,0000401,1,11,1121,112105,1216,121600,265,345,1,345,265,80,20016
D,20010604,093537,1000291,00192D,0000483,1,14,1403,140305,0369,036900,257,335,1,335,257,78,20016
A,20010604,154104,1000307,00155A,0000184,1,11,1105,110505,0612,061203,518,674,1,674,518,156,20016
B,20010604,154104,1000333,00155B,0000184,1,11,1105,110505,0612,061203,518,674,1,674,518,156,20016
C,20010604,154104,1000275,00155C,0000193,1,13,1301,130139,0026,002605,247,322,1,322,247,75,20016
D,20010604,164912,1000293,00250D,0000482,1,11,1119,111997,0844,084400,285,408,1,408,285,123,20016
A,20010604,154104,1000307,00155A,0000450,1,11,1121,112111,1405,140503,321,595,1,595,321,274,20016
B,20010604,154104,1000333,00155B,0000401,1,11,1121,112105,1216,121600,265,345,1,345,265,80,20016
C,20010604,154104,1000275,00155C,0000450,1,11,1121,112111,1405,140503,321,418,1,418,321,97,20016
D,20010604,154104,1000290,00155D,0000386,1,11,1107,110707,1659,165902,232,361,1,361,232,129,20016
A,20010604,154104,1000307,00155A,0000401,1,11,1121,112105,1216,121600,265,345,5,1725,1325,400,20016
B,20010604,154104,1000333,00155B,0000193,1,13,1301,130139,0026,002605,247,322,1,322,247,75,20016
C,20010604,154104,1000275,00155C,0000386,1,11,1107,110707,1659,165902,232,429,5,2145,1160,985,20016
