shop,date,time,receipt,customer,product,CategoryCode1,CategoryCode2,CategoryCode4,CategoryCode6,manufacturer,brand,unitCost,unitPrice,quantity,amount,costAmount,profit
A,20010123,113648,1000008,00168A,0000309,1,13,1303,130301,0394,039401,308,401,1,401,308,93
A,20010123,113648,1000008,00168A,0000596,1,14,1401,140111,1068,106801,406,528,1,528,406,122
A,20010123,113648,1000008,00168A,0000665,1,11,1112,111209,0951,095102,335,436,1,436,335,101
A,20010123,113648,1000008,00168A,0000425,1,11,1116,111601,1736,173603,208,271,3,813,624,189
A,20010123,113648,1000008,00168A,0000449,1,14,1406,140631,1215,121503,322,419,1,419,322,97
A,20010125,151137,1000009,00181A,0000258,1,11,1105,110505,1021,102101,170,221,1,221,170,51
A,20010125,151137,1000009,00181A,0000405,1,13,1301,130123,1310,131000,408,625,1,625,408,217
A,20010125,151137,1000009,00181A,0000252,1,14,1404,140401,0153,015302,238,310,5,1550,1190,360
A,20010125,151137,1000009,00181A,0000429,1,11,1119,111997,1117,111700,295,384,6,2304,1770,534
A,20010125,151137,1000009,00181A,0000353,1,11,1118,111803,1908,190802,266,346,1,346,266,80
A,20010128,150428,1000010,00044A,0000471,1,11,1115,111511,1361,136102,275,358,5,1790,1375,415
A,20010128,150428,1000010,00044A,0000277,1,11,1103,110303,1193,119305,225,293,1,293,225,68
A,20010128,150428,1000010,00044A,0000504,1,11,1121,112113,0358,035804,297,387,1,387,297,90
A,20010128,150428,1000010,00044A,0000345,1,11,1121,112105,0188,018800,343,446,1,446,343,103
A,20010128,150428,1000010,00044A,0000493,1,11,1113,111305,1755,175504,274,357,1,357,274,83
A,20010130,103152,1000013,00041A,0000278,1,11,1107,110725,0140,014000,278,362,1,362,278,84
A,20010130,103152,1000013,00041A,0000424,1,11,1111,111113,1484,148401,226,294,1,294,226,68
A,20010130,103152,1000013,00041A,0000380,1,11,1121,112105,0109,010905,209,272,2,544,418,126
A,20010130,103152,1000013,00041A,0000428,1,11,1107,110791,0126,012600,215,280,1,280,215,65
A,20010130,103152,1000013,00041A,0000280,1,14,1403,140316,0175,017501,253,329,1,329,253,76
A,20010130,173809,1000012,00021A,0000414,1,11,1117,111701,1705,170501,310,403,1,403,310,93
A,20010130,173809,1000012,00021A,0000235,1,11,1104,110413,1523,152302,321,418,5,2090,1605,485
A,20010130,173809,1000012,00021A,0000469,1,11,1113,111303,1417,141703,201,262,1,262,201,61
A,20010130,173809,1000012,00021A,0000396,1,14,1401,140103,1489,148900,404,526,1,526,404,122
A,20010130,173809,1000012,00021A,0000518,1,11,1110,111011,1369,136902,361,470,7,3290,2527,763
A,20010130,173809,1000012,00021A,0000260,1,11,1121,112107,1431,143106,325,423,5,2115,1625,490
A,20010130,173809,1000012,00021A,0000346,1,13,1301,130129,0518,051802,380,494,1,494,380,114
A,20010130,173809,1000012,00021A,0000392,1,14,1401,140107,1376,137605,254,331,1,331,254,77
A,20010130,185345,1000011,00018A,0000455,1,14,1406,140681,0361,036103,376,489,5,2445,1880,565
A,20010130,185345,1000011,00018A,0000362,1,11,1119,111901,0171,017104,222,289,1,289,222,67
A,20010130,185345,1000011,00018A,0000444,1,11,1116,111603,0315,031501,419,545,1,545,419,126
A,20010130,185345,1000011,00018A,0000291,1,11,1112,111211,1364,136402,272,354,4,1416,1088,328
A,20010130,185345,1000011,00018A,0000603,1,14,1404,140403,1336,133600,223,290,1,290,223,67
A,20010130,185345,1000011,00018A,0000237,1,11,1101,110111,0295,029502,244,318,1,318,244,74
A,20010130,185345,1000011,00018A,0000471,1,11,1115,111511,1361,136102,275,358,1,358,275,83
A,20010130,185345,1000011,00018A,0000145,1,11,1105,110505,1725,172504,449,584,1,584,449,135
A,20010130,185345,1000011,00018A,0000255,1,14,1406,140621,1894,189400,256,333,1,333,256,77
A,20010130,185345,1000011,00018A,0000208,1,11,1112,111203,0777,077700,358,466,1,466,358,108
A,20010130,185345,1000011,00018A,0000362,1,11,1119,111901,0171,017104,222,289,1,289,222,67
A,20010131,080841,1000014,00217A,0000215,1,11,1119,111907,0143,014301,99,129,1,129,99,30
A,20010201,113401,1000015,00118A,0000481,1,11,1103,110301,1896,189601,98,128,1,128,98,30
A,20010203,121000,1000016,00179A,0000024,1,11,1197,119797,0530,053001,132,172,6,1032,792,240
A,20010204,100417,1000018,00261A,0000535,1,11,1105,110504,1013,101300,376,489,4,1956,1504,452
A,20010204,100417,1000018,00261A,0000305,1,11,1101,110129,1765,176502,185,241,4,964,740,224
A,20010204,100417,1000018,00261A,0000387,1,14,1403,140325,1291,129100,269,350,1,350,269,81
A,20010204,100417,1000018,00261A,0000364,1,13,1301,130137,1772,177201,366,476,1,476,366,110
A,20010204,100417,1000018,00261A,0000345,1,11,1121,112105,0188,018800,343,547,1,547,343,204
A,20010204,213040,1000017,00217A,0000780,1,11,1112,111297,1869,186901,360,468,5,2340,1800,540
A,20010204,213040,1000017,00217A,0000545,1,11,1121,112111,0729,072900,199,259,1,259,199,60
A,20010204,213040,1000017,00217A,0000362,1,11,1119,111901,0171,017104,222,289,1,289,222,67
A,20010204,213040,1000017,00217A,0000574,1,14,1401,140101,1632,163202,222,289,2,578,444,134
A,20010204,213040,1000017,00217A,0000270,1,11,1115,111507,0605,060502,238,310,1,310,238,72
A,20010204,213040,1000017,00217A,0000485,1,14,1403,140315,0129,012907,166,216,1,216,166,50
A,20010204,213040,1000017,00217A,0000299,1,11,1110,111003,0565,056500,222,289,1,289,222,67
A,20010204,213040,1000017,00217A,0000379,1,12,1201,120197,1725,172506,243,316,1,316,243,73
A,20010204,213040,1000017,00217A,0000303,1,14,1406,140611,0856,085602,310,403,1,403,310,93
A,20010204,213040,1000017,00217A,0000357,1,11,1105,110505,0013,001300,500,650,1,650,500,150
A,20010204,213040,1000017,00217A,0000249,1,11,1103,110397,0393,039303,412,536,6,3216,2472,744
A,20010204,213040,1000017,00217A,0000331,1,11,1102,110207,0193,019301,275,358,1,358,275,83
A,20010204,213040,1000017,00217A,0000382,1,11,1119,111905,1336,133601,282,367,1,367,282,85
A,20010204,213040,1000017,00217A,0000208,1,11,1112,111203,0777,077700,358,466,5,2330,1790,540
A,20010205,130123,1000020,00179A,0000207,1,11,1115,111509,1170,117003,332,432,4,1728,1328,400
A,20010205,130123,1000020,00179A,0000149,1,14,1406,140661,0308,030800,443,576,1,576,443,133
A,20010205,140338,1000019,00084A,0000442,1,11,1101,110197,0266,026600,240,312,5,1560,1200,360
A,20010205,140338,1000019,00084A,0000385,1,11,1106,110605,1175,117501,278,362,1,362,278,84
A,20010205,140338,1000019,00084A,0000576,1,11,1102,110207,1579,157902,322,419,6,2514,1932,582
A,20010205,140338,1000019,00084A,0000277,1,11,1103,110303,1193,119305,225,293,1,293,225,68
A,20010205,140338,1000019,00084A,0000481,1,11,1103,110301,1896,189601,98,128,1,128,98,30
A,20010205,140338,1000019,00084A,0000260,1,11,1121,112107,1431,143106,325,423,1,423,325,98
A,20010206,172546,1000021,00091A,0000474,1,11,1118,111897,1812,181200,190,247,1,247,190,57
A,20010206,172546,1000021,00091A,0000308,1,14,1404,140407,0707,070700,468,609,5,3045,2340,705
A,20010206,172546,1000021,00091A,0000536,1,11,1113,111307,1083,108301,206,268,1,268,206,62
A,20010206,172546,1000021,00091A,0000377,1,11,1105,110511,0302,030201,571,743,1,743,571,172
A,20010206,172546,1000021,00091A,0000424,1,11,1111,111113,1484,148401,226,294,5,1470,1130,340
A,20010206,172546,1000021,00091A,0000420,1,11,1102,110211,0376,037601,255,332,1,332,255,77
A,20010206,172546,1000021,00091A,0000553,1,14,1403,140307,0617,061702,249,324,1,324,249,75
A,20010206,172546,1000021,00091A,0000494,1,11,1110,111009,1720,172003,236,307,1,307,236,71
A,20010206,172546,1000021,00091A,0000423,1,11,1107,110791,0107,010703,290,377,1,377,290,87
A,20010208,132523,1000022,00082A,0000246,1,11,1111,111109,1223,122300,333,433,1,433,333,100
A,20010208,132523,1000022,00082A,0000609,1,14,1401,140107,1818,181803,232,302,3,906,696,210
A,20010208,132523,1000022,00082A,0000397,1,11,1105,110517,0191,019104,212,276,1,276,212,64
A,20010208,132523,1000022,00082A,0000441,1,11,1110,111007,0713,071300,296,385,1,385,296,89
A,20010208,132523,1000022,00082A,0000283,1,11,1102,110297,0134,013404,223,290,1,290,223,67
A,20010208,132523,1000022,00082A,0000464,1,11,1102,110297,0542,054202,500,650,1,650,500,150
A,20010208,132523,1000022,00082A,0000385,1,11,1106,110605,1175,117501,278,362,1,362,278,84
A,20010208,132523,1000022,00082A,0000475,1,11,1101,110135,1067,106705,243,316,7,2212,1701,511
A,20010208,132523,1000022,00082A,0000343,1,11,1104,110407,0189,018903,384,500,1,500,384,116
A,20010208,132523,1000022,00082A,0000571,1,11,1103,110303,1158,115804,171,223,5,1115,855,260
A,20010208,132523,1000022,00082A,0000163,1,11,1106,110601,0477,047701,77,101,1,101,77,24
A,20010208,132523,1000022,00082A,0000281,1,14,1403,140305,1501,150100,206,268,1,268,206,62
A,20010208,132523,1000022,00082A,0000399,1,11,1113,111307,0939,093902,198,258,1,258,198,60
A,20010209,154647,1000023,00228A,0000220,1,11,1119,111905,0191,019100,402,523,4,2092,1608,484
A,20010209,154647,1000023,00228A,0000176,1,11,1116,111601,0018,001800,253,329,1,329,253,76
A,20010209,154647,1000023,00228A,0000319,1,11,1101,110197,1895,189503,395,514,3,1542,1185,357
A,20010209,154647,1000023,00228A,0000232,1,11,1116,111603,1347,134702,253,329,1,329,253,76
A,20010209,154647,1000023,00228A,0000197,1,14,1402,140201,1515,151500,360,468,5,2340,1800,540
A,20010211,134123,1000025,00181A,0000523,1,13,1301,130139,0120,012000,392,510,1,510,392,118
A,20010211,134123,1000025,00181A,0000360,1,11,1119,111905,1327,132705,235,306,1,306,235,71
A,20010211,134123,1000025,00181A,0000442,1,11,1101,110197,0266,026600,240,312,1,312,240,72
A,20010211,143917,1000024,00144A,0000317,1,11,1119,111907,0623,062301,357,465,1,465,357,108
A,20010211,143917,1000024,00144A,0000517,1,11,1197,119705,1151,115102,424,552,1,552,424,128
A,20010211,143917,1000024,00144A,0000294,1,14,1406,140681,0694,069401,236,307,1,307,236,71
A,20010211,143917,1000024,00144A,0000433,1,14,1497,149797,0227,022700,416,541,1,541,416,125
A,20010211,143917,1000024,00144A,0000387,1,14,1403,140325,1291,129100,269,350,5,1750,1345,405
A,20010211,143917,1000024,00144A,0000235,1,11,1104,110413,1523,152302,321,418,1,418,321,97
A,20010212,131823,1000026,00227A,0000563,1,11,1121,112113,0367,036703,132,172,3,516,396,120
A,20010212,131823,1000026,00227A,0000357,1,11,1105,110505,0013,001300,500,922,1,922,500,422
A,20010212,131823,1000026,00227A,0000443,1,13,1301,130121,1886,188600,395,514,1,514,395,119
A,20010212,131823,1000026,00227A,0000396,1,14,1401,140103,1489,148900,404,526,1,526,404,122
A,20010212,131823,1000026,00227A,0000431,1,11,1101,110129,1705,170502,207,270,1,270,207,63
A,20010212,131823,1000026,00227A,0000343,1,11,1104,110407,0189,018903,384,500,6,3000,2304,696
A,20010212,131823,1000026,00227A,0000629,1,11,1107,110703,1409,140900,278,362,1,362,278,84
A,20010212,131823,1000026,00227A,0000343,1,11,1104,110407,0189,018903,384,500,1,500,384,116
A,20010212,131823,1000026,00227A,0000380,1,11,1121,112105,0109,010905,209,272,1,272,209,63
A,20010213,111536,1000027,00168A,0000589,1,11,1116,111601,1296,129603,265,345,1,345,265,80
A,20010213,111536,1000027,00168A,0000283,1,11,1102,110297,0134,013404,223,290,5,1450,1115,335
A,20010213,111536,1000027,00168A,0000442,1,11,1101,110197,0266,026600,240,312,5,1560,1200,360
A,20010213,111536,1000027,00168A,0000541,1,11,1101,110129,0121,012101,277,361,3,1083,831,252
A,20010213,111536,1000027,00168A,0000572,1,11,1115,111507,1801,180100,421,548,1,548,421,127
A,20010213,111536,1000027,00168A,0000488,1,11,1119,111905,1644,164402,358,466,1,466,358,108
A,20010213,134652,1000028,00181A,0000385,1,11,1106,110605,1175,117501,278,362,5,1810,1390,420
A,20010213,134652,1000028,00181A,0000448,1,11,1120,112005,1298,129803,313,407,1,407,313,94
A,20010213,134652,1000028,00181A,0000220,1,11,1119,111905,0191,019100,402,523,1,523,402,121
A,20010216,105511,1000029,00088A,0000594,1,11,1113,111303,1991,199103,248,323,5,1615,1240,375
A,20010216,105511,1000029,00088A,0000402,1,11,1101,110135,1198,119800,310,403,1,403,310,93
A,20010216,105511,1000029,00088A,0000429,1,11,1119,111997,1117,111700,295,384,1,384,295,89
A,20010216,105511,1000029,00088A,0000289,1,14,1406,140691,0678,067800,475,618,1,618,475,143
A,20010216,105511,1000029,00088A,0000627,1,11,1111,111107,0179,017901,112,146,1,146,112,34
A,20010216,105511,1000029,00088A,0000136,1,14,1404,140497,1472,147200,279,363,1,363,279,84
A,20010216,105511,1000029,00088A,0000414,1,11,1117,111701,1705,170501,310,403,1,403,310,93
A,20010216,105511,1000029,00088A,0000454,1,14,1401,140107,1804,180403,199,259,1,259,199,60
A,20010216,122637,1000032,00180A,0000275,1,14,1406,140693,0570,057004,370,481,1,481,370,111
A,20010216,122637,1000032,00180A,0000598,1,14,1406,140621,1747,174700,206,268,1,268,206,62
A,20010216,122637,1000032,00180A,0000402,1,11,1101,110135,1198,119800,310,403,1,403,310,93
A,20010216,122637,1000032,00180A,0000461,1,14,1406,140671,0894,089401,381,496,1,496,381,115
A,20010216,122637,1000032,00180A,0000280,1,14,1403,140316,0175,017501,253,329,1,329,253,76
A,20010216,122637,1000032,00180A,0000471,1,11,1115,111511,1361,136102,275,358,1,358,275,83
A,20010216,122637,1000032,00180A,0000493,1,11,1113,111305,1755,175504,274,357,1,357,274,83
A,20010216,122637,1000032,00180A,0000505,1,11,1108,110803,0085,008500,194,253,5,1265,970,295
A,20010216,122637,1000032,00180A,0000414,1,11,1117,111701,1705,170501,310,403,1,403,310,93
A,20010216,122637,1000032,00180A,0000466,1,14,1401,140105,0590,059003,408,531,1,531,408,123
A,20010216,143742,1000030,00160A,0000260,1,11,1121,112107,1431,143106,325,423,1,423,325,98
A,20010216,143742,1000030,00160A,0000463,1,14,1402,140211,0108,010800,333,433,1,433,333,100
A,20010216,143742,1000030,00160A,0000315,1,14,1402,140205,0405,040501,290,377,1,377,290,87
A,20010216,143742,1000030,00160A,0000553,1,14,1403,140307,0617,061702,249,324,1,324,249,75
A,20010216,161106,1000031,00178A,0000308,1,14,1404,140407,0707,070700,468,609,1,609,468,141
A,20010216,161106,1000031,00178A,0000478,1,11,1101,110125,0807,080700,121,158,1,158,121,37
A,20010216,161106,1000031,00178A,0000391,1,11,1111,111111,0052,005200,191,249,1,249,191,58
A,20010216,161106,1000031,00178A,0000420,1,11,1102,110211,0376,037601,255,332,1,332,255,77
A,20010216,161106,1000031,00178A,0000276,1,11,1120,112097,0617,061701,142,185,1,185,142,43
A,20010216,161106,1000031,00178A,0000342,1,14,1401,140115,0147,014700,332,432,1,432,332,100
A,20010216,161106,1000031,00178A,0000285,1,11,1110,111015,1516,151601,208,271,1,271,208,63
A,20010217,122709,1000033,00221A,0000506,1,13,1301,130129,0854,085400,246,320,1,320,246,74
A,20010217,122709,1000033,00221A,0000324,1,11,1120,112005,1854,185406,286,372,1,372,286,86
A,20010217,122709,1000033,00221A,0000528,1,11,1107,110721,0547,054700,241,314,1,314,241,73
A,20010217,122709,1000033,00221A,0000278,1,11,1107,110725,0140,014000,278,362,1,362,278,84
A,20010217,122709,1000033,00221A,0000547,1,14,1404,140497,0338,033801,183,238,1,238,183,55
A,20010217,122709,1000033,00221A,0000335,1,11,1101,110103,0485,048500,109,142,3,426,327,99
A,20010217,122709,1000033,00221A,0000452,1,11,1108,110802,0506,050602,235,384,5,1920,1175,745
A,20010217,122709,1000033,00221A,0000390,1,11,1117,111797,1943,194300,411,535,1,535,411,124
A,20010217,122709,1000033,00221A,0000270,1,11,1115,111507,0605,060502,238,357,1,357,238,119
A,20010220,141805,1000034,00049A,0000482,1,11,1119,111997,0844,084400,285,371,1,371,285,86
A,20010220,141805,1000034,00049A,0000293,1,11,1116,111697,1527,152705,296,385,1,385,296,89
A,20010220,141805,1000034,00049A,0000117,1,14,1406,140691,0714,071401,197,257,1,257,197,60
A,20010222,112146,1000035,00250A,0000432,1,11,1105,110509,1258,125804,331,431,5,2155,1655,500
A,20010222,112146,1000035,00250A,0000391,1,11,1111,111111,0052,005200,191,249,1,249,191,58
A,20010222,112146,1000035,00250A,0000479,1,13,1301,130127,1293,129301,188,245,5,1225,940,285
A,20010222,112146,1000035,00250A,0000289,1,14,1406,140691,0678,067800,475,618,6,3708,2850,858
A,20010222,112146,1000035,00250A,0000516,1,14,1403,140313,0263,026304,243,316,7,2212,1701,511
A,20010222,112146,1000035,00250A,0000191,1,11,1117,111703,1508,150802,488,635,1,635,488,147
A,20010222,112146,1000035,00250A,0000463,1,14,1402,140211,0108,010800,333,433,1,433,333,100
A,20010222,112146,1000035,00250A,0000318,1,13,1304,130497,1248,124805,231,301,1,301,231,70
A,20010223,110603,1000037,00254A,0000436,1,11,1111,111197,0407,040704,331,431,1,431,331,100
A,20010223,110603,1000037,00254A,0000368,1,13,1301,130139,0054,005401,335,436,5,2180,1675,505
A,20010223,110603,1000037,00254A,0000574,1,14,1401,140101,1632,163202,222,289,1,289,222,67
A,20010223,110603,1000037,00254A,0000373,1,11,1118,111897,1341,134100,91,119,1,119,91,28
A,20010223,110603,1000037,00254A,0000486,1,11,1108,110801,1315,131504,208,292,1,292,208,84
A,20010223,110603,1000037,00254A,0000374,1,11,1117,111701,0151,015100,329,428,1,428,329,99
A,20010223,110603,1000037,00254A,0000457,1,11,1110,111007,1319,131902,174,227,1,227,174,53
A,20010223,110603,1000037,00254A,0000414,1,11,1117,111701,1705,170501,310,403,1,403,310,93
A,20010223,122531,1000036,00044A,0000367,1,11,1106,110697,0048,004803,292,380,5,1900,1460,440
A,20010223,122531,1000036,00044A,0000481,1,11,1103,110301,1896,189601,98,128,1,128,98,30
A,20010223,122531,1000036,00044A,0000397,1,11,1105,110517,0191,019104,212,276,1,276,212,64
A,20010223,122531,1000036,00044A,0000602,1,11,1113,111301,1772,177202,419,545,4,2180,1676,504
A,20010223,122531,1000036,00044A,0000336,1,11,1111,111101,1496,149602,393,511,6,3066,2358,708
A,20010223,122531,1000036,00044A,0000535,1,11,1105,110504,1013,101300,376,489,1,489,376,113
A,20010223,122531,1000036,00044A,0000313,1,11,1119,111997,1378,137803,185,241,5,1205,925,280
A,20010223,122531,1000036,00044A,0000579,1,11,1102,110211,1884,188400,259,337,1,337,259,78
A,20010223,122531,1000036,00044A,0000332,1,11,1107,110721,0550,055003,354,461,1,461,354,107
A,20010224,112454,1000041,00254A,0000487,1,11,1117,111705,0717,071700,207,270,1,270,207,63
A,20010224,112454,1000041,00254A,0000365,1,14,1401,140111,0769,076900,161,210,1,210,161,49
A,20010224,112454,1000041,00254A,0000600,1,14,1406,140621,1730,173000,245,319,1,319,245,74
A,20010224,112454,1000041,00254A,0000275,1,14,1406,140693,0570,057004,370,481,1,481,370,111
A,20010224,112454,1000041,00254A,0000534,1,11,1104,110415,1226,122600,374,487,1,487,374,113
A,20010224,112454,1000041,00254A,0000327,1,13,1302,130297,0471,047101,357,465,7,3255,2499,756
A,20010224,112454,1000041,00254A,0000364,1,13,1301,130137,1772,177201,366,476,3,1428,1098,330
A,20010224,112454,1000041,00254A,0000339,1,11,1105,110501,1285,128501,430,559,1,559,430,129
A,20010224,143400,1000038,00004A,0000441,1,11,1110,111007,0713,071300,296,385,1,385,296,89
A,20010224,143400,1000038,00004A,0000377,1,11,1105,110511,0302,030201,571,743,5,3715,2855,860
A,20010224,143400,1000038,00004A,0000482,1,11,1119,111997,0844,084400,285,371,1,371,285,86
A,20010224,143400,1000038,00004A,0000311,1,11,1116,111603,1776,177601,339,441,1,441,339,102
A,20010224,150343,1000040,00118A,0000613,1,11,1114,111401,1568,156801,342,445,1,445,342,103
A,20010224,150343,1000040,00118A,0000339,1,11,1105,110501,1285,128501,430,559,5,2795,2150,645
A,20010224,150343,1000040,00118A,0000405,1,13,1301,130123,1310,131000,408,625,7,4375,2856,1519
A,20010224,150343,1000040,00118A,0000319,1,11,1101,110197,1895,189503,395,514,1,514,395,119
A,20010224,150343,1000040,00118A,0000355,1,14,1403,140309,0585,058501,336,437,4,1748,1344,404
A,20010224,150343,1000040,00118A,0000393,1,11,1105,110517,1889,188901,410,746,4,2984,1640,1344
A,20010224,162043,1000039,00077A,0000431,1,11,1101,110129,1705,170502,207,270,1,270,207,63
A,20010224,162043,1000039,00077A,0000239,1,11,1104,110497,0781,078100,225,293,1,293,225,68
A,20010224,162043,1000039,00077A,0000646,1,13,1302,130205,1380,138005,393,511,1,511,393,118
A,20010224,162043,1000039,00077A,0000233,1,11,1101,110142,0244,024400,406,528,1,528,406,122
A,20010224,162043,1000039,00077A,0000532,1,13,1301,130121,1482,148204,202,263,1,263,202,61
A,20010224,162043,1000039,00077A,0000378,1,13,1301,130139,0386,038605,222,289,1,289,222,67
A,20010224,162043,1000039,00077A,0000547,1,14,1404,140497,0338,033801,183,238,1,238,183,55
A,20010226,133433,1000043,00271A,0000248,1,13,1301,130137,0340,034000,373,485,1,485,373,112
A,20010226,133433,1000043,00271A,0000244,1,11,1107,110797,1203,120300,272,354,1,354,272,82
A,20010226,133433,1000043,00271A,0000392,1,14,1401,140107,1376,137605,254,331,5,1655,1270,385
A,20010226,144910,1000042,00168A,0000715,1,11,1121,112111,1378,137804,288,375,5,1875,1440,435
A,20010226,144910,1000042,00168A,0000469,1,11,1113,111303,1417,141703,201,315,1,315,201,114
A,20010226,144910,1000042,00168A,0000226,1,11,1107,110705,0904,090400,339,441,1,441,339,102
A,20010226,144910,1000042,00168A,0000417,1,11,1107,110703,0442,044204,395,514,1,514,395,119
A,20010226,144910,1000042,00168A,0000323,1,14,1406,140697,1714,171400,327,426,1,426,327,99
A,20010226,144910,1000042,00168A,0000463,1,14,1402,140211,0108,010800,333,596,1,596,333,263
A,20010226,144910,1000042,00168A,0000280,1,14,1403,140316,0175,017501,253,329,5,1645,1265,380
A,20010226,144910,1000042,00168A,0000553,1,14,1403,140307,0617,061702,249,324,1,324,249,75
A,20010226,144910,1000042,00168A,0000324,1,11,1120,112005,1854,185406,286,372,7,2604,2002,602
A,20010226,144910,1000042,00168A,0000266,1,11,1104,110407,1862,186200,334,435,1,435,334,101
A,20010226,144910,1000042,00168A,0000399,1,11,1113,111307,0939,093902,198,258,5,1290,990,300
