CategoryCode4,Category4
3109,Business_Use_Machine
3110,Business_Machine
3111,OA_Software
3112,Design_Drafting_Supplies
3113,Design_Picture_Materials
3115,Office_Furniture
3116,Portable_Stationary
3117,Stationary_Office_Supplies_Gift
3118,Electronic_Related_Stationary
3197,General_Stationary_Office_Supplies
3201,General_Game
3202,Puzzle
3203,Electronic_Game
3204,Video_Game
3205,Boy_Character_Figures
3206,Stuff_Toy
3207,Mini_Car
3208,Train_Rails
3209,Science_Control
3210,Kisekae
3211,Mamagoto
3212,Girl_Hobby
3213,Toy_Doll
3214,Intellectual_Growth_Music_Toy
3215,Nurture_Toy
3216,Fancy
3217,Sewing_Related
3218,Plane_Model
3219,Radio_Control
3220,Rail_Model
3221,Gun
3222,Craft_Hobby
3223,Hobby_Related_Supplies
3224,Gift_Doll
3225,Seasonal_Supplies
3226,Fireworks
3227,Little_Toy
3228,Sport
3229,Vehicle
3297,Miscellanous
3299,Unknown_Toy
3397,General_Books
3399,Unknown_Books
3401,Pianos
3402,Music_Organs
3403,Wind_Instrument
3404,String_Instrument
3405,Percussion_Instrument
3406,Electronic_Musical_Instrument
3407,Japanese_Musical_Instrument
3408,Musical_Instrument_Parts_Accessories
3409,Recording
3497,General_Musical_Instrument_Software
3499,Unknown_Musical_Instrument_Software
3599,Unknown_Sporting_Goods
3601,Digital
3602,Analog
3603,Hybrid
3604,System_Program
3605,Application_Program
3606,Wire_Communication_Device
3697,General_Information_Equipment
3699,Unknown_Information_Equipment
3901,Match_Candle_Incense_Stick
3902,Small_Needlework_Tools
3903,Sign_Advertisement_Supplies
3904,Religious_Supplies
3997,General_Culture_Supplies
3999,Unknown_Culture_Supplies
4201,Cabinet
4202,Closet
4203,Shelf
4204,Box
4205,Stool
4206,Desk
4207,Table
4208,Dresser
4209,Stand
4210,Chair
4211,Bed
4212,Matress
4213,Safety_Box
4214,Locker
4215,Container_Stand
4297,General_Furniture
4299,Unknown_Furniture
4301,Car_Accessories
4303,Motor_Bike
4305,Bicycle
4397,General_Car_Accessories
4399,Unknown_Car_Accessories
4401,Clock
4402,Time_Related_Products
4405,Glasses
4497,General_Clock_Products
4499,Unknown_Clock_Products
4501,Camera
4502,Interchangeable_Lens
4503,Optical_Equipment
4504,Photography_Supplies
4505,Film
4597,Miscellanous_Photography_Supplies
4599,Unknown_Photography_Supplies
4601,Television_Related
4603,Video_Related
4605,VDP_Related
4607,Stereo_Related
4609,Stereo
4611,Miscellanous_Audio
4613,Radio_Related
4615,Car_Related
4617,Transceiver_Loudspeaker_Related
4619,Magnetic_Tape_Related
4621,Air_Conditioner_Equipment_Accessories
4623,Fan
4625,Central_Heater
4627,Portable_Heater
4629,Kitchen_Appliances
4631,Range
4633,Rotary_Cooking_Device
4635,Electric_Cooking_Device
4637,Cooking_Related_Device
4639,Refrigeration_Appliances
4641,Housekeeping_Supplies
4643,Beauty_Care_Supplies
4645,Health_Medical_Equipment
4647,Illumination_Supplies
4649,Business_School_Supplies
4651,Clock_Camera
4653,Musical_Instrument
4655,OA_Machinery
4657,Residence_Supplies
4659,Carpenter_Gardening_Leisure_Supplies
4661,Leisure_Home_Appliances
4663,Consumables
4697,Other_Appliances
4699,Unknown_Appliances
4901,Fine_Arts_Craftwork
4902,Camera
4903,Sewing_Machine
4904,Fine_Metals
4997,General_Durable_Consumer_Goods
4999,Unknown_Durable_Consumer_Goods
5101,Underwear_Socks
5102,Child_Clothing
5103,Mens_Clothing
5104,Womens_Clothing
5105,Sports_Wear
5106,Drapery
5107,Formal
5108,Jeans
5197,General_Clothing
5199,Unknown_Clothing
5301,Futon
5302,Blanket
5303,Sheets_Covers
5304,Bed_Accessories
5305,Foot_Warmer
5306,Baby_Sleepwear
5307,Bed_Supplies
5308,Towels
5309,Interior_Supplies
5397,General_Bed_Supplies
5399,Unknown_Bed_Supplies
5401,Child_Clothing
5402,Mens_Clothing
5403,Womens_Clothing
5404,Japanese_Dress
5405,Handbags
5406,Bag
5407,Umbrella_Stick
5408,Japanese_Fan
5409,Ornament
5497,General_Apparel
5501,Baby
5502,Teens_Kids(Leather)
5503,Senior(Artifical_Leather)
5504,Mens(Leather)
5505,Mens(Artifical_Leather)
5506,Mens(Other)
5507,Womens(Leather)
5508,Womens(Artifical_Leather)
5509,Womens(Other)
5510,Miscellanous_Shoes
5599,Unknown_Shoes
5601,Baseball_Softball
5602,Racquets_Accessories
5603,Field_Truck_Equipment
5604,Tennis_Tabletennis_Badminton_Equipment
5605,Golfing_Equipment
5606,Ski_Ice_Hockey_Ice_Skating_Equipment
5607,Boxing_Martial_Arts
5608,Gymnastics
5609,Fishing_Diving_Swimming
5697,General_Sports_Equipment
5999,Unknown_Clothing_Appparel
9901,Miscellanous_Imports
9999,Unknown_Product
