command,data_set,real,user,sys,user_sys
xtsort,100_2,1.288,0.975,0.108,1.083
sort,100_2,26.05,25.98,0.069,26.049
msortf,100_10,1.437,1.373,0.188,1.561
xtsort,100_10,1.361,0.971,0.111,1.082
sort,100_10,25.485,25.413,0.072,25.485
msortf,100_100,1.232,1.904,0.189,2.093
xtsort,100_100,1.19,0.956,0.11,1.066
sort,100_100,24.665,24.594,0.07,24.664
msortf,100_1000,1.258,2.11,0.189,2.299
xtsort,100_1000,1.278,0.967,0.11,1.077
sort,100_1000,23.953,23.883,0.07,23.953
msortf,100_10000,1.293,2.215,0.192,2.407
xtsort,100_10000,1.162,0.948,0.11,1.058
sort,100_10000,23.254,23.183,0.07,23.253
msortf,100_rand,1.732,1.984,0.194,2.178
xtsort,100_rand,2.414,0.959,0.12,1.079
sort,100_rand,21.185,21.113,0.071,21.184
msortf,100_rand_asc,1.141,0.503,0.2,0.703
xtsort,100_rand_asc,1.27,0.612,0.111,0.723
sort,100_rand_asc,10.821,10.753,0.067,10.82
msortf,100_rand_dec,1.353,0.521,0.193,0.714
xtsort,100_rand_dec,1.285,0.806,0.107,0.913
sort,100_rand_dec,11.238,11.168,0.069,11.237
msortf,100_2,1.369,0.62,0.196,0.816
xtsort,100_2,1.271,0.974,0.11,1.084
sort,100_2,26.07,25.994,0.075,26.069
msortf,100_10,1.406,1.365,0.198,1.563
xtsort,100_10,1.292,0.966,0.109,1.075
sort,100_10,25.488,25.413,0.074,25.487
msortf,100_100,1.453,1.893,0.197,2.09
xtsort,100_100,1.247,0.958,0.109,1.067
sort,100_100,24.67,24.595,0.074,24.669
msortf,100_1000,1.217,2.107,0.188,2.295
xtsort,100_1000,1.206,0.957,0.109,1.066
sort,100_1000,23.97,23.899,0.07,23.969
msortf,100_10000,1.371,2.215,0.194,2.409
xtsort,100_10000,1.279,0.955,0.112,1.067
sort,100_10000,23.272,23.197,0.074,23.271
msortf,100_rand,1.489,1.971,0.201,2.172
xtsort,100_rand,1.257,0.952,0.109,1.061
sort,100_rand,21.232,21.16,0.071,21.231
msortf,100_rand_asc,1.145,0.514,0.193,0.707
xtsort,100_rand_asc,1.268,0.617,0.108,0.725
sort,100_rand_asc,10.83,10.761,0.068,10.829
msortf,100_rand_dec,1.118,0.513,0.193,0.706
xtsort,100_rand_dec,1.218,0.804,0.108,0.912
sort,100_rand_dec,11.248,11.182,0.065,11.247
msortf,100_2,1.139,0.632,0.197,0.829
xtsort,100_2,4.137,0.991,0.126,1.117
sort,100_2,26.074,25.999,0.074,26.073
msortf,100_10,1.707,1.37,0.179,1.549
xtsort,100_10,1.582,0.958,0.108,1.066
sort,100_10,25.463,25.392,0.071,25.463
msortf,100_100,1.219,1.906,0.19,2.096
xtsort,100_100,1.293,0.948,0.108,1.056
sort,100_100,24.681,24.607,0.073,24.68
msortf,100_1000,1.355,2.104,0.197,2.301
xtsort,100_1000,1.231,0.943,0.108,1.051
sort,100_1000,23.951,23.879,0.071,23.95
msortf,100_10000,1.448,2.22,0.197,2.417
xtsort,100_10000,1.278,0.957,0.109,1.066
sort,100_10000,23.244,23.173,0.069,23.242
msortf,100_rand,1.364,1.976,0.202,2.178
xtsort,100_rand,1.186,0.955,0.109,1.064
sort,100_rand,21.213,21.14,0.072,21.212
msortf,100_rand_asc,1.011,0.514,0.203,0.717
xtsort,100_rand_asc,1.103,0.611,0.109,0.72
sort,100_rand_asc,10.814,10.746,0.067,10.813
msortf,100_rand_dec,1.019,0.534,0.197,0.731
xtsort,100_rand_dec,1.149,0.808,0.107,0.915
sort,100_rand_dec,11.242,11.175,0.066,11.241
msortf,100_2,1.38,0.616,0.19,0.806
xtsort,100_2,1.264,0.976,0.111,1.087
sort,100_2,26.05,25.975,0.074,26.049
msortf,100_10,1.287,1.37,0.192,1.562
xtsort,100_10,1.251,0.958,0.108,1.066
sort,100_10,25.444,25.372,0.071,25.443
msortf,100_100,1.239,1.91,0.186,2.096
xtsort,100_100,1.2,0.95,0.109,1.059
sort,100_100,24.705,24.632,0.072,24.704
msortf,100_1000,1.312,2.108,0.192,2.3
xtsort,100_1000,1.63,0.96,0.114,1.074
sort,100_1000,23.98,23.907,0.072,23.979
msortf,100_10000,1.328,2.216,0.191,2.407
xtsort,100_10000,1.269,0.943,0.113,1.056
sort,100_10000,23.264,23.195,0.068,23.263
msortf,100_rand,1.486,1.98,0.193,2.173
xtsort,100_rand,1.206,0.949,0.109,1.058
sort,100_rand,21.204,21.134,0.069,21.203
msortf,100_rand_asc,1.32,0.504,0.19,0.694
xtsort,100_rand_asc,1.202,0.611,0.111,0.722
sort,100_rand_asc,10.818,10.749,0.068,10.817
msortf,100_rand_dec,0.932,0.523,0.196,0.719
xtsort,100_rand_dec,1.255,0.805,0.109,0.914
sort,100_rand_dec,11.249,11.182,0.067,11.249
msortf,100_2,1.372,0.624,0.194,0.818
xtsort,100_2,1.252,0.985,0.111,1.096
sort,100_2,26.067,25.992,0.074,26.066
msortf,100_10,1.339,1.37,0.196,1.566
xtsort,100_10,1.248,0.953,0.109,1.062
sort,100_10,25.463,25.389,0.073,25.462
msortf,100_100,1.403,1.9,0.193,2.093
xtsort,100_100,1.264,0.958,0.111,1.069
sort,100_100,24.684,24.612,0.071,24.683
msortf,100_1000,1.232,2.111,0.188,2.299
xtsort,100_1000,1.316,0.96,0.111,1.071
sort,100_1000,23.957,23.884,0.072,23.956
msortf,100_10000,1.24,2.221,0.182,2.403
xtsort,100_10000,1.151,0.947,0.109,1.056
sort,100_10000,23.327,23.251,0.074,23.325
msortf,100_rand,4.552,1.982,0.216,2.198
xtsort,100_rand,2.187,1.008,0.149,1.157
sort,100_rand,21.217,21.146,0.07,21.216
msortf,100_rand_asc,1.714,0.515,0.205,0.72
xtsort,100_rand_asc,2.679,0.627,0.123,0.75
sort,100_rand_asc,10.884,10.815,0.068,10.883
msortf,100_rand_dec,1.783,0.536,0.197,0.733
xtsort,100_rand_dec,1.436,0.808,0.114,0.922
sort,100_rand_dec,11.249,11.18,0.069,11.249
