顧客,日付,日数
00006A,20010531,149
00006A,20010616,165
00006A,20010616,165
00006A,20010710,189
00006A,20010710,189
00006A,20010710,189
00006A,20010710,189
00006A,20010710,189
00006A,20010805,215
00006A,20010805,215
00006A,20010914,255
00006A,20010914,255
00006A,20010914,255
00006A,20010914,255
00006A,20010914,255
00006A,20010926,267
00006A,20010926,267
00006A,20010926,267
00006A,20010926,267
00006A,20011021,292
00006A,20011021,292
00006A,20011021,292
00006A,20011021,292
00006A,20011021,292
00006A,20011103,305
00006A,20011103,305
00006A,20011103,305
00006A,20011103,305
00006A,20011105,307
00006A,20011105,307
00006A,20011105,307
00006A,20011105,307
00006A,20011105,307
00006A,20011105,307
00006A,20011105,307
00006A,20011105,307
00006A,20011106,308
00006A,20011220,352
00006A,20011220,352
00006A,20011220,352
00006A,20011220,352
00006B,20010531,149
00006B,20010531,149
00006B,20010531,149
00006B,20010531,149
00006B,20010531,149
00006B,20010616,165
00006B,20010616,165
00006B,20010710,189
00006B,20010710,189
00006B,20010710,189
00006B,20010710,189
00006B,20010710,189
00006B,20010805,215
00006B,20010805,215
00006B,20010914,255
00006B,20010914,255
00006B,20010914,255
00006B,20010914,255
00006B,20010914,255
00006B,20010926,267
00006B,20010926,267
00006B,20010926,267
00006B,20010926,267
00006B,20011021,292
00006B,20011021,292
00006B,20011021,292
00006B,20011021,292
00006B,20011021,292
00006B,20011103,305
00006B,20011103,305
00006B,20011103,305
00006B,20011103,305
00006B,20011105,307
00006B,20011105,307
00006B,20011105,307
00006B,20011105,307
00006B,20011105,307
00006B,20011105,307
00006B,20011105,307
00006B,20011105,307
00006B,20011106,308
00006B,20011220,352
00006B,20011220,352
00006B,20011220,352
00006B,20011220,352
00006C,20010531,149
00006C,20010531,149
00006C,20010531,149
00006C,20010531,149
00006C,20010531,149
00006C,20010616,165
00006C,20010616,165
00006C,20010710,189
00006C,20010710,189
00006C,20010710,189
00006C,20010710,189
00006C,20010710,189
00006C,20010805,215
00006C,20010805,215
00006C,20010914,255
00006C,20010914,255
00006C,20010914,255
00006C,20010914,255
00006C,20010914,255
00006C,20010926,267
00006C,20010926,267
00006C,20010926,267
00006C,20010926,267
00006C,20011021,292
00006C,20011021,292
00006C,20011021,292
00006C,20011021,292
00006C,20011021,292
00006C,20011103,305
00006C,20011103,305
00006C,20011103,305
00006C,20011103,305
00006C,20011105,307
00006C,20011105,307
00006C,20011105,307
00006C,20011105,307
00006C,20011105,307
00006C,20011105,307
00006C,20011105,307
00006C,20011105,307
00006C,20011106,308
00006C,20011220,352
00006C,20011220,352
00006C,20011220,352
00006C,20011220,352
00006D,20010531,149
00006D,20010531,149
00006D,20010531,149
00006D,20010531,149
00006D,20010531,149
00006D,20010616,165
00006D,20010616,165
00006D,20010710,189
00006D,20010710,189
00006D,20010710,189
00006D,20010710,189
00006D,20010710,189
00006D,20010805,215
00006D,20010805,215
00006D,20010914,255
00006D,20010914,255
00006D,20010914,255
00006D,20010914,255
00006D,20010914,255
00006D,20010926,267
00006D,20010926,267
00006D,20010926,267
00006D,20010926,267
00006D,20011021,292
00006D,20011021,292
00006D,20011021,292
00006D,20011021,292
00006D,20011021,292
00006D,20011103,305
00006D,20011103,305
00006D,20011103,305
00006D,20011103,305
00006D,20011105,307
00006D,20011105,307
00006D,20011105,307
00006D,20011105,307
00006D,20011105,307
00006D,20011105,307
00006D,20011105,307
00006D,20011105,307
00006D,20011106,308
00006D,20011220,352
00006D,20011220,352
00006D,20011220,352
00006D,20011220,352
00008A,20010414,102
00008A,20010414,102
00008A,20010414,102
00008A,20010414,102
00008A,20010414,102
00008A,20010414,102
00008A,20010414,102
00008A,20010426,114
00008A,20010427,115
00008A,20010505,123
00008A,20010505,123
00008A,20010505,123
00008A,20010505,123
00008B,20010414,102
00008B,20010414,102
00008B,20010414,102
00008B,20010414,102
00008B,20010414,102
00008B,20010414,102
00008B,20010414,102
00008B,20010426,114
00008B,20010427,115
00008B,20010505,123
00008B,20010505,123
00008B,20010505,123
00008B,20010505,123
00008C,20010414,102
00008C,20010414,102
00008C,20010414,102
00008C,20010414,102
00008C,20010414,102
00008C,20010414,102
00008C,20010414,102
00008C,20010426,114
00008C,20010427,115
00008C,20010505,123
00008C,20010505,123
00008C,20010505,123
00008C,20010505,123
00008D,20010414,102
00008D,20010414,102
00008D,20010414,102
00008D,20010414,102
00008D,20010414,102
00008D,20010414,102
00008D,20010414,102
00008D,20010426,114
00008D,20010427,115
00008D,20010505,123
00008D,20010505,123
00008D,20010505,123
00008D,20010505,123
00009A,20011224,356
00009A,20011224,356
00009A,20011224,356
00009A,20011224,356
00009A,20011224,356
00009A,20011224,356
00009A,20011224,356
00009A,20011224,356
00009A,20011224,356
00009A,20011224,356
00009B,20011224,356
00009B,20011224,356
00009B,20011224,356
00009B,20011224,356
00009B,20011224,356
00009B,20011224,356
00009B,20011224,356
00009B,20011224,356
00009B,20011224,356
00009B,20011224,356
00009C,20011224,356
00009C,20011224,356
00009C,20011224,356
00009C,20011224,356
00009C,20011224,356
00009C,20011224,356
00009C,20011224,356
00009C,20011224,356
00009C,20011224,356
00009C,20011224,356
00009D,20011224,356
00009D,20011224,356
00009D,20011224,356
00009D,20011224,356
00009D,20011224,356
00009D,20011224,356
00009D,20011224,356
00009D,20011224,356
00009D,20011224,356
00009D,20011224,356
00010A,20010601,150
00010A,20010601,150
00010A,20010601,150
00010A,20010601,150
00010B,20010601,150
00010B,20010601,150
00010B,20010601,150
00010B,20010601,150
00010C,20010601,150
00010C,20010601,150
00010C,20010601,150
00010C,20010601,150
00010D,20010601,150
00010D,20010601,150
00010D,20010601,150
00010D,20010601,150
00012A,20010501,119
00012A,20010501,119
00012A,20010501,119
00012A,20010501,119
00012A,20010501,119
00012A,20010501,119
00012A,20010501,119
00012A,20010502,120
00012A,20010502,120
00012A,20010502,120
00012A,20010502,120
00012A,20010502,120
00012A,20010502,120
00012A,20010502,120
00012A,20010502,120
00012A,20010502,120
00012A,20010502,120
00012A,20010618,167
00012A,20010618,167
00012A,20010618,167
00012A,20010618,167
00012A,20010618,167
00012A,20010618,167
00012A,20010618,167
00012A,20010624,173
00012A,20010624,173
00012A,20010624,173
00012A,20010624,173
00012A,20010703,182
00012A,20010703,182
00012A,20010703,182
00012B,20010501,119
00012B,20010501,119
00012B,20010501,119
00012B,20010501,119
00012B,20010501,119
00012B,20010501,119
00012B,20010501,119
00012B,20010502,120
00012B,20010502,120
00012B,20010502,120
00012B,20010502,120
00012B,20010502,120
00012B,20010502,120
00012B,20010502,120
00012B,20010502,120
00012B,20010502,120
00012B,20010502,120
00012B,20010618,167
00012B,20010618,167
00012B,20010618,167
00012B,20010618,167
00012B,20010618,167
00012B,20010618,167
00012B,20010618,167
00012B,20010624,173
00012B,20010624,173
00012B,20010624,173
00012B,20010624,173
00012B,20010703,182
00012B,20010703,182
00012B,20010703,182
00012C,20010501,119
00012C,20010501,119
00012C,20010501,119
00012C,20010501,119
00012C,20010501,119
00012C,20010501,119
00012C,20010501,119
00012C,20010502,120
00012C,20010502,120
00012C,20010502,120
00012C,20010502,120
00012C,20010502,120
00012C,20010502,120
00012C,20010502,120
00012C,20010502,120
00012C,20010502,120
00012C,20010502,120
00012C,20010618,167
00012C,20010618,167
00012C,20010618,167
00012C,20010618,167
00012C,20010618,167
00012C,20010618,167
00012C,20010618,167
00012C,20010624,173
00012C,20010624,173
00012C,20010624,173
00012C,20010624,173
00012C,20010703,182
00012C,20010703,182
00012C,20010703,182
00012D,20010501,119
00012D,20010501,119
00012D,20010501,119
00012D,20010501,119
00012D,20010501,119
00012D,20010501,119
00012D,20010501,119
00012D,20010502,120
00012D,20010502,120
00012D,20010502,120
00012D,20010502,120
00012D,20010502,120
00012D,20010502,120
00012D,20010502,120
00012D,20010502,120
00012D,20010502,120
00012D,20010502,120
00012D,20010618,167
00012D,20010618,167
00012D,20010618,167
00012D,20010618,167
00012D,20010618,167
00012D,20010618,167
00012D,20010618,167
00012D,20010624,173
00012D,20010624,173
00012D,20010624,173
00012D,20010624,173
00012D,20010703,182
00012D,20010703,182
00012D,20010703,182
00014A,20010504,122
00014A,20010504,122
00014A,20010504,122
00014A,20010504,122
00014A,20010504,122
00014A,20010504,122
00014A,20010504,122
00014A,20010504,122
00014A,20010504,122
00014A,20010504,122
00014A,20010504,122
00014A,20010504,122
00014A,20010509,127
00014A,20010509,127
00014A,20010509,127
00014A,20010509,127
00014A,20010509,127
00014A,20010509,127
00014A,20010526,144
00014A,20010617,166
00014A,20010617,166
00014A,20010617,166
00014A,20010617,166
00014A,20010630,179
00014B,20010504,122
00014B,20010504,122
00014B,20010504,122
00014B,20010504,122
00014B,20010504,122
00014B,20010504,122
00014B,20010504,122
00014B,20010504,122
00014B,20010504,122
00014B,20010504,122
00014B,20010504,122
00014B,20010504,122
00014B,20010509,127
00014B,20010509,127
00014B,20010509,127
00014B,20010509,127
00014B,20010509,127
00014B,20010509,127
00014B,20010526,144
00014B,20010617,166
00014B,20010617,166
00014B,20010617,166
00014B,20010617,166
00014B,20010630,179
00014C,20010504,122
00014C,20010504,122
00014C,20010504,122
00014C,20010504,122
00014C,20010504,122
00014C,20010504,122
00014C,20010504,122
00014C,20010504,122
00014C,20010504,122
00014C,20010504,122
00014C,20010504,122
00014C,20010504,122
00014C,20010509,127
00014C,20010509,127
00014C,20010509,127
00014C,20010509,127
00014C,20010509,127
00014C,20010509,127
00014C,20010526,144
00014C,20010617,166
00014C,20010617,166
00014C,20010617,166
00014C,20010617,166
00014C,20010630,179
00014D,20010504,122
00014D,20010504,122
00014D,20010504,122
00014D,20010504,122
00014D,20010504,122
00014D,20010504,122
00014D,20010504,122
00014D,20010504,122
00014D,20010504,122
00014D,20010504,122
00014D,20010504,122
00014D,20010504,122
00014D,20010509,127
00014D,20010509,127
00014D,20010509,127
00014D,20010509,127
00014D,20010509,127
00014D,20010509,127
00014D,20010526,144
00014D,20010617,166
00014D,20010617,166
00014D,20010617,166
00014D,20010617,166
00014D,20010630,179
00015A,20011103,305
00015A,20011103,305
00015A,20011103,305
00015A,20011103,305
00015A,20011103,305
00015A,20011103,305
00015A,20011103,305
00015A,20011208,340
00015A,20011208,340
00015A,20011208,340
00015A,20011208,340
00015A,20011208,340
00015A,20011208,340
00015A,20011208,340
00015A,20011208,340
00015A,20011208,340
00015A,20011208,340
00015B,20011103,305
00015B,20011103,305
00015B,20011103,305
00015B,20011103,305
00015B,20011103,305
00015B,20011103,305
00015B,20011103,305
00015B,20011208,340
00015B,20011208,340
00015B,20011208,340
00015B,20011208,340
00015B,20011208,340
00015B,20011208,340
00015B,20011208,340
00015B,20011208,340
00015B,20011208,340
00015B,20011208,340
00015C,20011103,305
00015C,20011103,305
00015C,20011103,305
00015C,20011103,305
00015C,20011103,305
00015C,20011103,305
00015C,20011103,305
00015C,20011208,340
00015C,20011208,340
00015C,20011208,340
00015C,20011208,340
00015C,20011208,340
00015C,20011208,340
00015C,20011208,340
00015C,20011208,340
00015C,20011208,340
00015C,20011208,340
00015D,20011103,305
00015D,20011103,305
00015D,20011103,305
00015D,20011103,305
00015D,20011103,305
00015D,20011103,305
00015D,20011103,305
00015D,20011208,340
00015D,20011208,340
00015D,20011208,340
00015D,20011208,340
00015D,20011208,340
00015D,20011208,340
00015D,20011208,340
00015D,20011208,340
00015D,20011208,340
00015D,20011208,340
00016A,20010301,58
00016A,20010301,58
00016A,20010301,58
00016A,20010301,58
00016A,20010301,58
00016A,20010301,58
00016A,20010301,58
00016A,20010301,58
00016A,20010527,145
00016A,20010527,145
00016A,20010527,145
00016A,20010527,145
00016A,20010527,145
00016A,20010527,145
00016A,20010603,152
00016A,20010603,152
00016A,20010603,152
00016A,20010603,152
00016A,20010603,152
00016A,20010603,152
00016A,20010603,152
00016A,20010603,152
00016A,20010603,152
00016A,20010603,152
00016A,20010603,152
00016B,20010301,58
00016B,20010301,58
00016B,20010301,58
00016B,20010301,58
00016B,20010301,58
00016B,20010301,58
00016B,20010301,58
00016B,20010301,58
00016B,20010527,145
00016B,20010527,145
00016B,20010527,145
00016B,20010527,145
00016B,20010527,145
00016B,20010527,145
00016B,20010603,152
00016B,20010603,152
00016B,20010603,152
00016B,20010603,152
00016B,20010603,152
00016B,20010603,152
00016B,20010603,152
00016B,20010603,152
00016B,20010603,152
00016B,20010603,152
00016B,20010603,152
00016C,20010301,58
00016C,20010301,58
00016C,20010301,58
00016C,20010301,58
00016C,20010301,58
00016C,20010301,58
00016C,20010301,58
00016C,20010301,58
00016C,20010527,145
00016C,20010527,145
00016C,20010527,145
00016C,20010527,145
00016C,20010527,145
00016C,20010527,145
00016C,20010603,152
00016C,20010603,152
00016C,20010603,152
00016C,20010603,152
00016C,20010603,152
00016C,20010603,152
00016C,20010603,152
00016C,20010603,152
00016C,20010603,152
00016C,20010603,152
00016C,20010603,152
00016D,20010301,58
00016D,20010301,58
00016D,20010301,58
00016D,20010301,58
00016D,20010301,58
00016D,20010301,58
00016D,20010301,58
00016D,20010301,58
00016D,20010527,145
00016D,20010527,145
00016D,20010527,145
00016D,20010527,145
00016D,20010527,145
00016D,20010527,145
00016D,20010603,152
00016D,20010603,152
00016D,20010603,152
00016D,20010603,152
00016D,20010603,152
00016D,20010603,152
00016D,20010603,152
00016D,20010603,152
00016D,20010603,152
00016D,20010603,152
00016D,20010603,152
00017A,20010321,78
00017A,20010321,78
00017A,20010321,78
00017A,20010321,78
00017A,20010321,78
00017A,20010321,78
00017A,20010321,78
00017A,20010507,125
00017A,20010507,125
00017A,20010507,125
00017A,20010507,125
00017A,20010507,125
00017A,20010507,125
00017A,20010507,125
00017A,20010508,126
00017A,20010508,126
00017A,20010508,126
00017A,20010508,126
00017A,20010508,126
00017A,20010508,126
00017A,20010508,126
00017A,20010508,126
00017B,20010321,78
00017B,20010321,78
00017B,20010321,78
00017B,20010321,78
00017B,20010321,78
00017B,20010321,78
00017B,20010321,78
00017B,20010507,125
00017B,20010507,125
00017B,20010507,125
00017B,20010507,125
00017B,20010507,125
00017B,20010507,125
00017B,20010507,125
00017B,20010508,126
00017B,20010508,126
00017B,20010508,126
00017B,20010508,126
00017B,20010508,126
00017B,20010508,126
00017B,20010508,126
00017B,20010508,126
00017C,20010321,78
00017C,20010321,78
00017C,20010321,78
00017C,20010321,78
00017C,20010321,78
00017C,20010321,78
00017C,20010321,78
00017C,20010507,125
00017C,20010507,125
00017C,20010507,125
00017C,20010507,125
00017C,20010507,125
00017C,20010507,125
00017C,20010507,125
00017C,20010508,126
00017C,20010508,126
00017C,20010508,126
00017C,20010508,126
00017C,20010508,126
00017C,20010508,126
00017C,20010508,126
00017C,20010508,126
00017D,20010321,78
00017D,20010321,78
00017D,20010321,78
00017D,20010321,78
00017D,20010321,78
00017D,20010321,78
00017D,20010321,78
00017D,20010507,125
00017D,20010507,125
00017D,20010507,125
00017D,20010507,125
00017D,20010507,125
00017D,20010507,125
00017D,20010507,125
00017D,20010508,126
00017D,20010508,126
00017D,20010508,126
00017D,20010508,126
00017D,20010508,126
00017D,20010508,126
00017D,20010508,126
00017D,20010508,126
00018A,20010130,28
00018A,20010130,28
00018A,20010130,28
00018A,20010130,28
00018A,20010130,28
00018A,20010130,28
00018A,20010130,28
00018A,20010130,28
00018A,20010130,28
00018A,20010130,28
00018A,20010130,28
00018A,20010319,76
00018A,20010319,76
00018A,20010319,76
00018A,20010320,77
00018A,20010320,77
00018B,20010130,28
00018B,20010130,28
00018B,20010130,28
00018B,20010130,28
00018B,20010130,28
00018B,20010130,28
00018B,20010130,28
00018B,20010130,28
00018B,20010130,28
00018B,20010130,28
00018B,20010130,28
00018B,20010319,76
00018B,20010319,76
00018B,20010319,76
00018B,20010320,77
00018B,20010320,77
00018C,20010130,28
00018C,20010130,28
00018C,20010130,28
00018C,20010130,28
00018C,20010130,28
00018C,20010130,28
00018C,20010130,28
00018C,20010130,28
00018C,20010130,28
00018C,20010130,28
00018C,20010130,28
00018C,20010319,76
00018C,20010319,76
00018C,20010319,76
00018C,20010320,77
00018C,20010320,77
00018D,20010130,28
00018D,20010130,28
00018D,20010130,28
00018D,20010130,28
00018D,20010130,28
00018D,20010130,28
00018D,20010130,28
00018D,20010130,28
00018D,20010130,28
00018D,20010130,28
00018D,20010130,28
00018D,20010319,76
00018D,20010319,76
00018D,20010319,76
00018D,20010320,77
00018D,20010320,77
00020A,20010415,103
00020A,20010415,103
00020A,20010415,103
00020A,20010415,103
00020A,20010415,103
00020A,20010415,103
00020A,20010415,103
00020A,20010415,103
00020A,20010415,103
00020A,20010602,151
00020A,20010602,151
00020A,20010602,151
00020A,20010602,151
00020A,20010602,151
00020A,20010602,151
00020A,20010602,151
00020A,20010602,151
00020A,20010623,172
00020A,20010623,172
00020A,20010813,223
00020A,20010813,223
00020A,20010813,223
00020A,20010813,223
00020A,20010813,223
00020A,20010813,223
00020A,20010813,223
00020A,20010813,223
00020A,20010828,238
00020A,20010828,238
00020A,20010828,238
00020A,20010828,238
00020A,20010829,239
00020A,20010903,244
00020A,20010903,244
00020A,20010903,244
00020A,20010903,244
00020A,20010903,244
00020A,20010903,244
00020B,20010415,103
00020B,20010415,103
00020B,20010415,103
00020B,20010415,103
00020B,20010415,103
00020B,20010415,103
00020B,20010415,103
00020B,20010415,103
00020B,20010415,103
00020B,20010602,151
00020B,20010602,151
00020B,20010602,151
00020B,20010602,151
00020B,20010602,151
00020B,20010602,151
00020B,20010602,151
00020B,20010602,151
00020B,20010623,172
00020B,20010623,172
00020B,20010813,223
00020B,20010813,223
00020B,20010813,223
00020B,20010813,223
00020B,20010813,223
00020B,20010813,223
00020B,20010813,223
00020B,20010813,223
00020B,20010828,238
00020B,20010828,238
00020B,20010828,238
00020B,20010828,238
00020B,20010829,239
00020B,20010903,244
00020B,20010903,244
00020B,20010903,244
00020B,20010903,244
00020B,20010903,244
00020B,20010903,244
00020C,20010415,103
00020C,20010415,103
00020C,20010415,103
00020C,20010415,103
00020C,20010415,103
00020C,20010415,103
00020C,20010415,103
00020C,20010415,103
00020C,20010415,103
00020C,20010602,151
00020C,20010602,151
00020C,20010602,151
00020C,20010602,151
00020C,20010602,151
00020C,20010602,151
00020C,20010602,151
00020C,20010602,151
00020C,20010623,172
00020C,20010623,172
00020C,20010813,223
00020C,20010813,223
00020C,20010813,223
00020C,20010813,223
00020C,20010813,223
00020C,20010813,223
00020C,20010813,223
00020C,20010813,223
00020C,20010828,238
00020C,20010828,238
00020C,20010828,238
00020C,20010828,238
00020C,20010829,239
00020C,20010903,244
00020C,20010903,244
00020C,20010903,244
00020C,20010903,244
00020C,20010903,244
00020C,20010903,244
00020D,20010415,103
00020D,20010415,103
00020D,20010415,103
00020D,20010415,103
00020D,20010415,103
00020D,20010415,103
00020D,20010415,103
00020D,20010415,103
00020D,20010415,103
00020D,20010602,151
00020D,20010602,151
00020D,20010602,151
00020D,20010602,151
00020D,20010602,151
00020D,20010602,151
00020D,20010602,151
00020D,20010602,151
00020D,20010623,172
00020D,20010623,172
00020D,20010813,223
00020D,20010813,223
00020D,20010813,223
00020D,20010813,223
00020D,20010813,223
00020D,20010813,223
00020D,20010813,223
00020D,20010813,223
00020D,20010828,238
00020D,20010828,238
00020D,20010828,238
00020D,20010828,238
00020D,20010829,239
00020D,20010903,244
00020D,20010903,244
00020D,20010903,244
00020D,20010903,244
00020D,20010903,244
00020D,20010903,244
00021A,20010130,28
00021A,20010130,28
00021A,20010130,28
00021A,20010130,28
00021A,20010130,28
00021A,20010130,28
00021A,20010130,28
00021A,20010130,28
00021B,20010130,28
00021B,20010130,28
00021B,20010130,28
00021B,20010130,28
00021B,20010130,28
00021B,20010130,28
00021B,20010130,28
00021B,20010130,28
00021C,20010130,28
00021C,20010130,28
00021C,20010130,28
00021C,20010130,28
00021C,20010130,28
00021C,20010130,28
00021C,20010130,28
00021C,20010130,28
00021D,20010130,28
00021D,20010130,28
00021D,20010130,28
00021D,20010130,28
00021D,20010130,28
00021D,20010130,28
00021D,20010130,28
00021D,20010130,28
00022A,20010316,73
00022A,20010320,77
00022A,20010320,77
00022A,20010320,77
00022A,20010320,77
00022A,20010406,94
00022A,20010406,94
00022A,20010406,94
00022A,20010406,94
00022A,20010406,94
00022A,20010406,94
00022A,20010406,94
00022A,20010406,94
00022A,20010406,94
