メーカー,中分類,数量合計,金額合計
0824,11,25,6423
0824,14,17,5835
0828,11,16,6064
0828,12,13,6903
0835,11,4,1472
0836,11,4,796
0836,13,9,5652
0844,11,263,134185
0846,14,32,7698
0854,11,36,7596
0854,13,117,44028
0856,14,133,65485
0869,11,112,30466
0870,11,52,32850
0871,11,16,7341
0875,11,18,8262
0876,11,101,49574
0887,13,144,80046
0891,14,16,6064
0894,14,108,67431
0898,14,30,15690
0901,11,62,18143
0904,11,54,24087
0907,11,10,3180
0909,11,26,11940
0910,14,62,34431
0915,11,2,996
0918,14,136,107378
0921,14,22,14115
0928,11,25,5232
0929,11,129,81266
0931,11,117,53119
0932,11,2,516
0934,14,75,8871
0938,11,19,7908
0939,11,147,45768
0939,14,63,24039
0942,11,9,5679
0949,14,92,39816
0951,11,25,10900
0952,11,39,14508
0956,11,92,17314
0960,11,51,16575
0960,14,33,9288
0967,13,4,1272
0969,11,80,49738
0971,13,119,38610
0976,13,12,5796
0977,11,39,15122
0979,13,12,3708
0983,14,125,60504
0984,11,4,1444
0996,11,36,12588
0997,11,4,1884
1001,11,85,55134
1006,11,123,46127
1007,11,149,48275
1012,11,29,9377
1013,11,152,79647
1015,11,22,5434
1017,13,183,78594
1021,11,252,65557
1024,11,1,268
1032,11,145,68083
1033,13,140,68721
1034,11,11,2475
1035,11,13,4719
1038,14,16,5796
1043,14,37,25467
1053,11,79,37663
1053,14,152,102618
1056,13,72,12755
1057,11,110,60108
1060,11,16,5376
1067,11,110,48408
1068,14,28,14874
1077,11,20,7138
1080,11,153,56191
1083,11,227,118323
1090,11,91,39823
1092,14,28,12504
1100,11,44,15614
1100,14,223,81331
1107,11,107,37951
1108,11,16,8352
1110,11,86,34483
1113,11,37,9322
1115,13,70,20908
1117,11,200,86347
1124,11,187,73462
1126,11,22,4958
1133,11,133,67016
1136,11,25,6125
1137,13,109,63247
1139,11,14,5488
1143,14,133,71094
1145,11,155,59802
1148,11,132,64251
1148,14,114,47235
1151,11,55,35938
1151,14,65,15316
1154,11,40,16116
1157,13,14,6888
1158,11,46,10787
1160,11,18,8244
1161,11,9,4851
1170,11,58,26390
1172,11,4,2332
1175,11,125,48065
1176,14,24,14040
1188,11,12,6216
1193,11,213,102004
1195,13,26,10816
1196,14,55,25900
1198,11,152,80227
1202,13,9,4167
1203,11,46,24674
1207,11,162,83152
1213,14,6,2730
1215,11,37,20862
1215,14,221,130284
1216,11,139,49685
1221,11,162,68971
1223,11,75,34123
1226,11,145,84658
1226,13,36,11892
1229,11,103,58333
1230,13,71,36939
1238,11,88,9503
1241,11,18,3852
1248,13,87,28933
1258,11,205,111843
1259,11,10,4220
1260,11,72,44208
1261,11,185,63294
1263,11,157,54245
1273,11,55,25168
1274,11,40,19040
1285,11,147,96675
1287,11,129,47017
1290,14,22,7941
1291,14,152,65443
1293,13,110,32776
1296,11,78,27306
1298,11,120,55124
1301,13,105,70748
1310,13,146,90847
1315,11,101,30503
1318,11,15,7920
1318,14,10,3310
1319,11,87,20159
1322,11,194,113376
1325,11,4,1624
1327,11,182,60059
1327,14,16,5936
1334,11,118,22533
1336,11,128,54994
1336,14,55,17698
1339,11,11,3806
1340,11,138,93288
1341,11,140,24658
1347,11,41,15641
1353,11,68,26495
1354,14,4,1640
1361,11,104,40565
1364,11,155,71521
1369,11,89,44822
1376,14,155,62290
1378,11,213,69555
1380,13,38,20426
1382,13,66,46666
1383,14,131,76248
1393,14,6,2148
1400,11,119,68955
1403,11,15,10896
1404,11,30,14715
1405,11,145,68349
1409,11,44,16804
1410,11,14,5698
1414,11,8,832
1414,14,29,7598
1415,11,72,24720
1416,12,10,4495
1417,11,125,42678
1421,14,144,94907
1424,11,24,9552
1427,13,81,19569
1429,11,12,4620
1430,11,47,16262
1431,11,90,40388
1433,11,38,12646
1435,14,52,15733
1440,11,85,47791
1441,11,26,10321
1444,11,164,65188
1454,13,38,14592
1454,14,12,6792
1463,11,111,93510
1466,11,28,5251
1468,13,127,59086
1471,11,52,13538
1472,14,16,5808
1475,14,23,10419
1477,11,87,57348
1478,11,33,14798
1480,11,91,40723
1482,13,86,24155
1483,12,49,17815
1484,11,161,54249
1487,11,153,96618
1489,11,25,15125
1489,14,175,110642
1492,11,35,9695
1492,13,141,67440
1492,14,12,6858
1496,11,205,140847
1501,14,104,29704
1505,14,53,24433
1508,11,32,22870
1509,11,16,8234
1510,11,61,25912
1515,11,19,7506
1515,14,50,23400
1516,11,65,20276
1517,11,4,1672
1518,14,9,2340
1523,11,80,37997
1525,14,82,22242
1527,11,89,40037
1537,13,98,50078
1546,11,12,3980
1547,11,11,4433
1548,11,102,32455
1551,14,47,25536
1556,11,195,92754
1558,11,138,42521
1565,11,133,78384
1566,11,77,31129
1568,11,103,57858
1570,11,43,19935
1570,14,148,53442
1571,11,39,14933
1574,11,139,71219
1578,11,87,40275
1579,11,66,31095
1586,11,26,11636
1595,14,57,36519
1610,14,155,56479
1613,14,78,43884
1624,11,87,52410
1628,11,2,848
1631,11,33,16014
1632,14,58,17116
1633,14,100,77094
1634,14,34,14246
1639,14,103,66444
1644,11,87,50681
1646,11,135,56116
1649,11,171,107087
1651,11,23,7544
1653,11,15,6990
1656,11,37,19869
1658,11,7,3297
1659,11,198,88111
1662,11,55,25936
1668,11,127,38999
1669,11,100,51576
1674,14,201,84344
1677,13,141,64804
1682,11,12,6264
1684,11,39,18710
1686,13,61,39011
1689,13,39,8369
1689,14,7,1169
1690,13,10,5270
1705,11,330,162828
1714,14,176,96935
1715,11,32,12348
1716,11,74,31716
1717,14,92,57368
1720,11,125,48743
1725,11,78,42685
1725,12,141,65328
1729,11,21,8653
1730,14,104,27182
1734,14,23,5934
1735,11,87,26458
1736,11,124,41406
1739,11,18,3456
1747,13,8,4552
1747,14,36,11117
1749,13,12,5040
1755,11,137,61751
1760,11,16,8832
1763,11,147,41941
1765,11,120,31995
1770,11,53,25175
1771,11,130,48432
1772,11,75,43988
1772,13,98,57395
1776,11,136,71587
1776,13,8,4418
1781,13,51,17668
1788,14,93,47886
1789,11,55,34830
1789,14,108,44664
1799,14,116,62908
1801,11,65,44576
1804,14,133,41284
1808,11,8,3480
1811,11,42,15198
1812,11,119,36131
1816,11,55,9065
1817,14,65,7897
1818,14,25,7976
1819,11,9,3762
1820,11,34,16014
1826,11,10,2640
1835,11,40,10440
1839,13,92,52479
1844,11,149,42446
1844,13,14,8400
1850,11,69,12967
1853,11,133,43874
1854,11,121,49527
1860,11,12,3156
1862,11,196,90877
1869,11,20,9360
1875,14,82,40530
1878,12,80,51847
1880,11,106,27831
1883,11,89,38738
1884,11,42,15490
1886,11,52,8616
1886,13,183,114677
1889,11,254,195267
1893,13,76,36942
1894,14,75,29737
1895,11,57,33180
1896,11,184,28704
1898,11,8,3416
1902,11,218,104645
1903,14,121,17257
1908,11,140,53427
1913,11,71,25702
1915,11,9,3717
1916,14,20,2800
1918,11,9,3600
1919,11,255,203362
1921,13,26,8840
1924,11,22,9590
1925,14,129,28557
1941,14,40,10151
1942,11,118,48250
1943,11,132,93286
1944,14,11,4422
1950,13,100,60937
1953,14,81,38727
1955,11,141,87729
1962,14,1,333
1974,11,55,22886
1974,14,68,24582
1987,14,163,50426
1991,11,50,16509
1994,11,84,44514
1995,11,9,2844
