メーカー,中分類,数量平均,金額平均
1043,14,2.176470588,1498.058824
1053,11,1.926829268,918.6097561
1053,14,2.111111111,1425.25
1056,13,1.846153846,327.0512821
1057,11,1.774193548,969.483871
1060,11,4,1344
1067,11,2.291666667,1008.5
1068,14,1.75,929.625
1077,11,2.5,892.25
1080,11,2.593220339,952.3898305
1083,11,1.99122807,1037.921053
1090,11,2.275,995.575
1092,14,2.8,1250.4
1100,11,2.444444444,867.4444444
1100,14,2.123809524,774.5809524
1107,11,2.276595745,807.4680851
1108,11,2,1044
1110,11,1.954545455,783.7045455
1113,11,1.761904762,443.9047619
1115,13,2.121212121,633.5757576
1117,11,2.247191011,970.1910112
1124,11,1.989361702,781.5106383
1126,11,1.571428571,354.1428571
1133,11,2.254237288,1135.864407
1136,11,3.125,765.625
1137,13,2.137254902,1240.137255
1139,11,3.5,1372
1143,14,1.873239437,1001.323944
1145,11,2.094594595,808.1351351
1148,11,2.2,1070.85
1148,14,2.072727273,858.8181818
1151,11,1.571428571,1026.8
1151,14,2.03125,478.625
1154,11,2.5,1007.25
1157,13,3.5,1722
1158,11,1.84,431.48
1160,11,2.25,1030.5
1161,11,2.25,1212.75
1170,11,2.230769231,1015
1172,11,1,583
1175,11,1.893939394,728.2575758
1176,14,2,1170
1188,11,2.4,1243.2
1193,11,1.936363636,927.3090909
1195,13,2.166666667,901.3333333
1196,14,1.964285714,925
1198,11,2.026666667,1069.693333
1202,13,2.25,1041.75
1203,11,2.090909091,1121.545455
1207,11,2.454545455,1259.878788
1213,14,6,2730
1215,11,1.85,1043.1
1215,14,2.402173913,1416.130435
1216,11,2.106060606,752.8030303
1221,11,1.723404255,733.7340426
1223,11,1.875,853.075
1226,11,1.98630137,1159.69863
1226,13,2.117647059,699.5294118
1229,11,2.102040816,1190.469388
1230,13,1.69047619,879.5
1238,11,2.146341463,231.7804878
1241,11,2.25,481.5
1248,13,1.705882353,567.3137255
1258,11,2.091836735,1141.255102
1259,11,2.5,1055
1260,11,2.181818182,1339.636364
1261,11,2.126436782,727.5172414
1263,11,2.492063492,861.031746
1273,11,1.964285714,898.8571429
1274,11,2.222222222,1057.777778
1285,11,1.909090909,1255.519481
1287,11,1.869565217,681.4057971
1290,14,1.833333333,661.75
1291,14,2.082191781,896.4794521
1293,13,2.037037037,606.962963
1296,11,2.6,910.2
1298,11,2.105263158,967.0877193
1301,13,2.386363636,1607.909091
1310,13,2.212121212,1376.469697
1315,11,1.771929825,535.1403509
1318,11,3.75,1980
1318,14,1.666666667,551.6666667
1319,11,2.071428571,479.9761905
1322,11,2.108695652,1232.347826
1325,11,1,406
1327,11,1.97826087,652.8152174
1327,14,1.333333333,494.6666667
1334,11,2.107142857,402.375
1336,11,2,859.28125
1336,14,1.666666667,536.3030303
1339,11,2.75,951.5
1340,11,2.225806452,1504.645161
1341,11,1.728395062,304.4197531
1347,11,1.576923077,601.5769231
1353,11,2.193548387,854.6774194
1354,14,1,410
1361,11,1.925925926,751.2037037
1364,11,2.123287671,979.739726
1369,11,2.119047619,1067.190476
1376,14,1.962025316,788.4810127
1378,11,2.290322581,747.9032258
1380,13,1.9,1021.3
1382,13,2.275862069,1609.172414
1383,14,2.015384615,1173.046154
1393,14,1.5,537
1400,11,1.983333333,1149.25
1403,11,1.875,1362
1404,11,1.875,919.6875
1405,11,1.883116883,887.6493506
1409,11,2.2,840.2
1410,11,2.8,1139.6
1414,11,1,104
1414,14,1.8125,474.875
1415,11,2.666666667,915.5555556
1416,12,1.25,561.875
1417,11,1.838235294,627.6176471
1421,14,2.181818182,1437.984848
1424,11,1.714285714,682.2857143
1427,13,1.653061224,399.3673469
1429,11,3,1155
1430,11,2.35,813.1
1431,11,2.25,1009.7
1433,11,2.714285714,903.2857143
1435,14,1.857142857,561.8928571
1440,11,2.236842105,1257.657895
1441,11,2.166666667,860.0833333
1444,11,2.216216216,880.9189189
1454,13,3.454545455,1326.545455
1454,14,1.5,849
1463,11,1.881355932,1584.915254
1466,11,1.75,328.1875
1468,13,2.442307692,1136.269231
1471,11,1.857142857,483.5
1472,14,2,726
1475,14,1.916666667,868.25
1477,11,1.474576271,972
1478,11,2.0625,924.875
1480,11,1.936170213,866.4468085
1482,13,2.15,603.875
1483,12,3.0625,1113.4375
1484,11,2.236111111,753.4583333
1487,11,2.428571429,1533.619048
1489,11,1.315789474,796.0526316
1489,14,2.034883721,1286.534884
1492,11,2.1875,605.9375
1492,13,2.136363636,1021.818182
1492,14,1,571.5
1496,11,2.329545455,1600.534091
1501,14,2.212765957,632
1505,14,2.12,977.32
1508,11,2.133333333,1524.666667
1509,11,1.333333333,686.1666667
1510,11,2.178571429,925.4285714
1515,11,1.727272727,682.3636364
1515,14,2.631578947,1231.578947
1516,11,1.911764706,596.3529412
1517,11,2,836
1518,14,2.25,585
1523,11,1.904761905,904.6904762
1525,14,2.216216216,601.1351351
1527,11,2.069767442,931.0930233
1537,13,2.333333333,1192.333333
1546,11,2.4,796
1547,11,1.833333333,738.8333333
1548,11,2.428571429,772.7380952
1551,14,1.740740741,945.7777778
1556,11,2.052631579,976.3578947
1558,11,2,616.2463768
1565,11,1.821917808,1073.753425
1566,11,2.264705882,915.5588235
1568,11,2.06,1157.16
1570,11,2.529411765,1172.647059
1570,14,1.662921348,600.4719101
1571,11,2.052631579,785.9473684
1574,11,1.957746479,1003.084507
1578,11,1.977272727,915.3409091
1579,11,2.357142857,1110.535714
1586,11,2.166666667,969.6666667
1595,14,1.965517241,1259.275862
1610,14,1.987179487,724.0897436
1613,14,2.4375,1371.375
1624,11,2.175,1310.25
1628,11,1,424
1631,11,1.833333333,889.6666667
1632,14,2.52173913,744.173913
1633,14,1.960784314,1511.647059
1634,14,2.125,890.375
1639,14,2.395348837,1545.209302
1644,11,2.071428571,1206.690476
1646,11,2.368421053,984.4912281
1649,11,2.085365854,1305.939024
1651,11,2.3,754.4
1653,11,1.875,873.75
1656,11,2.3125,1241.8125
1658,11,1.75,824.25
1659,11,2.275862069,1012.770115
1662,11,1.71875,810.5
1668,11,1.953846154,599.9846154
1669,11,1.785714286,921
1674,14,1.747826087,733.426087
1677,13,2.104477612,967.2238806
1682,11,3,1566
1684,11,1.857142857,890.952381
1686,13,2.033333333,1300.366667
1689,13,1.625,348.7083333
1689,14,3.5,584.5
1690,13,1.25,658.75
1705,11,2.156862745,1064.235294
1714,14,2.022988506,1114.195402
1715,11,2,771.75
1716,11,2.055555556,881
1717,14,1.957446809,1220.595745
1720,11,1.923076923,749.8923077
1725,11,2.108108108,1153.648649
1725,12,1.985915493,920.1126761
1729,11,1.3125,540.8125
1730,14,2.536585366,662.9756098
1734,14,2.875,741.75
1735,11,1.977272727,601.3181818
1736,11,2.137931034,713.8965517
1739,11,2,384
1747,13,2,1138
1747,14,1.565217391,483.3478261
1749,13,4,1680
1755,11,2.174603175,980.1746032
1760,11,4,2208
1763,11,1.771084337,505.313253
1765,11,2.142857143,571.3392857
1770,11,1.892857143,899.1071429
1771,11,1.884057971,701.9130435
1772,11,1.973684211,1157.578947
1772,13,2.085106383,1221.170213
1776,11,1.863013699,980.6438356
1776,13,2,1104.5
1781,13,3,1039.294118
1788,14,2.066666667,1064.133333
1789,11,1.774193548,1123.548387
1789,14,1.830508475,757.0169492
1799,14,1.705882353,925.1176471
1801,11,2.03125,1393
1804,14,2.216666667,688.0666667
1808,11,2,870
1811,11,2.1,759.9
1812,11,2.38,722.62
1816,11,2.5,412.0454545
1817,14,2.24137931,272.3103448
1818,14,1.5625,498.5
1819,11,2.25,940.5
1820,11,1.789473684,842.8421053
1826,11,2.5,660
1835,11,1.481481481,386.6666667
1839,13,1.957446809,1116.574468
1844,11,1.91025641,544.1794872
1844,13,1.75,1050
1850,11,1.916666667,360.1944444
1853,11,2.078125,685.53125
1854,11,2.160714286,884.4107143
1860,11,3,789
1862,11,2.020618557,936.8762887
1869,11,4,1872
1875,14,1.64,810.6
1878,12,2.051282051,1329.410256
1880,11,2.038461538,535.2115385
1883,11,2.022727273,880.4090909
1884,11,1.448275862,534.137931
1886,11,1.677419355,277.9354839
1886,13,2.231707317,1398.5
1889,11,2.170940171,1668.948718
1893,13,1.9,923.55
1894,14,1.666666667,660.8222222
1895,11,1.425,829.5
1896,11,1.896907216,295.9175258
1898,11,2,854
1902,11,2.344086022,1125.215054
1903,14,1.861538462,265.4923077
1908,11,2.295081967,875.852459
1913,11,2.366666667,856.7333333
1915,11,2.25,929.25
1916,14,3.333333333,466.6666667
1918,11,2.25,900
1919,11,2.5,1993.745098
1921,13,1.625,552.5
1924,11,1.833333333,799.1666667
1925,14,2.047619048,453.2857143
1941,14,2.352941176,597.1176471
1942,11,1.903225806,778.2258065
1943,11,1.714285714,1211.506494
1944,14,1.571428571,631.7142857
1950,13,1.960784314,1194.843137
1953,14,2.53125,1210.21875
1955,11,2.389830508,1486.932203
1962,14,1,333
1974,11,2.2,915.44
1974,14,2.060606061,744.9090909
1987,14,2.0375,630.325
1991,11,1.923076923,634.9615385
1994,11,1.75,927.375
1995,11,2.25,711
