日付,数量,金額
20010228,1,422
20010228,1,397
20010228,5,1235
20010228,2,770
20010228,6,2052
20010228,2,1584
20010228,1,210
20010228,1,448
20010228,1,570
20010228,5,2480
20010301,5,1245
20010301,1,446
20010301,1,289
20010301,1,357
20010301,1,367
20010301,4,1672
20010301,1,525
20010301,1,748
20010301,1,358
20010301,1,128
20010301,1,547
20010301,1,533
20010301,4,1420
20010301,1,282
20010301,1,570
20010303,1,461
20010303,6,2148
20010303,1,437
20010303,1,106
20010303,6,1836
20010303,1,433
20010305,6,2406
20010305,3,966
20010305,5,2100
20010305,1,514
20010305,5,505
20010305,1,353
20010306,1,387
20010306,1,393
20010306,5,2460
20010306,1,354
20010306,1,320
20010306,1,384
20010306,1,309
20010306,1,400
20010306,5,1205
20010306,5,3070
20010306,6,3138
20010306,1,236
20010306,4,1524
20010306,1,555
20010306,6,1170
20010306,1,241
20010306,1,461
20010306,1,480
20010306,5,2630
20010306,1,387
20010306,1,316
20010306,1,277
20010306,1,293
20010306,1,257
20010306,7,2415
20010306,1,406
20010306,6,2400
20010306,1,195
20010306,1,132
20010306,1,380
20010306,5,3330
20010306,1,493
20010306,1,433
20010306,1,388
20010306,1,306
20010307,5,1855
20010307,1,309
20010307,1,268
20010307,1,310
20010307,6,2538
20010307,6,1662
20010307,5,2115
20010308,1,361
20010308,1,494
20010308,1,467
20010308,1,296
20010308,1,457
20010308,1,245
20010308,1,441
20010308,1,631
20010308,1,344
20010308,5,1560
20010308,1,520
20010308,1,489
20010308,1,362
20010308,1,336
20010308,1,307
20010308,1,403
20010308,1,195
20010308,1,322
20010308,1,289
20010308,1,384
20010308,1,268
20010308,1,491
20010308,6,1626
20010308,3,1620
20010309,3,1128
20010309,1,762
20010309,1,610
20010309,1,397
20010309,5,1580
20010309,1,533
20010309,1,366
20010309,1,547
20010309,5,2460
20010309,1,272
20010309,1,257
20010309,1,307
20010309,4,1860
20010309,5,1860
20010309,1,225
20010309,1,368
20010309,1,253
20010309,1,614
20010309,1,208
20010309,1,461
20010309,1,385
20010309,1,437
20010309,1,480
20010310,6,2988
20010310,1,328
20010310,5,2560
20010310,1,748
20010310,1,377
20010310,2,1066
20010310,3,1011
20010310,1,340
20010310,1,245
20010310,3,1287
20010310,6,1350
20010310,1,650
20010310,6,1962
20010310,5,1355
20010310,1,442
20010310,1,247
20010310,3,1383
20010310,1,214
20010310,5,2380
20010310,1,596
20010310,1,541
20010310,1,496
20010311,5,1220
20010311,1,271
20010312,1,143
20010312,1,461
20010312,5,1265
20010312,1,272
20010312,6,948
20010312,1,316
20010312,3,1476
20010312,1,142
20010312,3,1266
20010312,5,2455
20010312,1,301
20010312,1,631
20010312,5,1920
20010312,1,391
20010312,6,2310
20010312,1,448
20010312,5,1320
20010312,1,172
20010312,1,567
20010312,1,466
20010312,1,429
20010312,5,2640
20010312,7,1785
20010313,1,541
20010313,7,3577
20010313,1,268
20010313,1,585
20010313,5,2555
20010313,1,228
20010313,1,618
20010313,1,225
20010313,5,2705
20010313,5,1350
20010313,1,271
20010313,1,329
20010313,1,496
20010313,5,1785
20010313,6,2796
20010313,1,613
20010313,1,1045
20010313,6,2790
20010313,1,609
20010313,6,1002
20010313,1,258
20010313,1,397
20010313,1,359
20010313,1,337
20010313,1,333
20010313,6,4572
20010314,1,585
20010314,1,238
20010314,1,609
20010314,1,658
20010314,1,354
20010314,1,328
20010314,1,441
20010314,1,271
20010314,1,362
20010314,1,388
20010314,2,864
20010314,1,631
20010314,1,293
20010314,1,682
20010314,1,272
20010315,1,500
20010315,1,523
20010315,1,794
20010315,1,327
20010315,1,653
20010315,1,387
20010315,1,435
20010315,1,465
20010315,1,377
20010315,2,822
20010315,1,566
20010315,1,582
20010315,1,425
20010315,5,1640
20010315,1,526
20010315,1,333
20010315,1,481
20010315,1,302
20010315,1,420
20010315,1,609
20010315,1,335
20010315,1,297
20010315,1,212
20010315,4,1732
20010315,1,384
20010315,1,179
20010315,1,450
20010315,1,541
20010315,3,1623
20010315,1,333
20010315,1,552
20010316,6,2598
20010317,1,244
20010317,1,112
20010317,1,264
20010317,1,241
20010317,1,254
20010317,4,1712
20010317,3,1239
20010317,5,1875
20010317,1,292
20010317,1,554
20010317,5,2965
20010318,1,471
20010318,1,705
20010318,1,309
20010318,1,427
20010318,1,268
20010318,1,158
20010318,1,389
20010318,5,1250
20010318,1,172
20010318,1,175
20010318,1,385
20010318,1,359
20010318,1,142
20010318,6,2118
20010318,5,1900
20010319,6,3510
20010319,1,452
20010319,4,1416
20010319,5,1955
20010320,1,413
20010320,1,419
20010320,1,432
20010320,1,260
20010320,1,467
20010320,1,362
20010320,1,682
20010320,1,448
20010320,2,1090
20010320,1,449
20010320,1,314
20010320,3,708
20010320,1,433
20010320,1,431
20010320,1,705
20010320,6,3330
20010321,1,348
20010321,1,526
20010321,1,498
20010321,1,368
20010321,1,294
20010321,1,385
20010321,1,431
20010321,1,611
20010321,1,403
20010321,1,610
20010321,1,338
20010321,1,307
20010321,1,794
20010321,1,362
20010321,6,2928
20010321,1,333
20010321,4,2648
20010321,5,1070
20010321,1,375
20010321,1,182
20010321,1,346
20010321,1,514
20010321,3,1125
20010321,1,315
20010321,1,359
20010321,5,505
20010321,5,1675
20010322,1,258
20010322,5,2065
20010322,1,359
20010322,1,385
20010322,1,354
20010322,1,470
20010322,1,257
20010322,1,292
20010322,1,583
20010322,1,511
20010322,1,344
20010322,3,1137
20010322,1,336
20010322,4,1488
20010322,1,431
20010322,1,512
20010322,3,1479
20010322,1,237
20010322,1,391
20010322,6,4152
20010323,1,501
20010323,1,541
20010323,6,2232
20010323,1,331
20010323,3,1113
20010323,5,2340
20010323,1,431
20010323,1,554
20010323,3,1476
20010323,1,142
20010323,1,436
20010323,1,350
20010323,1,743
20010323,1,378
20010323,1,301
20010324,1,264
20010324,1,533
20010324,1,746
20010324,1,320
20010324,1,426
20010324,1,371
20010324,1,171
20010324,6,2430
20010324,1,255
20010324,1,328
20010324,5,2135
20010324,1,554
20010324,5,1830
20010324,4,1400
20010325,1,387
20010325,1,345
20010325,1,341
20010325,1,526
20010325,1,296
20010325,1,227
20010325,1,155
20010325,6,3654
20010325,1,579
20010326,6,4476
20010326,1,271
20010326,1,331
20010326,1,590
20010326,1,429
20010326,5,1125
20010326,1,91
20010326,1,324
20010326,5,1610
20010326,1,397
20010326,1,279
20010326,1,340
20010326,3,1914
20010326,6,2040
20010326,1,358
20010327,1,470
20010327,1,638
20010327,1,254
20010327,5,1725
20010327,1,384
20010327,1,349
20010327,6,2088
20010327,1,418
20010327,5,1730
20010327,1,354
20010327,5,2110
20010327,1,528
20010327,1,172
20010327,1,119
20010327,3,303
20010327,4,1428
20010327,1,614
20010327,1,301
20010327,6,1584
20010327,5,2920
20010327,1,636
20010327,1,346
20010327,3,1908
20010327,1,506
20010327,1,437
20010327,1,485
20010327,4,2100
20010327,1,613
20010328,4,1204
20010328,3,1842
20010328,1,522
20010328,1,388
20010328,5,2350
20010328,1,241
20010328,1,268
20010328,1,359
20010329,5,1570
20010329,4,2768
20010329,1,282
20010329,1,345
20010329,5,1600
20010329,1,720
20010329,1,465
20010329,1,271
20010329,1,377
20010329,1,526
20010329,1,389
20010329,1,662
20010330,1,590
20010330,1,481
20010330,2,256
20010330,1,1231
20010330,6,2514
20010330,1,533
20010330,1,406
20010330,1,437
20010330,1,121
20010330,1,320
20010330,4,2384
20010330,1,479
20010331,1,393
20010331,6,2406
20010331,1,307
20010331,1,290
20010331,1,367
20010331,1,281
20010331,1,320
20010331,7,3682
20010331,7,1575
20010331,1,210
20010331,1,607
20010331,1,428
20010331,5,2165
20010331,6,2346
20010331,4,2148
20010331,6,5640
20010331,1,398
20010331,5,1640
20010331,1,268
20010331,5,1365
20010331,1,233
20010401,1,631
20010401,1,355
20010401,3,1167
20010401,1,669
20010401,1,522
20010401,1,410
20010401,6,2202
20010402,1,132
20010402,1,533
20010402,1,268
20010402,1,514
20010402,5,1925
20010402,2,726
20010402,1,271
20010402,1,541
20010402,1,301
20010402,1,329
20010402,5,1925
20010402,1,335
20010404,2,874
20010404,1,384
20010404,1,425
20010404,5,2480
20010404,1,175
20010404,1,257
20010404,1,301
20010404,5,1225
20010404,1,333
20010404,1,431
20010404,5,2135
20010404,5,2570
20010404,6,2646
20010404,1,372
20010404,1,613
20010404,1,406
20010404,1,743
20010404,1,328
20010404,1,246
20010404,1,267
20010404,1,426
20010404,5,2560
20010405,1,692
20010405,5,2350
20010405,1,471
20010405,5,2680
20010405,1,313
20010405,1,449
20010405,1,520
20010405,1,350
20010405,6,3300
20010405,4,1300
20010405,1,315
20010405,1,299
20010405,1,433
20010405,4,1880
20010405,1,354
20010405,1,505
20010405,5,1050
20010405,3,1689
20010405,1,372
20010405,1,311
20010405,1,423
20010405,1,384
20010405,5,1645
20010405,7,2688
20010405,1,387
20010405,1,720
20010405,1,431
20010405,3,1308
20010405,1,610
20010405,5,2805
20010406,1,476
20010406,5,3460
20010406,1,367
20010406,1,422
20010406,1,244
20010406,1,245
20010406,1,346
20010406,1,223
20010406,1,418
20010406,1,476
20010406,6,3642
20010406,4,2984
20010406,1,544
20010406,1,245
20010406,1,465
20010406,1,397
20010406,1,272
20010406,1,581
20010406,6,2280
20010406,1,782
20010406,5,1890
20010406,1,420
20010406,5,1485
20010406,1,228
20010406,1,481
20010406,1,422
20010406,1,613
20010406,1,357
20010407,1,525
20010407,5,1470
20010407,1,555
20010407,1,782
20010407,1,129
20010407,1,377
20010407,1,541
20010407,1,442
20010407,5,1635
20010407,1,492
20010407,1,159
20010407,1,241
20010407,4,2304
20010407,1,596
20010407,5,2405
20010407,1,340
20010407,1,432
20010407,1,221
20010407,5,1445
20010407,1,455
20010407,4,1972
20010407,1,292
20010408,1,259
20010408,1,481
20010408,1,270
20010408,1,555
20010408,1,271
20010408,1,310
20010408,1,378
20010408,1,296
20010409,5,640
20010409,1,377
20010409,1,631
20010409,6,2532
20010409,1,491
20010409,1,452
20010409,1,315
20010409,1,158
20010409,4,1196
20010409,1,173
20010409,5,2630
20010409,5,2795
20010409,1,313
20010410,1,250
20010410,1,517
20010410,1,522
20010410,1,168
20010410,1,431
20010410,1,391
20010410,6,1626
20010410,1,378
20010410,1,210
20010410,1,205
20010410,1,329
20010410,4,2440
20010411,3,984
20010411,1,354
20010411,1,452
20010411,4,1724
20010411,1,259
20010411,1,458
20010412,1,315
20010412,5,2815
20010412,6,2730
20010412,1,348
20010412,4,1904
20010412,1,682
20010412,6,3330
20010412,1,514
20010412,1,329
20010412,1,273
20010412,6,3294
20010413,1,379
20010413,5,2405
20010413,1,340
20010413,6,1986
20010413,1,314
20010413,1,414
20010413,1,328
20010413,4,1288
20010413,1,514
20010413,4,1860
20010413,5,1300
20010413,1,922
20010413,1,385
20010413,1,423
20010413,6,1548
20010413,1,433
20010414,6,2148
20010414,1,500
20010414,1,355
20010414,1,465
20010414,1,246
20010414,5,1740
20010414,1,246
20010414,1,533
20010414,5,2155
20010414,1,393
20010414,6,1974
20010415,1,511
20010415,7,2639
20010415,1,441
20010415,1,288
20010415,7,2303
20010415,1,378
20010415,1,535
20010415,1,481
20010415,1,432
20010415,6,3780
20010415,1,449
20010415,1,132
20010415,1,358
20010415,1,602
20010415,5,1720
20010415,1,544
20010415,1,199
20010415,1,301
20010415,1,608
20010415,1,418
20010415,5,2950
20010415,1,428
20010415,1,132
20010415,6,2694
20010415,1,522
20010415,1,241
20010415,5,1740
20010415,6,2730
20010415,6,3150
20010415,3,2820
20010416,5,1355
20010416,1,310
20010416,1,301
20010416,5,2090
20010416,6,1446
20010416,1,328
20010416,1,223
20010416,1,614
20010416,1,441
20010416,1,397
20010416,1,201
20010417,1,470
20010417,1,140
20010417,5,1990
20010417,1,309
20010417,1,320
20010417,1,272
20010417,5,1580
20010417,1,442
20010417,4,1056
20010417,1,357
20010417,1,419
20010417,1,153
20010417,1,296
20010417,8,3176
20010417,5,2090
20010417,1,359
20010417,1,375
20010417,1,491
20010417,5,1580
20010417,4,1436
20010417,6,1362
20010417,1,296
20010417,1,301
20010417,6,3780
20010417,1,541
20010417,6,2790
20010418,4,900
20010418,1,129
20010418,1,597
20010418,5,1660
20010418,1,280
20010418,1,493
20010418,1,260
20010418,6,2568
20010418,5,2445
20010418,5,725
20010418,1,431
20010418,1,380
20010418,5,2245
20010418,6,2934
20010418,7,2317
20010418,1,338
20010418,1,381
20010418,1,398
20010418,1,270
20010418,1,441
20010418,2,978
20010418,1,431
20010418,2,942
20010418,1,414
20010418,1,172
20010418,7,9338
20010418,1,262
20010418,1,241
20010418,1,411
20010418,1,388
20010418,4,1536
20010418,1,279
20010419,1,419
20010419,5,1480
20010419,1,514
20010419,1,461
20010419,1,631
20010419,1,468
20010419,3,1575
20010419,1,465
20010420,4,2868
20010420,4,1324
20010420,1,182
20010420,1,441
20010420,3,882
20010420,1,825
20010420,1,128
20010420,1,588
20010420,6,1170
20010420,1,608
20010420,1,550
20010420,1,466
20010420,1,544
20010420,1,297
20010420,1,631
20010420,7,2513
20010420,1,316
20010420,1,559
20010420,1,631
20010420,1,416
20010421,4,1748
20010421,1,340
20010421,1,388
20010421,1,525
20010421,1,328
20010421,1,244
20010421,1,427
20010421,1,600
20010421,1,247
20010421,6,2910
20010421,1,691
20010421,1,583
20010421,5,2325
20010421,1,602
20010421,1,433
20010421,1,596
20010421,5,2705
20010422,5,1135
20010422,1,400
20010422,1,705
20010422,3,840
20010422,5,1875
20010422,4,2452
20010423,5,640
20010423,5,1180
20010423,1,427
20010423,1,293
20010423,6,3072
20010423,1,320
20010423,1,289
20010423,1,247
20010423,1,272
20010423,1,277
20010423,4,1588
20010423,1,607
20010423,1,371
20010423,1,452
20010423,1,134
20010423,1,238
20010423,1,310
20010423,1,247
20010423,4,1288
20010423,6,2016
20010423,1,432
20010423,1,667
20010423,1,441
20010423,1,260
20010423,1,407
20010423,1,384
20010423,1,145
20010423,1,387
20010423,1,199
20010423,1,527
20010423,3,942
20010423,1,221
20010423,1,268
20010423,1,608
20010423,1,391
20010423,1,501
20010423,1,602
20010423,1,782
20010423,1,327
20010423,5,2625
20010424,4,1120
20010424,1,281
20010424,1,253
20010424,2,1052
20010424,1,238
20010424,1,494
20010424,1,371
20010424,1,281
20010424,1,101
20010424,1,320
20010424,1,471
20010424,1,124
20010424,1,327
20010424,1,380
20010425,1,485
20010425,1,397
20010425,1,384
20010425,1,281
20010425,1,323
20010425,3,1350
20010425,1,367
20010425,1,316
20010425,4,1324
20010425,6,3420
20010425,1,260
20010425,5,1725
20010425,5,2155
20010425,1,437
20010425,6,1794
20010425,1,313
20010425,3,723
20010425,1,431
20010425,1,625
20010425,1,387
20010425,5,1490
20010425,1,525
20010425,6,1992
20010425,1,318
20010425,1,384
20010426,6,1932
20010426,1,433
20010426,1,471
20010426,1,259
20010426,5,1105
20010426,1,691
20010426,1,210
20010427,5,2695
20010427,1,1006
20010427,1,511
20010427,1,1590
20010427,4,636
20010427,1,247
20010427,1,322
20010427,1,216
20010427,1,268
20010427,5,2895
20010427,5,2185
20010427,1,377
20010427,1,313
20010427,1,471
20010427,1,492
20010427,1,210
20010427,5,3480
20010427,1,293
20010427,1,371
20010427,1,348
20010427,2,720
20010427,1,614
20010427,1,470
20010427,1,333
20010428,6,2076
20010428,1,608
20010428,1,296
20010428,5,1965
20010428,1,466
20010428,1,526
20010428,5,1710
20010430,1,368
20010430,1,354
20010430,1,582
20010430,1,433
20010430,1,448
20010430,3,1482
20010430,1,482
20010430,1,185
20010430,1,579
20010430,1,653
20010430,5,1385
20010430,1,544
20010430,1,216
20010430,1,407
20010430,1,342
20010430,1,437
20010430,1,168
20010430,1,333
20010430,1,435
20010430,1,471
20010430,1,448
20010430,1,554
20010430,1,302
20010430,3,3198
20010430,5,1555
20010430,5,1885
20010430,1,451
20010430,1,428
20010430,1,470
20010430,1,227
20010501,3,1476
20010501,1,316
20010501,1,493
20010501,1,182
20010501,1,322
20010501,1,221
20010501,1,448
20010501,1,541
20010501,3,1362
20010501,1,442
20010501,1,391
20010501,1,590
20010501,5,2125
20010501,1,540
20010501,1,449
20010501,1,487
20010501,1,455
20010501,5,3110
20010501,1,296
20010501,1,922
20010501,1,465
20010501,3,888
20010501,1,241
20010501,4,2144
20010501,3,1116
20010501,6,3378
20010501,6,2334
20010501,1,372
20010501,1,478
20010501,1,478
20010501,1,276
20010501,1,590
20010502,1,391
20010502,1,277
20010502,1,175
20010502,1,380
20010502,1,397
20010502,1,357
20010502,1,354
20010502,5,1935
20010502,1,189
20010502,1,380
20010502,3,1905
20010502,4,1620
20010502,2,1228
20010502,1,431
20010502,4,1952
20010502,1,147
20010502,1,372
20010502,1,235
20010502,1,485
20010502,1,566
20010502,1,705
20010502,1,431
20010502,1,357
20010502,1,227
20010502,1,241
20010502,1,431
20010502,1,436
20010502,1,699
20010502,1,377
20010502,1,245
20010502,6,1860
20010502,1,271
20010502,1,543
20010502,1,545
20010502,1,233
20010502,1,320
20010502,1,172
20010503,1,492
20010503,7,2499
20010504,1,628
20010504,1,546
20010504,1,922
20010504,1,431
20010504,1,331
20010504,1,357
20010504,1,357
20010504,1,362
20010504,1,364
20010504,1,1590
20010504,1,442
20010504,1,258
20010504,1,259
20010504,1,428
20010504,1,548
20010504,1,420
20010504,1,264
20010504,5,2705
20010504,6,1368
20010504,3,831
20010504,1,496
20010505,1,511
20010505,2,760
20010505,6,2382
20010505,5,1505
20010505,1,520
20010505,1,257
20010505,1,281
20010505,1,348
20010505,1,720
20010505,5,1775
20010505,1,277
20010505,1,435
20010505,7,3444
20010505,1,310
20010505,1,381
20010505,1,362
20010505,1,331
20010505,1,301
20010505,5,1660
20010505,1,485
20010505,6,3066
20010505,2,1876
20010505,1,419
20010505,1,329
20010505,1,635
20010505,6,1842
20010505,1,259
20010505,1,327
20010505,5,1940
20010505,1,288
20010505,1,419
20010506,4,964
20010506,1,377
20010506,1,255
20010506,5,2335
20010506,3,684
20010506,1,292
20010506,1,389
20010506,1,505
20010506,1,384
20010506,1,505
20010506,1,631
20010506,7,2289
20010506,1,313
20010506,1,318
20010506,1,582
20010506,1,526
20010506,1,607
20010506,1,322
20010506,1,320
20010506,7,4718
20010506,1,419
20010506,6,5532
20010506,5,3035
20010506,6,1260
20010506,1,277
20010506,1,223
20010507,1,244
20010507,5,1840
20010507,1,482
20010507,5,1725
20010507,1,493
20010507,3,888
20010507,4,2252
20010507,3,1254
20010507,1,543
20010507,1,431
20010507,1,461
20010507,1,387
20010507,6,2964
20010507,1,770
20010507,1,143
20010507,1,467
20010507,1,635
20010507,1,375
20010507,1,625
20010507,7,2436
20010507,1,691
20010507,1,349
20010507,1,250
20010507,6,2664
20010507,1,536
20010508,1,482
20010508,1,481
20010508,1,216
20010508,1,296
20010508,4,2428
20010508,6,1758
20010508,1,660
20010508,1,372
20010508,1,601
20010508,1,221
20010508,5,3070
20010508,1,465
20010508,1,505
20010508,1,372
20010508,1,435
20010508,6,3642
20010508,1,431
20010508,1,247
20010508,1,329
20010508,1,511
20010508,1,348
20010508,1,268
20010508,1,462
20010508,6,2664
20010509,1,609
20010509,1,333
20010509,6,2532
20010509,3,1500
20010509,1,422
20010509,1,746
20010509,1,255
20010509,6,2400
20010509,6,2442
20010509,3,1398
20010509,2,2106
20010509,6,2262
20010509,1,582
20010509,1,345
20010509,5,455
20010509,1,276
20010509,1,255
20010509,1,296
20010509,1,332
20010509,1,427
20010509,1,427
20010509,1,441
20010509,1,244
20010509,1,201
20010509,6,2586
20010509,1,345
20010509,1,324
20010509,1,392
20010509,1,134
20010510,1,397
20010510,1,496
20010510,4,1672
20010510,5,1295
20010510,6,2328
20010510,7,3290
20010510,1,567
20010511,1,667
20010511,1,345
20010511,1,246
20010511,1,1590
20010511,1,476
20010511,5,2500
20010511,1,401
20010511,1,388
20010511,1,331
20010511,5,3335
20010511,3,4002
20010512,6,1962
20010512,1,559
20010512,6,2232
20010512,1,435
20010512,1,359
20010512,1,316
20010512,1,307
20010514,6,2016
20010514,3,1293
20010514,1,147
20010514,1,363
20010514,1,309
20010514,1,449
20010514,1,395
20010514,1,268
20010514,3,1461
20010514,1,539
20010514,1,418
20010514,6,3540
20010514,1,199
20010514,1,413
20010514,1,462
20010514,1,367
20010514,4,1672
20010514,1,389
20010514,1,241
20010514,1,106
20010514,1,354
20010514,1,431
20010514,1,293
20010514,1,632
20010514,5,1080
20010514,1,323
20010514,1,580
20010514,1,614
20010514,1,437
20010514,1,356
20010514,1,367
20010514,5,2155
20010514,1,307
20010514,1,458
20010514,1,608
20010515,1,244
20010515,1,540
20010515,1,427
20010515,1,505
20010515,1,372
20010515,1,635
20010515,1,522
20010515,1,153
20010515,1,420
20010515,5,1250
20010515,1,782
20010515,1,427
20010515,2,654
20010515,1,250
20010515,5,1550
20010515,1,314
20010515,1,372
20010515,1,227
20010515,1,441
20010515,1,897
20010515,1,526
20010515,1,512
20010515,1,375
20010515,1,216
20010515,5,2795
20010515,1,687
20010515,1,342
20010515,1,381
20010515,1,532
20010515,6,3000
20010515,1,614
20010516,7,3297
20010516,1,271
20010516,1,1006
20010516,5,1355
20010516,1,441
20010516,6,1500
20010516,1,201
20010516,1,496
20010516,1,365
20010516,1,371
20010516,1,328
20010516,1,544
20010516,1,168
20010516,1,328
20010516,3,1203
20010516,1,522
20010516,1,346
20010517,1,470
20010517,5,2425
20010517,5,2435
20010517,1,221
20010517,1,359
20010517,6,2196
20010517,1,285
20010517,1,413
20010517,1,434
20010517,1,385
20010517,7,2415
20010517,2,662
20010517,1,381
20010517,4,1860
20010517,1,457
20010517,1,512
20010517,1,387
20010517,1,211
20010517,3,1467
20010517,1,270
20010518,1,329
20010518,1,422
20010518,1,436
20010518,1,313
20010518,1,512
20010518,1,465
20010518,5,1900
20010518,1,159
20010518,1,188
20010518,1,431
20010518,6,2022
20010518,3,1011
20010518,4,2196
20010518,1,582
20010518,1,449
20010518,4,1516
20010518,4,768
20010518,1,238
20010518,5,2675
20010518,1,279
20010518,1,193
20010518,1,279
20010518,1,462
20010518,1,233
20010518,5,1810
20010519,6,3810
20010519,1,938
20010519,1,375
20010519,7,2177
20010519,1,262
20010519,1,312
20010519,1,152
20010519,1,381
20010519,2,318
20010519,1,476
20010519,1,364
20010520,1,418
20010520,1,419
20010520,5,1635
20010520,1,377
20010520,1,437
20010520,7,3024
20010520,2,312
20010520,1,541
20010520,1,241
20010520,6,2286
20010520,1,333
20010520,1,241
20010520,1,505
20010520,1,461
20010520,5,1860
20010520,1,449
20010520,1,375
20010520,1,665
