date,quantity,amount
20010606,7,3276
20010606,6,3750
20010607,7,3724
20010607,7,2779
20010607,7,1631
20010607,6,2346
20010607,7,3850
20010607,6,3576
20010608,6,2724
20010609,6,1836
20010611,6,2142
20010612,6,4692
20010612,6,2088
20010612,7,2415
20010613,6,2016
20010613,7,1813
20010613,6,3480
20010614,6,3240
20010614,6,1734
20010618,7,3395
20010618,6,2748
20010619,6,2418
20010619,6,2562
20010619,6,1446
20010619,7,1456
20010620,6,3504
20010620,6,2598
20010621,7,1407
20010621,7,3808
20010622,6,4158
20010622,6,2256
20010622,6,3402
20010622,7,1589
20010622,6,2166
20010625,6,1974
20010626,6,1998
20010626,7,3500
20010626,6,2232
20010627,6,1674
20010627,6,1836
20010627,6,2784
20010628,6,2556
20010701,6,3648
20010701,6,3684
20010701,6,2328
20010701,7,3052
20010701,6,2586
20010701,6,2478
20010701,6,4764
20010701,6,2322
20010702,6,4158
20010702,6,3240
20010703,7,4053
20010703,6,3168
20010703,6,2304
20010705,6,2622
20010706,6,1362
20010707,6,3162
20010707,6,1884
20010707,6,1194
20010707,6,3336
20010707,6,2730
20010710,6,1866
20010711,6,3630
20010711,6,2148
20010711,6,1950
20010711,7,2163
20010711,6,2934
20010712,6,1662
20010713,7,2597
20010713,6,3036
20010713,7,7042
20010714,6,3138
20010714,6,1632
20010714,7,1890
20010714,7,2072
20010714,6,3576
20010714,6,3294
20010714,7,3108
20010715,7,4466
20010715,6,3996
20010716,6,2304
20010716,7,5201
20010719,6,4764
20010719,7,2779
20010720,6,2382
20010720,6,1860
20010720,6,4302
20010720,6,3480
20010721,6,2586
20010722,6,1776
20010723,6,1932
20010723,6,2286
20010723,7,2961
20010723,6,4158
20010724,6,2538
20010724,6,1866
20010725,6,1806
20010726,6,1836
20010727,6,3054
20010727,7,2415
20010728,6,2250
20010728,6,4242
20010728,6,2556
20010729,6,2172
20010729,6,3276
20010730,6,1548
20010730,6,2208
20010731,7,3374
20010731,6,1530
20010801,6,2514
20010801,8,3824
20010802,6,4554
20010802,7,2877
20010802,7,3885
20010802,6,1950
20010803,7,2142
20010803,6,2952
20010803,6,3822
20010803,6,1644
20010803,6,8118
20010803,7,4571
20010803,7,3738
20010805,6,1884
20010805,7,5726
20010805,6,4692
20010805,6,2586
20010806,6,1974
20010806,6,4002
20010806,6,3426
20010807,6,2586
20010807,6,3270
20010808,6,1734
20010808,6,2448
20010809,6,2334
20010809,6,2532
20010809,6,1092
20010811,7,2212
20010811,7,3969
20010812,7,2569
20010812,7,2296
20010812,6,1794
20010812,6,2604
20010812,6,4374
20010813,6,4260
20010813,7,4256
20010814,6,3408
20010814,6,2664
20010815,6,3870
20010817,6,2766
20010817,7,2093
20010818,6,4692
20010819,6,2406
20010819,6,4446
20010820,6,3540
20010820,7,5187
20010821,6,1620
20010822,6,2118
20010822,6,3408
20010822,6,2586
20010822,6,3342
20010823,6,3870
20010824,6,1986
20010824,6,4542
20010824,6,2496
20010824,6,3258
20010826,7,3696
20010827,6,2304
20010827,6,2616
20010827,6,3336
20010827,6,2172
20010827,6,1776
20010828,6,5382
20010830,6,2346
20010830,6,3498
20010830,6,2700
20010901,6,2940
20010903,6,2748
20010903,6,1974
20010903,6,1920
20010904,6,1350
20010904,6,1644
20010904,6,1416
20010905,6,3576
20010905,6,2322
20010906,6,2346
20010906,6,2976
20010906,6,1752
20010907,6,2658
20010907,6,1074
20010907,6,4692
20010908,6,4032
20010909,6,2520
20010909,6,1428
20010909,6,2076
20010910,7,1337
20010910,6,2148
20010910,6,1476
20010912,6,2406
20010913,6,4008
20010914,6,1500
20010915,7,2688
20010916,6,1026
20010917,6,2538
20010918,6,2622
20010918,6,4110
20010918,7,2212
20010918,6,3354
20010919,6,3276
20010919,7,2499
20010919,6,1992
20010919,7,2709
20010920,6,2166
20010920,6,3732
20010921,6,2562
20010921,6,3576
20010921,7,1631
20010921,6,4596
20010922,6,1986
20010922,6,4554
20010922,6,4146
20010923,6,2310
20010923,7,3514
20010923,6,3492
20010924,6,3288
20010924,6,5202
20010925,6,8118
20010925,6,2478
20010925,6,2754
20010925,6,2652
20010926,6,2334
20010926,6,3276
20010927,6,2190
20010927,6,2532
20010928,6,3918
20011001,6,1182
20011001,6,2142
20011003,6,3516
20011003,6,2076
20011004,6,3132
20011004,6,2508
20011005,7,1939
20011005,7,2723
20011005,7,4669
20011005,7,4081
20011005,6,2088
20011008,7,1295
20011008,6,3216
20011009,6,5772
20011009,6,2100
20011009,6,2670
20011010,6,1968
20011010,7,3801
20011010,6,1836
20011010,7,2289
20011014,6,2076
20011015,7,2408
20011016,7,1393
20011016,6,6318
20011019,6,2076
20011019,6,5184
20011019,6,3330
20011019,6,2334
20011019,6,2418
20011021,6,3336
20011021,6,8952
20011021,6,2460
20011022,6,2172
20011024,7,3234
20011024,6,1512
20011024,6,1764
20011024,7,4711
20011024,6,3078
20011024,7,1169
20011024,6,2238
20011025,7,3430
20011025,7,3780
20011025,6,3684
20011026,6,4926
20011027,6,5412
20011027,6,2406
20011029,7,8379
20011029,7,5859
20011030,7,4669
20011030,6,1860
20011031,7,4823
20011101,6,2850
20011103,6,2574
20011104,6,1428
20011104,7,4522
20011104,7,2555
20011105,6,2940
20011105,6,3474
20011105,6,2442
20011105,6,2142
20011106,7,3220
20011109,6,3972
20011110,6,5772
20011111,6,2382
20011112,6,2328
20011115,6,3138
20011115,7,6167
20011117,6,2346
20011117,6,2754
20011120,6,2100
20011120,8,2384
20011122,6,1206
20011122,6,3006
20011124,6,4554
20011124,6,2790
20011124,6,2868
20011126,6,2070
20011126,6,2592
20011126,6,3540
20011126,6,5262
20011127,7,2569
20011128,6,2964
20011129,7,2709
20011130,6,2520
20011202,7,3444
20011202,6,2418
20011202,6,3150
20011202,6,3222
20011202,6,1914
20011203,7,2800
20011203,7,2660
20011204,6,3516
20011205,6,1476
20011205,6,3822
20011205,6,1182
20011206,7,4053
20011206,6,3786
20011207,7,3213
20011207,6,3288
20011208,6,2250
20011208,7,3661
20011208,6,3582
20011209,6,3138
20011210,6,2670
20011211,7,4760
20011211,6,3684
20011212,6,1938
20011216,6,3798
20011216,6,2760
20011216,6,3024
20011217,6,1986
20011218,6,3606
20011218,6,3258
20011218,6,2886
20011218,6,2910
20011218,6,1758
20011219,7,6314
20011219,6,1650
20011219,6,2544
20011220,6,3330
20011220,7,4564
20011221,6,2382
20011222,6,2646
20011222,6,5400
20011224,6,6978
20011224,6,2892
20011224,7,2513
20011224,6,1470
20011224,6,1740
20011225,6,2610
20011225,7,3507
20011226,6,3492
20011227,6,4386
20011228,6,2766
20011228,6,5262
20011229,7,1729
20011229,7,2170
20011229,6,3786
20011229,6,3546
20011230,6,2670
20010108,6,2232
20010116,6,1626
20010119,6,2874
20010119,6,3294
20010123,8,2168
20010205,6,2592
20010205,6,2514
20010205,6,2538
20010206,6,2106
20010206,6,2262
20010212,6,3000
20010216,6,1938
20010216,6,2418
20010216,6,2646
20010222,7,2212
20010224,6,1914
20010224,6,3084
20010224,6,3354
20010224,7,3577
20010227,6,4506
20010227,7,2961
20010228,6,2310
20010301,6,2148
20010306,6,2322
20010306,6,2304
20010308,6,1776
20010308,6,3330
20010308,6,1608
20010309,6,4572
20010309,6,2256
20010309,6,2562
20010309,6,2484
20010309,8,2456
20010309,6,2676
20010309,6,2310
20010310,6,2988
20010310,7,3311
20010310,6,2382
20010310,6,4236
20010310,6,1962
20010312,6,1518
20010312,6,1896
20010312,6,2946
20010313,6,3066
20010313,6,1350
20010314,6,1968
20010315,6,3000
20010315,6,1074
20010315,6,1782
20010317,6,2478
20010317,6,1764
20010318,6,1500
20010320,6,1794
20010320,6,1860
20010321,6,2250
20010322,6,1782
20010322,6,2064
20010323,8,4432
20010323,6,2226
20010324,6,2226
20010324,6,1530
20010324,6,3870
20010324,6,2100
20010325,7,2709
20010327,7,1778
20010327,6,3168
20010327,6,2556
20010327,7,4452
20010331,6,1920
20010331,6,1686
20010331,6,1644
20010331,6,2676
20010402,6,3084
20010404,6,2154
20010404,6,2046
20010405,6,2826
20010405,6,2154
20010405,6,2910
20010406,6,2856
20010406,7,2653
20010406,6,2142
20010406,6,3078
20010407,6,5544
20010407,6,2106
20010407,6,3288
20010409,6,1632
20010409,7,1022
20010410,6,1974
20010412,6,2232
20010412,6,1890
20010413,6,1968
20010413,6,2598
20010415,6,1728
20010415,7,3115
20010417,7,2240
20010417,6,2820
20010417,6,2172
20010417,6,3378
20010418,6,2286
20010418,7,2716
20010419,6,3282
20010420,6,3066
20010420,7,2212
20010421,6,3360
20010421,6,2670
20010421,6,3246
20010423,6,2442
20010423,6,4026
20010424,6,3156
20010425,6,2586
20010425,7,1813
20010425,6,1908
20010427,6,2622
20010427,7,4053
20010427,6,2226
20010430,6,2622
20010501,6,2958
20010501,6,2952
20010501,8,3632
20010501,6,2142
20010501,6,4938
20010501,6,2334
20010502,6,1050
20010502,6,1014
20010502,6,2232
20010502,6,2586
20010504,6,4752
20010504,6,3840
20010505,6,2286
20010505,6,1962
20010505,6,3066
20010506,6,1368
20010506,6,1752
20010506,6,2946
20010506,6,2220
20010506,6,1932
20010508,6,1326
20010508,7,3535
20010509,6,2532
20010509,6,3000
20010510,6,1896
20010510,6,3444
20010511,6,1476
20010514,6,2148
20010514,6,3234
20010515,6,3270
20010515,6,1482
20010515,6,2634
20010516,6,1494
20010517,7,3290
20010517,6,2070
20010518,6,2616
20010518,7,1316
20010520,6,3066
20010520,7,3255
20010521,7,3052
20010521,6,1842
20010522,6,1530
20010522,6,2958
20010522,6,2070
20010522,6,3270
20010523,6,2880
20010523,6,3498
20010523,7,5236
20010527,6,1608
20010528,6,2040
20010529,6,1182
20010530,6,1908
20010601,6,2676
20010601,6,2676
20010603,6,1092
20010603,6,3102
20010603,6,3642
20010606,6,3918
20010606,6,2172
20010607,6,2142
20010608,6,4230
20010609,6,3582
20010609,6,2748
20010610,7,3143
20010611,6,4026
20010612,6,3648
20010612,6,2670
20010612,6,1692
20010614,7,2023
20010615,6,3072
20010615,7,3955
20010618,6,1554
20010618,6,3714
20010619,6,2418
20010619,7,1834
20010619,6,2130
20010619,6,1818
20010620,6,2202
20010620,7,2821
20010620,6,1050
20010620,7,1652
20010620,6,1662
20010621,6,2076
20010621,6,1428
20010622,6,1362
20010622,7,3717
20010624,6,2862
20010625,6,2454
20010625,7,3234
20010626,6,3420
20010627,6,2640
20010628,7,3458
20010628,6,2166
20010629,6,3024
20010629,6,2772
20010629,6,1860
20010629,6,2652
20010629,6,3066
20010701,6,2574
20010701,6,3276
20010701,6,3732
20010701,6,2208
20010701,7,3164
20010702,6,2196
20010703,6,1338
20010703,6,2700
20010704,6,2556
20010705,7,4018
20010706,6,2790
20010706,6,7152
20010707,6,2478
20010708,6,2424
20010708,6,3060
20010710,6,2220
20010710,6,3732
20010710,7,3052
20010710,6,2406
20010711,6,3294
20010711,7,1715
20010711,6,2274
20010712,6,3672
20010713,7,3598
20010713,6,2574
20010714,7,3661
20010714,6,2640
20010714,7,3108
20010714,6,1362
20010715,6,2538
20010715,6,4650
20010716,7,2506
20010718,6,1794
20010718,6,2586
20010718,6,3270
20010719,6,1860
20010720,7,3052
20010720,6,2310
20010720,6,2790
20010720,6,2910
20010721,6,4422
20010723,6,2640
20010723,6,4026
20010723,6,2964
20010723,6,2724
20010723,6,1416
20010723,6,3906
20010723,6,4206
20010724,6,3678
20010724,6,3828
20010724,6,2202
20010725,6,4140
20010725,6,2202
20010726,6,4230
20010726,6,2112
20010726,6,2688
20010727,6,1860
20010727,6,2790
20010727,6,2634
20010727,6,2568
20010727,6,3810
20010727,6,3186
20010728,6,1932
20010729,7,4872
20010730,7,3346
20010730,6,3828
20010730,6,2958
20010730,6,3492
20010731,7,2933
20010731,6,2514
20010801,6,2478
20010801,6,2850
20010801,6,2220
20010801,7,2779
20010802,7,3360
20010802,6,3372
20010803,7,1652
20010803,6,1740
20010803,6,1692
20010803,6,5724
20010803,7,2338
20010804,6,1944
20010804,6,1806
20010804,6,2538
20010806,6,2412
20010807,7,4893
20010809,6,4770
20010811,6,3654
20010811,7,2989
20010811,6,3090
20010812,6,4620
20010812,6,1872
20010812,6,4962
20010812,7,6608
20010813,7,4431
20010813,7,3024
20010813,6,5064
20010814,7,5327
20010814,7,6125
20010814,6,1620
20010815,6,2520
20010817,6,2940
20010817,6,3606
20010817,7,3850
20010818,6,2700
20010818,6,1680
20010818,6,3072
20010818,6,1680
20010819,6,5250
20010820,7,4382
20010820,7,5670
20010821,6,3084
20010822,6,3930
20010822,7,2807
20010823,6,2460
20010824,6,1560
20010824,6,2754
20010824,7,3724
20010824,6,3894
20010826,6,2382
20010826,6,4758
20010827,6,2064
20010827,6,2304
20010827,7,3829
20010828,6,3210
20010828,6,4026
20010829,7,3416
20010829,6,2076
20010829,7,2996
20010829,6,1524
20010829,7,3486
20010830,6,2286
20010831,6,3606
20010903,6,1110
20010903,6,1824
20010903,7,2359
20010903,6,2166
20010903,6,2070
20010904,6,1428
20010904,6,2322
20010905,6,2274
20010906,6,1794
20010906,7,1827
20010906,6,2514
20010907,6,6180
20010907,6,2400
20010907,6,8640
20010908,6,4590
20010910,6,2148
20010910,6,2310
20010912,6,2004
20010912,7,2849
20010914,6,2076
20010915,6,2730
20010915,6,2916
20010916,7,1848
20010916,6,9618
20010917,7,5684
20010917,6,4206
20010918,7,4823
20010918,6,1662
20010918,7,3122
20010919,6,4320
20010920,6,5664
20010921,7,3374
20010921,7,3255
20010921,6,3036
20010922,6,2562
20010922,6,3414
20010922,6,3954
20010922,6,3900
20010923,6,2484
20010923,7,2037
20010923,6,3870
20010923,6,2892
20010923,6,1554
20010924,6,4242
20010925,6,2862
20010925,6,2874
20010925,6,2292
20010926,7,2674
20010926,6,2124
20010926,7,3584
20010927,7,3787
20010927,6,3744
20010927,6,1566
20010928,6,2292
20011001,6,4092
20011001,6,3864
20011001,7,2695
20011001,6,2676
20011002,7,1722
20011002,6,1854
20011003,7,3836
20011003,6,4590
20011003,6,3660
20011004,6,2808
20011005,7,3374
20011005,6,1428
20011005,6,2190
20011008,6,3864
20011008,7,4270
20011008,6,2412
20011009,8,3048
20011009,6,3894
20011010,6,2124
20011010,6,3780
20011010,7,3255
20011010,6,1500
20011013,7,2415
20011014,6,4320
20011015,6,2202
20011015,6,3876
20011015,6,2904
20011015,7,3787
20011016,6,3714
20011016,6,2928
20011017,7,2030
20011017,6,2484
20011019,7,4144
20011019,7,3920
20011019,6,2676
20011020,6,3744
20011020,6,2130
20011020,6,2910
20011020,6,3660
20011020,6,3270
20011021,6,1194
20011022,6,2850
20011022,6,4620
20011022,6,2676
20011024,6,1986
20011024,6,2826
20011025,6,3126
20011025,6,2286
20011025,6,4176
20011027,6,1470
20011027,7,2989
20011029,6,1860
20011029,6,4650
20011031,6,2952
20011031,6,2934
20011031,6,2166
20011101,6,3402
20011101,6,1884
20011103,6,3648
20011104,6,2082
20011104,6,5970
20011104,6,1494
20011104,6,4986
20011105,6,2766
20011105,6,3066
20011105,6,3978
20011108,7,2303
20011109,7,2674
20011109,6,1920
20011110,7,6230
20011111,6,2202
20011111,6,3288
20011111,6,2862
20011111,6,4302
20011112,6,2352
20011112,6,3762
20011113,7,4837
20011115,6,3234
20011116,6,6564
20011116,6,2652
20011117,6,5220
20011117,6,1860
20011118,6,4962
20011119,6,4758
20011122,7,1659
20011122,6,1542
20011122,6,2130
20011122,6,2268
20011125,6,3420
20011126,6,2124
20011126,6,6750
20011126,6,5910
20011128,6,3090
20011129,6,3252
20011130,7,5593
20011201,7,3976
20011201,6,4122
20011202,6,3222
20011202,7,1890
20011202,7,5341
20011202,6,2466
20011202,6,2748
20011203,7,1547
20011203,7,1750
20011206,6,3678
20011207,6,2088
20011207,6,2790
20011207,6,4134
20011207,6,2340
20011208,6,1662
20011208,6,6282
20011208,7,4165
20011208,6,1608
20011211,7,1393
20011211,6,7554
20011211,6,4698
20011212,6,2082
20011212,6,3156
20011212,6,2406
20011213,6,1974
20011215,6,3066
20011215,8,3328
20011216,6,2532
20011218,6,3066
20011219,6,3072
20011219,7,5726
20011219,6,1464
20011220,6,7206
20011222,6,1950
20011224,6,2784
20011224,6,2076
20011224,7,1708
20011224,6,3216
20011224,6,2166
20011225,6,3954
20011225,6,2064
20011225,6,2166
20011225,6,2046
20011225,8,4248
20011225,6,3816
20011227,7,2625
20011227,6,3504
20011228,6,2232
20011228,7,4445
20011228,7,7203
20011228,6,5688
20011228,6,2346
20011229,6,2976
20011229,7,2954
20011230,6,1566
20010111,6,1398
20010111,6,1974
20010116,7,3437
20010116,6,2748
20010119,6,1428
20010125,7,1547
20010125,7,2422
20010128,6,2142
20010130,6,2820
20010130,7,2506
20010204,6,1896
20010208,6,1740
20010212,6,3000
20010212,7,1890
20010216,6,2304
20010216,7,3717
20010216,6,2982
20010220,6,2310
20010226,6,1974
20010227,6,2490
20010227,6,3210
20010227,6,2508
20010228,6,1734
20010228,6,2976
20010301,6,1494
20010301,6,2508
20010301,6,3420
20010303,6,2598
20010305,6,2520
20010306,6,2322
20010306,6,1758
20010307,6,1860
20010308,6,1842
20010309,7,3444
20010310,6,2142
20010310,6,2040
20010310,7,1575
20010310,6,1482
20010311,6,1626
20010312,6,2304
20010314,7,2534
20010315,7,3962
20010315,6,3492
20010317,6,3558
20010319,6,2124
20010320,6,2478
20010320,6,2694
20010321,6,2028
20010324,7,1848
20010324,6,3198
20010326,7,2779
20010326,6,2040
20010327,6,1908
20010327,6,2142
20010327,6,2622
20010327,7,3542
20010330,7,2842
20010331,6,1968
20010404,6,2976
20010404,6,1476
20010405,8,3568
20010405,6,3300
20010405,6,2598
20010405,7,2688
20010406,6,2508
20010406,6,1872
20010406,8,3376
20010409,6,3156
20010413,6,1548
20010415,6,2598
20010416,6,1860
20010417,6,2514
20010418,6,2586
20010421,6,2562
20010423,7,1904
20010423,6,1608
20010424,6,3156
20010424,7,1855
20010424,6,2964
20010425,6,1908
20010427,6,1758
20010428,6,3648
20010428,7,2072
20010430,6,2688
20010430,6,1662
20010501,6,2232
20010504,6,2172
20010504,6,1584
20010505,7,4704
20010505,7,2170
20010505,6,2514
20010506,6,3030
20010506,6,3384
20010506,6,1908
20010506,6,1932
20010507,7,3227
20010507,6,3186
20010508,6,3312
20010508,7,4298
20010508,6,3822
20010509,6,2532
20010509,6,2970
20010509,6,1776
20010511,6,6180
20010514,7,3409
20010514,6,2646
20010515,6,2232
20010515,6,2232
20010515,6,3030
20010515,6,1500
20010515,6,1884
20010517,6,2910
20010518,6,1608
20010518,6,3936
20010518,6,1794
20010519,6,1872
20010520,7,1687
20010520,7,3682
20010520,6,2256
20010520,6,1992
20010520,6,2040
20010521,7,3661
20010521,6,2202
20010521,6,2616
20010522,6,3828
20010523,6,2250
20010528,6,2598
20010528,6,2268
20010601,7,3787
20010603,7,2660
20010603,6,1326
20010604,6,2142
20010604,6,1842
20010604,6,1716
20010604,6,2430
20010606,6,1758
20010606,7,3815
20010607,6,3156
20010607,7,3423
20010607,7,2716
20010608,7,3668
20010608,7,3108
20010609,6,3894
20010609,6,1836
20010611,6,1986
20010611,6,1428
20010611,6,3216
20010611,7,3087
20010612,6,4488
20010612,7,2247
20010612,6,1782
20010613,6,2142
20010613,6,2010
20010614,6,2580
20010615,8,4752
20010615,6,3390
20010616,6,2916
20010616,7,1274
20010616,6,2508
20010618,7,2212
20010618,6,3204
20010618,6,2070
20010619,6,3492
20010621,6,5220
20010622,6,3510
20010622,7,2107
20010623,6,1926
20010624,7,3332
20010625,6,1968
20010627,7,4053
20010627,7,2422
20010627,6,6180
20010629,6,4434
20010629,6,3060
20010629,6,1098
20010629,6,3312
20010630,6,3582
20010701,6,3156
20010701,6,1410
20010701,6,1338
20010701,6,2304
20010701,6,2616
20010706,6,1950
20010706,7,3409
20010706,6,2790
20010707,7,8386
20010710,6,2418
20010711,6,2556
20010712,7,4319
20010712,6,2928
20010712,6,2232
20010712,6,2280
20010713,6,3738
20010713,6,1992
20010713,7,7210
20010714,6,2208
20010714,6,4104
20010714,6,3186
20010714,6,1338
20010714,7,4256
20010715,7,1953
20010715,6,3012
20010717,6,1734
20010718,6,3498
20010718,6,1848
20010719,6,1830
20010719,6,1662
20010720,6,4626
20010720,6,1098
20010720,6,3594
20010721,6,2280
20010722,6,2304
20010722,6,4032
20010723,6,1098
20010723,6,2280
20010723,6,1854
20010723,6,2748
20010723,6,2280
20010724,7,1799
20010725,7,2912
20010726,7,1715
20010726,6,4014
20010727,6,3702
20010727,6,2352
20010727,6,2670
20010728,7,2779
20010728,6,1908
20010729,7,3255
20010729,6,2952
20010729,6,4338
20010729,7,3822
20010730,8,3072
20010730,6,1548
20010730,7,3402
20010730,6,1656
20010801,6,3372
20010801,6,1962
20010802,6,4434
20010802,6,2688
20010802,6,3582
20010802,6,2730
20010803,6,4446
20010803,7,2562
20010803,7,3535
20010806,6,1572
20010806,6,4104
20010807,7,2478
20010808,6,1734
20010809,6,2124
20010810,7,2163
20010810,6,2124
20010811,6,3444
20010811,6,4014
20010811,6,4242
20010812,6,2400
20010812,6,3288
20010812,7,1806
20010812,6,4776
20010812,6,3444
20010813,7,3087
20010813,7,4473
20010813,6,2718
20010813,6,4014
20010814,6,3426
20010814,7,4312
20010815,6,3168
20010815,7,2779
20010816,6,1740
20010816,6,1740
20010816,7,2247
20010816,6,2658
20010817,6,2052
20010817,6,2592
20010817,6,2598
20010818,6,2070
20010819,6,1446
20010820,7,2142
20010820,6,2070
20010822,6,3498
20010824,6,2034
20010824,7,5236
20010824,7,2807
20010826,6,1098
20010826,6,3216
20010826,6,3648
20010827,6,1932
20010827,6,3162
20010827,6,2880
20010828,6,3180
20010829,6,2982
20010830,6,1794
20010830,6,3870
20010902,6,2886
20010902,7,4914
20010903,7,3213
20010903,6,2502
20010903,7,3115
20010904,7,3822
20010904,6,3198
20010904,6,2952
20010906,6,2070
20010906,6,2460
20010907,7,4473
20010907,6,4908
20010907,6,3270
20010907,6,2508
20010907,6,3012
20010911,6,6852
20010912,6,3246
20010912,6,2322
20010912,6,1896
20010912,6,1182
20010912,6,4896
20010914,6,4212
20010914,6,2928
20010915,6,3702
20010915,7,3689
20010915,6,2520
20010917,7,2226
20010918,6,2592
20010918,6,2232
20010918,6,5184
20010918,6,1584
20010918,6,2622
20010919,7,3115
20010921,6,2556
20010922,6,1734
20010922,6,2604
20010925,6,2202
20010925,6,4812
20010926,8,3224
20010926,6,2994
20010927,6,2616
20010927,6,2856
20010927,6,2076
20010928,6,4656
20010930,6,1446
20011001,6,3900
20011001,6,1626
20011001,6,1896
20011001,6,5136
20011002,6,1854
20011003,6,2214
20011003,6,2076
20011004,6,2124
20011005,7,4809
20011008,7,3185
20011010,7,2296
20011010,6,2652
20011011,6,3924
20011011,6,3312
20011013,6,2070
20011013,6,2964
20011013,6,3870
20011015,6,3888
20011015,6,4266
20011015,7,3122
20011016,6,2532
20011016,6,3624
20011016,6,2484
20011016,6,2790
20011016,6,1734
20011016,6,3768
20011017,7,3227
20011019,7,4249
20011019,6,2622
20011019,6,2934
20011020,6,2118
20011020,6,2838
20011020,7,5383
20011021,6,3084
20011021,6,5136
20011021,6,4098
20011021,6,3012
20011022,7,2926
20011023,6,2652
20011024,6,2322
20011025,6,2226
20011025,6,1776
20011026,6,2274
20011027,6,3648
20011027,6,6714
20011027,6,1728
20011027,6,2310
20011030,6,1758
20011031,6,2214
20011031,6,4824
20011103,7,3661
20011103,7,2506
20011103,6,2496
20011104,6,2508
20011104,6,2982
20011104,6,2418
20011104,6,5406
20011106,6,2886
20011109,6,5610
20011109,7,2597
20011110,6,2610
20011110,6,3138
20011110,6,4746
20011110,7,2163
20011111,6,4716
20011111,7,1841
20011112,6,6516
20011112,6,1506
20011112,6,2298
20011112,6,1422
20011112,6,5562
20011112,7,1281
20011113,6,1938
20011115,6,5346
20011115,6,4488
20011116,6,2796
20011116,6,1806
20011117,6,2730
20011117,6,2754
20011119,6,4032
20011121,6,2052
20011121,6,3750
20011123,6,3402
20011125,7,4809
20011125,6,2046
20011126,6,3834
20011126,6,2142
20011126,6,4110
20011128,6,2052
20011128,6,1446
20011128,6,2322
20011129,6,1284
20011129,6,3972
20011129,6,2448
20011202,7,2422
20011202,6,4152
20011202,6,2712
20011203,6,2238
20011204,6,1170
20011207,6,2088
20011207,8,3688
20011207,6,3510
20011207,6,2148
20011208,7,4935
20011208,6,4008
20011208,7,3416
20011208,6,2070
20011208,6,4392
20011208,6,2886
20011210,6,3684
20011211,7,4578
20011211,6,1758
20011211,7,4298
20011211,7,3689
20011211,6,1758
20011211,7,3514
20011211,8,3224
20011211,6,2460
20011212,6,2436
20011214,6,3576
20011215,7,4018
20011218,6,1956
20011218,7,3689
20011219,6,5778
20011220,6,2094
20011221,6,5562
