date,totalQuantity,totalAmount
20010523,182,80659
20011110,141,80874
20010310,202,81213
20010308,210,81223
20010508,184,81297
20010601,193,81568
20010504,187,81741
20010224,182,82685
20010313,185,83213
20010417,226,83463
20010425,226,84035
20010406,198,84189
20011129,173,84321
20010427,196,84443
20010914,161,84609
20011205,175,85918
20010829,162,87293
20010518,234,87845
20010927,193,88240
20010904,193,89057
20010719,199,89163
20010917,183,89234
20010216,245,89800
20010430,210,90753
20010530,209,90955
20010729,187,91636
20011009,168,91666
20011219,168,91842
20011130,169,91889
20010817,207,92547
20010616,235,93286
20010912,204,93290
20011221,156,93305
20010507,209,93535
20010119,210,93586
20011112,196,93788
20010926,200,94064
20011027,209,94082
20010309,228,94134
20010531,226,94202
20010506,227,94425
20010629,190,96317
20010227,252,96736
20011005,207,96761
20011001,208,97310
20010418,246,97470
20010811,206,98275
20010327,240,98668
20010606,222,98952
20010713,199,99153
20010315,226,99625
20010706,212,101207
20011111,202,101815
20010925,205,101830
20010502,276,102285
20011025,201,103309
20010911,232,103640
20010505,253,103820
20011128,212,104377
20010423,302,105460
20011024,252,105958
20010622,258,106002
20010603,233,106236
20010802,208,106603
20010730,233,106682
20010907,204,106683
20010707,240,107003
20010814,219,109010
20011225,202,109219
20010501,252,109616
20010514,262,110121
20011020,211,110826
20010830,236,111820
20010715,232,112218
20010415,267,112444
20010920,234,112805
20010509,296,113099
20010620,219,113099
20010903,269,114151
20010826,240,116175
20011103,221,116278
20011008,200,116674
20010604,251,116740
20011105,224,116791
20011104,224,116945
20010306,297,117336
20010619,296,117491
20010405,278,118509
20010612,271,120188
20010818,270,120456
20010820,229,120881
20010515,282,121915
20011117,251,122087
20010711,298,122478
20010813,257,123218
20010824,256,123282
20010921,270,123412
20010710,268,123486
20011218,251,125010
20010827,266,125521
20010521,310,126459
20010919,250,126904
20011016,253,128894
20010922,247,128976
20010609,297,129441
20011202,285,129702
20010822,290,130151
20010627,229,130893
20011019,259,132409
20010918,277,132842
20011211,251,133119
20011207,285,134496
20011115,223,134661
20010812,288,134769
20011003,270,138977
20010520,336,139688
20010923,321,140216
20011224,305,141597
20011126,263,145137
20011229,300,151488
20010801,343,151947
20010828,317,155727
20010803,345,156929
20010618,384,159032
20010727,339,160869
20011228,292,162534
20011015,312,169645
20010701,370,171362
20010720,377,177132
20010714,421,184643
20011010,373,185012
20011021,349,186030
20010723,427,197993
20011208,442,218180
