customer,receipt
00227A,1000026
00168A,1000027
00168A,1000027
00168A,1000027
00168A,1000027
00168A,1000027
00168A,1000027
00181A,1000028
00181A,1000028
00181A,1000028
00088A,1000029
00088A,1000029
00088A,1000029
00088A,1000029
00088A,1000029
00088A,1000029
00088A,1000029
00088A,1000029
00180A,1000032
00180A,1000032
00180A,1000032
00180A,1000032
00180A,1000032
00180A,1000032
00180A,1000032
00180A,1000032
00180A,1000032
00180A,1000032
00160A,1000030
00160A,1000030
00160A,1000030
00160A,1000030
00178A,1000031
00178A,1000031
00178A,1000031
00178A,1000031
00178A,1000031
00178A,1000031
00178A,1000031
00221A,1000033
00221A,1000033
00221A,1000033
00221A,1000033
00221A,1000033
00221A,1000033
00221A,1000033
00221A,1000033
00221A,1000033
00049A,1000034
00049A,1000034
00049A,1000034
00250A,1000035
00250A,1000035
00250A,1000035
00250A,1000035
00250A,1000035
00250A,1000035
00250A,1000035
00250A,1000035
00254A,1000037
00254A,1000037
00254A,1000037
00254A,1000037
00254A,1000037
00254A,1000037
00254A,1000037
00254A,1000037
00044A,1000036
00044A,1000036
00044A,1000036
00044A,1000036
00044A,1000036
00044A,1000036
00044A,1000036
00044A,1000036
00044A,1000036
00254A,1000041
00254A,1000041
00254A,1000041
00254A,1000041
00254A,1000041
00254A,1000041
00254A,1000041
00254A,1000041
00004A,1000038
00004A,1000038
00004A,1000038
00004A,1000038
00118A,1000040
00118A,1000040
00118A,1000040
00118A,1000040
00118A,1000040
00118A,1000040
00077A,1000039
00077A,1000039
00077A,1000039
00077A,1000039
00077A,1000039
00077A,1000039
00077A,1000039
00271A,1000043
00271A,1000043
00271A,1000043
00168A,1000042
00168A,1000042
00168A,1000042
00168A,1000042
00168A,1000042
00168A,1000042
00168A,1000042
00168A,1000042
00168A,1000042
00168A,1000042
00168A,1000042
00272A,1000047
00272A,1000047
00004A,1000044
00004A,1000044
00004A,1000044
00004A,1000044
00004A,1000044
00004A,1000044
00004A,1000044
00004A,1000044
00052A,1000045
00052A,1000045
00052A,1000045
00052A,1000045
00052A,1000045
00052A,1000045
00052A,1000045
00052A,1000045
00052A,1000045
00052A,1000045
00217A,1000046
00217A,1000046
00217A,1000046
00217A,1000046
00217A,1000046
00217A,1000046
00217A,1000046
00217A,1000046
00217A,1000046
00228A,1000050
00228A,1000050
00228A,1000050
00112A,1000049
00112A,1000049
00112A,1000049
00112A,1000049
00112A,1000049
00112A,1000049
00112A,1000049
00112A,1000049
00005A,1000048
00005A,1000048
00005A,1000048
00005A,1000048
00005A,1000048
00005A,1000048
00056A,1000052
00056A,1000052
00056A,1000052
00056A,1000052
00056A,1000052
00056A,1000052
00056A,1000052
00016A,1000051
00016A,1000051
00016A,1000051
00016A,1000051
00016A,1000051
00016A,1000051
00016A,1000051
00016A,1000051
00056A,1000053
00056A,1000053
00056A,1000053
00056A,1000053
00056A,1000053
00056A,1000053
00077A,1000054
00077A,1000054
00077A,1000054
00077A,1000054
00077A,1000054
00077A,1000054
00178A,1000058
00178A,1000058
00178A,1000058
00178A,1000058
00178A,1000058
00152A,1000057
00152A,1000057
00152A,1000057
00152A,1000057
00152A,1000057
00152A,1000057
00032A,1000055
00032A,1000055
00032A,1000055
00032A,1000055
00225A,1000060
00225A,1000060
00225A,1000060
00225A,1000060
00056A,1000056
00056A,1000056
00056A,1000056
00056A,1000056
00056A,1000056
00056A,1000056
00182A,1000059
00182A,1000059
00182A,1000059
00182A,1000059
00182A,1000059
00182A,1000059
00182A,1000059
00182A,1000059
00182A,1000059
00182A,1000059
00045A,1000061
00045A,1000061
00045A,1000061
00045A,1000061
00045A,1000061
00045A,1000061
00045A,1000061
00112A,1000064
00112A,1000064
00112A,1000064
00112A,1000064
00112A,1000064
00112A,1000064
00112A,1000064
00250A,1000065
00250A,1000065
00250A,1000065
00250A,1000065
00250A,1000065
00250A,1000065
00250A,1000065
00250A,1000065
00250A,1000065
00045A,1000062
00045A,1000062
00080A,1000063
00080A,1000063
00080A,1000063
00080A,1000063
00080A,1000063
00080A,1000063
00167A,1000067
00167A,1000067
00250A,1000068
00250A,1000068
00250A,1000068
00250A,1000068
00250A,1000068
00129A,1000066
00129A,1000066
00129A,1000066
00129A,1000066
00129A,1000066
00129A,1000066
00129A,1000066
00261A,1000069
00261A,1000069
00261A,1000069
00261A,1000069
00261A,1000069
00261A,1000069
00261A,1000069
00261A,1000069
00261A,1000069
00129A,1000071
00129A,1000071
00129A,1000071
00129A,1000071
00201A,1000072
00201A,1000072
00201A,1000072
00201A,1000072
00201A,1000072
00201A,1000072
00201A,1000072
00201A,1000072
00034A,1000070
00034A,1000070
00034A,1000070
00034A,1000070
00034A,1000070
00034A,1000070
00034A,1000070
00034A,1000070
00034A,1000070
00034A,1000070
00191A,1000073
00191A,1000073
00091A,1000075
00091A,1000075
00091A,1000075
00091A,1000075
00091A,1000075
00044A,1000074
00044A,1000074
00044A,1000074
00044A,1000074
00044A,1000074
00044A,1000074
00044A,1000074
00044A,1000074
00095A,1000076
00095A,1000076
00095A,1000076
00095A,1000076
00095A,1000076
00095A,1000076
00095A,1000076
00095A,1000076
00095A,1000076
00095A,1000076
00260A,1000080
00260A,1000080
00260A,1000080
00260A,1000080
00113A,1000077
00113A,1000077
00113A,1000077
00113A,1000077
00113A,1000077
00113A,1000077
00113A,1000077
00146A,1000079
00146A,1000079
00146A,1000079
00146A,1000079
00146A,1000079
00262A,1000081
00262A,1000081
00262A,1000081
00262A,1000081
00262A,1000081
00124A,1000078
00124A,1000078
00124A,1000078
00124A,1000078
00124A,1000078
00163A,1000082
00163A,1000082
00163A,1000082
00163A,1000082
00163A,1000082
00163A,1000082
00163A,1000082
00163A,1000082
00163A,1000082
00269A,1000083
00269A,1000083
00269A,1000083
00269A,1000083
00269A,1000083
00269A,1000083
00041A,1000085
00041A,1000085
00032A,1000084
00032A,1000084
00032A,1000084
00032A,1000084
00032A,1000084
00032A,1000084
00032A,1000084
00146A,1000087
00146A,1000087
00146A,1000087
00146A,1000087
00146A,1000087
00146A,1000087
00146A,1000087
00146A,1000087
00146A,1000087
00146A,1000087
00146A,1000087
00091A,1000086
00091A,1000086
00091A,1000086
00091A,1000086
00091A,1000086
00091A,1000086
00091A,1000086
00091A,1000086
00091A,1000086
00091A,1000086
00091A,1000086
00022A,1000088
00095A,1000090
00095A,1000090
00091A,1000089
00091A,1000089
00091A,1000089
00091A,1000089
00091A,1000089
00091A,1000089
00091A,1000089
00091A,1000089
00091A,1000089
00113A,1000092
00113A,1000092
00113A,1000092
00113A,1000092
00113A,1000092
00113A,1000092
00113A,1000092
00112A,1000091
00112A,1000091
00112A,1000091
00112A,1000091
00112A,1000091
00112A,1000091
00112A,1000091
00112A,1000091
00103A,1000094
00018A,1000093
00018A,1000093
00018A,1000093
00018A,1000095
00018A,1000095
00022A,1000096
00022A,1000096
00022A,1000096
00022A,1000096
00163A,1000097
00163A,1000097
00163A,1000097
00163A,1000097
00163A,1000097
00163A,1000097
00163A,1000097
00163A,1000097
00163A,1000097
00163A,1000097
00017A,1000098
00017A,1000098
00017A,1000098
00017A,1000098
00017A,1000098
00017A,1000098
00017A,1000098
00216A,1000099
00216A,1000099
00216A,1000099
00216A,1000099
00216A,1000099
00216A,1000099
00216A,1000099
00216A,1000099
00216A,1000099
00216A,1000099
00260A,1000100
00260A,1000100
00260A,1000100
00260A,1000100
00260A,1000100
00260A,1000100
00260A,1000100
00260A,1000100
00260A,1000100
00260A,1000100
00180A,1000102
00180A,1000102
00180A,1000102
00180A,1000102
00180A,1000102
00180A,1000102
00180A,1000102
00180A,1000102
00180A,1000102
00180A,1000102
00235A,1000103
00272A,1000104
00272A,1000104
00272A,1000104
00168A,1000101
00168A,1000101
00168A,1000101
00168A,1000101
00168A,1000101
00168A,1000101
00260A,1000106
00260A,1000106
00260A,1000106
00260A,1000106
00260A,1000106
00260A,1000106
00260A,1000106
00260A,1000106
00254A,1000105
00254A,1000105
00254A,1000105
00254A,1000105
00254A,1000105
00254A,1000105
00254A,1000105
00195A,1000108
00195A,1000108
00195A,1000108
00195A,1000108
00195A,1000108
00195A,1000108
00195A,1000108
00195A,1000108
00195A,1000108
00095A,1000107
00095A,1000107
00095A,1000107
00095A,1000107
00095A,1000107
00116A,1000110
00116A,1000110
00004A,1000109
00004A,1000109
00004A,1000109
00004A,1000109
00004A,1000109
00004A,1000109
00004A,1000109
00092A,1000111
00092A,1000111
00092A,1000111
00092A,1000111
00092A,1000111
00092A,1000111
00092A,1000111
00092A,1000111
00092A,1000111
00092A,1000111
00162A,1000112
00162A,1000112
00162A,1000112
00162A,1000112
00162A,1000112
00207A,1000116
00207A,1000116
00207A,1000116
00207A,1000116
00207A,1000116
00207A,1000116
00207A,1000116
00207A,1000116
00034A,1000113
00034A,1000113
00034A,1000113
00034A,1000113
00034A,1000113
00034A,1000113
00044A,1000114
00044A,1000114
00044A,1000114
00044A,1000114
00056A,1000115
00056A,1000115
00056A,1000115
00056A,1000115
00056A,1000115
00056A,1000115
00056A,1000115
00056A,1000115
00056A,1000115
00056A,1000115
00236A,1000118
00236A,1000118
00236A,1000118
00104A,1000117
00104A,1000117
00104A,1000117
00104A,1000117
00104A,1000117
00269A,1000121
00269A,1000121
00269A,1000121
00269A,1000121
00228A,1000120
00228A,1000120
00228A,1000120
00228A,1000120
00101A,1000119
00101A,1000119
00101A,1000119
00101A,1000119
00220A,1000123
00220A,1000123
00220A,1000123
00220A,1000123
00220A,1000123
00220A,1000123
00220A,1000123
00271A,1000124
00271A,1000124
00271A,1000124
00045A,1000122
00045A,1000122
00254A,1000127
00254A,1000127
00254A,1000127
00254A,1000127
00254A,1000127
00254A,1000127
00254A,1000127
00038A,1000125
00038A,1000125
00038A,1000125
00038A,1000125
00038A,1000125
00038A,1000125
00236A,1000126
00236A,1000126
00236A,1000126
00236A,1000126
00236A,1000126
00236A,1000126
00236A,1000126
00236A,1000126
00163A,1000128
00163A,1000128
00163A,1000128
00163A,1000128
00163A,1000128
00163A,1000128
00163A,1000128
00159A,1000129
00159A,1000129
00159A,1000129
00159A,1000129
00159A,1000129
00234A,1000130
00234A,1000130
00234A,1000130
00234A,1000130
00234A,1000130
00234A,1000130
00234A,1000130
00097A,1000131
00097A,1000131
00097A,1000131
00097A,1000131
00097A,1000131
00097A,1000131
00097A,1000131
00225A,1000134
00104A,1000132
00104A,1000132
00104A,1000132
00104A,1000132
00104A,1000132
00222A,1000133
00222A,1000133
00222A,1000133
00222A,1000133
00222A,1000133
00222A,1000133
00222A,1000133
00222A,1000133
00222A,1000133
00144A,1000137
00144A,1000137
00144A,1000137
00144A,1000137
00144A,1000137
00144A,1000137
00144A,1000137
00144A,1000137
00144A,1000137
00129A,1000136
00129A,1000136
00129A,1000136
00129A,1000136
00129A,1000136
00129A,1000136
00200A,1000138
00200A,1000138
00200A,1000138
00200A,1000138
00200A,1000138
00200A,1000138
00200A,1000138
00200A,1000138
00200A,1000138
00200A,1000138
00200A,1000138
00200A,1000138
00030A,1000135
00030A,1000135
00030A,1000135
00260A,1000141
00260A,1000141
00260A,1000141
00260A,1000141
00260A,1000141
00260A,1000141
00260A,1000141
00022A,1000139
00022A,1000139
00022A,1000139
00022A,1000139
00022A,1000139
00022A,1000139
00022A,1000139
00022A,1000139
00022A,1000139
00084A,1000140
00084A,1000140
00084A,1000140
00084A,1000140
00084A,1000140
00084A,1000140
00084A,1000140
00084A,1000140
00084A,1000140
00084A,1000140
00084A,1000140
00084A,1000140
00207A,1000142
00207A,1000142
00207A,1000142
00207A,1000142
00207A,1000142
00207A,1000142
00207A,1000142
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00256A,1000143
00045A,1000144
00045A,1000144
00045A,1000144
00045A,1000144
00273A,1000145
00273A,1000145
00273A,1000145
00273A,1000145
00191A,1000146
00191A,1000146
00191A,1000146
00217A,1000147
00217A,1000147
00217A,1000147
00217A,1000147
00227A,1000148
00227A,1000148
00227A,1000148
00227A,1000148
00227A,1000148
00227A,1000148
00139A,1000150
00139A,1000150
00139A,1000150
00139A,1000150
00139A,1000150
00139A,1000150
00139A,1000150
00139A,1000150
00139A,1000150
00043A,1000149
00043A,1000149
00043A,1000149
00113A,1000151
00113A,1000151
00113A,1000151
00113A,1000151
00113A,1000151
00113A,1000151
00168A,1000152
00168A,1000152
00168A,1000152
00251A,1000153
00251A,1000153
00251A,1000153
00251A,1000153
00251A,1000153
00251A,1000153
00251A,1000153
00251A,1000153
00055A,1000155
00055A,1000155
00055A,1000155
00222A,1000157
00222A,1000157
00222A,1000157
00222A,1000157
00222A,1000157
00222A,1000157
00110A,1000156
00110A,1000156
00110A,1000156
00110A,1000156
00110A,1000156
00110A,1000156
00030A,1000154
00043A,1000159
00043A,1000159
00043A,1000159
00043A,1000159
00008A,1000158
00008A,1000158
00008A,1000158
00008A,1000158
00008A,1000158
00008A,1000158
00008A,1000158
00163A,1000162
00163A,1000162
00163A,1000162
00163A,1000162
00220A,1000163
00220A,1000163
00220A,1000163
00220A,1000163
00220A,1000163
00220A,1000163
00220A,1000163
00020A,1000160
00020A,1000160
00020A,1000160
00020A,1000160
00020A,1000160
00020A,1000160
00020A,1000160
00020A,1000160
00020A,1000160
00045A,1000161
00045A,1000161
00045A,1000161
00045A,1000161
00045A,1000161
00045A,1000161
00045A,1000161
00045A,1000161
00045A,1000161
00045A,1000161
00118A,1000165
00118A,1000165
00118A,1000165
00118A,1000165
00118A,1000165
00118A,1000165
00118A,1000165
00036A,1000164
00036A,1000164
00036A,1000164
00036A,1000164
00272A,1000169
00272A,1000169
00272A,1000169
00272A,1000169
00272A,1000169
00272A,1000169
00060A,1000167
00060A,1000167
00060A,1000167
00060A,1000167
00060A,1000167
00060A,1000167
00002A,1000166
00002A,1000166
00002A,1000166
00002A,1000166
00002A,1000166
00002A,1000166
00179A,1000168
00179A,1000168
00179A,1000168
00179A,1000168
00179A,1000168
00179A,1000168
00179A,1000168
00179A,1000168
00236A,1000172
00236A,1000172
00236A,1000172
00236A,1000172
00236A,1000172
00236A,1000172
00236A,1000172
00236A,1000172
00236A,1000172
00236A,1000172
00244A,1000173
00244A,1000173
00244A,1000173
00164A,1000170
00164A,1000170
00164A,1000170
00164A,1000170
00164A,1000170
00164A,1000170
00220A,1000171
00220A,1000171
00220A,1000171
00220A,1000171
00220A,1000171
00220A,1000171
00220A,1000171
00220A,1000171
00220A,1000171
00220A,1000171
00220A,1000171
00220A,1000171
00220A,1000171
00235A,1000174
00235A,1000174
00235A,1000174
00235A,1000174
00235A,1000174
00235A,1000174
00235A,1000174
00235A,1000174
00195A,1000176
00195A,1000176
00195A,1000176
00195A,1000176
00195A,1000176
00195A,1000176
00195A,1000176
00273A,1000177
00273A,1000177
00273A,1000177
00273A,1000177
00273A,1000177
00273A,1000177
00024A,1000175
00024A,1000175
00024A,1000175
00024A,1000175
00024A,1000175
00024A,1000175
00024A,1000175
00222A,1000180
00222A,1000180
00222A,1000180
00222A,1000180
00222A,1000180
00222A,1000180
00113A,1000178
00113A,1000178
00113A,1000178
00113A,1000178
00113A,1000178
00113A,1000178
00144A,1000179
00144A,1000179
00144A,1000179
00144A,1000179
00144A,1000179
00121A,1000181
00121A,1000181
00121A,1000181
00121A,1000181
00231A,1000182
00231A,1000182
00201A,1000187
00201A,1000187
00201A,1000187
00201A,1000187
00201A,1000187
00201A,1000187
00201A,1000187
00180A,1000186
00180A,1000186
00180A,1000186
00180A,1000186
00180A,1000186
00180A,1000186
00180A,1000186
00180A,1000186
00180A,1000186
00098A,1000185
00098A,1000185
00098A,1000185
00098A,1000185
00098A,1000185
00098A,1000185
00087A,1000183
00087A,1000183
00087A,1000183
00087A,1000183
00087A,1000183
00088A,1000184
00088A,1000184
00088A,1000184
00088A,1000184
00088A,1000184
00088A,1000184
00088A,1000184
00088A,1000184
00088A,1000184
00088A,1000184
00088A,1000184
00088A,1000184
00088A,1000184
00041A,1000188
00041A,1000188
00041A,1000188
00041A,1000188
00041A,1000188
00056A,1000189
00056A,1000189
00056A,1000189
00056A,1000189
00056A,1000189
00056A,1000189
00056A,1000189
00056A,1000189
00056A,1000189
00200A,1000191
00200A,1000191
00200A,1000191
00200A,1000191
00200A,1000191
00200A,1000191
00200A,1000191
00200A,1000191
00200A,1000191
00200A,1000191
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00043A,1000190
00008A,1000192
00043A,1000193
00043A,1000193
00043A,1000193
00043A,1000193
00043A,1000193
00043A,1000193
00008A,1000194
00118A,1000195
00118A,1000195
00118A,1000195
00267A,1000198
00267A,1000198
00267A,1000198
00267A,1000198
00217A,1000197
00217A,1000197
00217A,1000197
00217A,1000197
00217A,1000197
00121A,1000196
00121A,1000196
00121A,1000196
00121A,1000196
00121A,1000196
00121A,1000196
00121A,1000196
00121A,1000196
00121A,1000196
00121A,1000196
00121A,1000196
00139A,1000199
00139A,1000199
00139A,1000199
00139A,1000199
00139A,1000199
00139A,1000199
00139A,1000199
00088A,1000200
00088A,1000200
00104A,1000201
00104A,1000201
00104A,1000201
00104A,1000201
00104A,1000201
00104A,1000201
00104A,1000201
00104A,1000201
00104A,1000201
00104A,1000201
00104A,1000201
00104A,1000201
00181A,1000203
00181A,1000203
00181A,1000203
00181A,1000203
00181A,1000203
00181A,1000203
00110A,1000202
00110A,1000202
00110A,1000202
00110A,1000202
00110A,1000202
00110A,1000202
00110A,1000202
00110A,1000202
00110A,1000202
00110A,1000202
00012A,1000204
00012A,1000204
00012A,1000204
00012A,1000204
00012A,1000204
00012A,1000204
00012A,1000204
00103A,1000205
00103A,1000205
00103A,1000205
00103A,1000205
00146A,1000206
00146A,1000206
00146A,1000206
00146A,1000206
00146A,1000206
00146A,1000206
00146A,1000206
00146A,1000206
00146A,1000206
00222A,1000207
00222A,1000207
00222A,1000207
00222A,1000207
00222A,1000207
00222A,1000207
00222A,1000207
00222A,1000207
00222A,1000207
00222A,1000207
00222A,1000207
00222A,1000207
00094A,1000209
00094A,1000209
00094A,1000209
00094A,1000209
00094A,1000209
00164A,1000212
00164A,1000212
00164A,1000212
00164A,1000212
00102A,1000210
00102A,1000210
00102A,1000210
00102A,1000210
00102A,1000210
00102A,1000210
00260A,1000213
00260A,1000213
00260A,1000213
00260A,1000213
00260A,1000213
00260A,1000213
00260A,1000213
00110A,1000211
00110A,1000211
00110A,1000211
00110A,1000211
00110A,1000211
00012A,1000208
00012A,1000208
00012A,1000208
00012A,1000208
00012A,1000208
00012A,1000208
00012A,1000208
00012A,1000208
00012A,1000208
00012A,1000208
00224A,1000214
00224A,1000214
00014A,1000215
00014A,1000215
00014A,1000215
00014A,1000215
00014A,1000215
00014A,1000215
00014A,1000215
00014A,1000215
00014A,1000215
00014A,1000215
00014A,1000215
00014A,1000215
00118A,1000216
00118A,1000216
00118A,1000216
00118A,1000216
00118A,1000216
00118A,1000216
00118A,1000216
00118A,1000216
00118A,1000216
00034A,1000218
00034A,1000218
00034A,1000218
00034A,1000218
00034A,1000218
00034A,1000218
00034A,1000218
00034A,1000218
00034A,1000218
00034A,1000218
00214A,1000220
00214A,1000220
00214A,1000220
00214A,1000220
00008A,1000217
00008A,1000217
00008A,1000217
00008A,1000217
00094A,1000219
00094A,1000219
00094A,1000219
00094A,1000219
00094A,1000219
00094A,1000219
00094A,1000219
00094A,1000219
00094A,1000219
00094A,1000219
00094A,1000219
00094A,1000219
00094A,1000219
00124A,1000221
00124A,1000221
00124A,1000221
00200A,1000222
00200A,1000222
00200A,1000222
00200A,1000222
00200A,1000222
00200A,1000222
00200A,1000222
00200A,1000222
00225A,1000223
00225A,1000223
00225A,1000223
00225A,1000223
00225A,1000223
00225A,1000223
00236A,1000224
00236A,1000224
00236A,1000224
00236A,1000224
00236A,1000224
00236A,1000224
00236A,1000224
00236A,1000224
00236A,1000224
00017A,1000225
00017A,1000225
00017A,1000225
00017A,1000225
00017A,1000225
00017A,1000225
00017A,1000225
00075A,1000226
00075A,1000226
00075A,1000226
00075A,1000226
00075A,1000226
00075A,1000226
00075A,1000226
00075A,1000226
00092A,1000227
00092A,1000227
00092A,1000227
00092A,1000227
00092A,1000227
00092A,1000227
00092A,1000227
00092A,1000227
00092A,1000227
00092A,1000227
00017A,1000228
00017A,1000228
00017A,1000228
00017A,1000228
00017A,1000228
00017A,1000228
00017A,1000228
00017A,1000228
00180A,1000229
00180A,1000229
00180A,1000229
00180A,1000229
00180A,1000229
00180A,1000229
00260A,1000230
00260A,1000230
00260A,1000230
00260A,1000230
00260A,1000230
00260A,1000230
00260A,1000230
00260A,1000230
00260A,1000230
00260A,1000230
00032A,1000232
00032A,1000232
00032A,1000232
00108A,1000235
00108A,1000235
00045A,1000233
00045A,1000233
00045A,1000233
00045A,1000233
00045A,1000233
00014A,1000231
00014A,1000231
00014A,1000231
00014A,1000231
00014A,1000231
00014A,1000231
00086A,1000234
00086A,1000234
00086A,1000234
00086A,1000234
00086A,1000234
00086A,1000234
00086A,1000234
00086A,1000234
00086A,1000234
00086A,1000234
00086A,1000234
00086A,1000234
00086A,1000234
00268A,1000236
00268A,1000236
00268A,1000236
00268A,1000236
00268A,1000236
00268A,1000236
00268A,1000236
00052A,1000238
00110A,1000239
00110A,1000239
00044A,1000237
00044A,1000237
00044A,1000237
00044A,1000237
00044A,1000237
00044A,1000237
00044A,1000237
00044A,1000237
00024A,1000240
00024A,1000240
00024A,1000240
00024A,1000240
00024A,1000240
00087A,1000241
00087A,1000241
00200A,1000244
00200A,1000244
00200A,1000244
00200A,1000244
00200A,1000244
00200A,1000244
00200A,1000244
00200A,1000244
00238A,1000245
00238A,1000245
00238A,1000245
00238A,1000245
00238A,1000245
00238A,1000245
00238A,1000245
00238A,1000245
00238A,1000245
00238A,1000245
00192A,1000243
00192A,1000243
00192A,1000243
00192A,1000243
00192A,1000243
00192A,1000243
00192A,1000243
00192A,1000243
00043A,1000242
00043A,1000242
00043A,1000242
00043A,1000242
00043A,1000242
00043A,1000242
00043A,1000242
00043A,1000242
00043A,1000242
00024A,1000246
00030A,1000247
00030A,1000247
00030A,1000247
00030A,1000247
00030A,1000247
00030A,1000247
00030A,1000247
00030A,1000247
00030A,1000247
00030A,1000247
00030A,1000247
00198A,1000249
00198A,1000249
00198A,1000249
00198A,1000249
00198A,1000249
00198A,1000249
00052A,1000248
00052A,1000248
00052A,1000248
00052A,1000248
00052A,1000248
00052A,1000248
00052A,1000248
00052A,1000248
00052A,1000248
00052A,1000248
00052A,1000248
00052A,1000248
00052A,1000248
00146A,1000251
00146A,1000251
00146A,1000251
00146A,1000251
00088A,1000250
00088A,1000250
00088A,1000250
00088A,1000250
00088A,1000250
00088A,1000250
00088A,1000250
00088A,1000250
00088A,1000250
00088A,1000250
00088A,1000250
00088A,1000250
00088A,1000250
00231A,1000253
00231A,1000253
00231A,1000253
00231A,1000253
00268A,1000254
00268A,1000254
00268A,1000254
00268A,1000254
00268A,1000254
00268A,1000254
00268A,1000254
00268A,1000254
00087A,1000252
00087A,1000252
00087A,1000252
00087A,1000252
00087A,1000252
00087A,1000252
00087A,1000252
00087A,1000252
00112A,1000257
00112A,1000257
00112A,1000257
00112A,1000257
00112A,1000257
00112A,1000257
00164A,1000259
00164A,1000259
00164A,1000259
00164A,1000259
00217A,1000260
00217A,1000260
00084A,1000256
00084A,1000256
00084A,1000256
00084A,1000256
00084A,1000256
00032A,1000255
00032A,1000255
00032A,1000255
00032A,1000255
00032A,1000255
00120A,1000258
00120A,1000258
00120A,1000258
00190A,1000262
00190A,1000262
00190A,1000262
00190A,1000262
00190A,1000262
00171A,1000261
00171A,1000261
00171A,1000261
00171A,1000261
00171A,1000261
00171A,1000261
00121A,1000266
00121A,1000266
00121A,1000266
00121A,1000266
00121A,1000266
00121A,1000266
00121A,1000266
00121A,1000266
00032A,1000263
00032A,1000263
00032A,1000263
00032A,1000263
00032A,1000263
00032A,1000263
00032A,1000263
00032A,1000263
00032A,1000263
00032A,1000263
00032A,1000263
00147A,1000267
00147A,1000267
00147A,1000267
00034A,1000264
00034A,1000264
00034A,1000264
00034A,1000264
00034A,1000264
00034A,1000264
00034A,1000264
00034A,1000264
00034A,1000264
00034A,1000264
00034A,1000264
00034A,1000264
00034A,1000264
00063A,1000265
00063A,1000265
00063A,1000265
00063A,1000265
00063A,1000265
00063A,1000265
00063A,1000265
00063A,1000265
00063A,1000265
00063A,1000265
00063A,1000265
00230A,1000272
00230A,1000272
00230A,1000272
00230A,1000272
00230A,1000272
00251A,1000273
00251A,1000273
00251A,1000273
00251A,1000273
00251A,1000273
00251A,1000273
00170A,1000270
00170A,1000270
00170A,1000270
00170A,1000270
00170A,1000270
00223A,1000271
00223A,1000271
00223A,1000271
00223A,1000271
00223A,1000271
00223A,1000271
00223A,1000271
00084A,1000268
00084A,1000268
00084A,1000268
00084A,1000268
00084A,1000268
