manufacturer,brand,profit
0679,067901,45
0597,059700,31
0147,014701,88
1801,180100,1225
0712,071201,114
1223,122300,100
1148,114803,90
1327,132705,71
0844,084400,430
1610,161001,72
1747,174700,62
0153,015302,72
0749,074904,588
0606,060602,384
1431,143106,490
0984,098404,84
0518,051802,114
0346,034600,108
0745,074501,69
1551,155101,106
0869,086900,57
0799,079901,102
1789,178902,146
1038,103804,80
1862,186203,360
0438,043802,120
1013,101300,113
1175,117501,84
0405,040502,78
0694,069401,71
1705,170501,93
0679,067901,45
0138,013801,75
0565,056500,67
1117,111700,89
1501,150100,62
0578,057800,114
1736,173603,378
1440,144003,375
0412,041201,261
0793,079301,176
0969,096902,141
1032,103200,92
0263,026304,365
0690,069004,123
0701,070100,85
0188,018800,204
0523,052300,570
0109,010905,63
1844,184400,60
0694,069401,71
0887,088701,432
0556,055600,430
0508,050800,52
1110,111001,85
0085,008500,59
1878,187801,142
1880,188002,48
1505,150502,107
0713,071300,89
0983,098300,101
0804,080404,111
1053,105301,690
1221,122103,148
1755,175504,1190
1463,146303,173
0405,040501,87
0690,069004,246
0423,042305,234
1677,167705,79
1293,129301,57
0266,026600,567
0508,050800,312
0542,054202,150
1415,141500,456
1736,173603,315
1889,188903,102
0779,077901,57
0335,033502,321
1151,115101,50
1631,163101,550
0108,010800,263
0227,022700,125
1950,195003,115
1525,152504,285
1516,151601,63
0725,072501,33
0550,055003,107
0085,008500,295
0109,010905,63
0807,080700,222
1995,199502,73
0300,030002,342
0485,048500,33
1148,114804,294
0068,006801,570
1674,167405,70
1789,178902,146
0977,097702,445
0171,017104,169
0713,071300,534
1416,141603,104
0465,046500,305
0530,053001,40
1477,147704,131
0777,077700,108
1994,199404,99
1068,106801,610
1668,166803,413
1340,134000,125
0319,031904,826
1083,108301,62
0573,057301,135
1496,149602,590
1471,147100,53
0678,067800,143
0508,050800,52
0227,022700,625
0717,071700,315
1100,110001,63
0018,001800,76
0894,089401,115
0752,075203,415
1644,164402,648
1193,119302,142
0728,072803,436
0471,047101,648
1633,163302,141
1689,168902,234
0932,093201,60
1729,172900,92
1942,194203,83
0423,042305,78
0191,019104,121
0793,079301,1056
1176,117604,135
0338,033801,55
0707,070700,141
0918,091803,152
1364,136402,82
1145,114501,76
1776,177601,102
1736,173603,63
0140,014000,84
0596,059601,90
1170,117003,200
0578,057800,254
1193,119305,68
0561,056105,158
0109,010905,63
0549,054906,116
0191,019100,121
0918,091803,288
0136,013601,76
1382,138203,151
1646,164603,90
1862,186200,101
0227,022704,108
0405,040501,87
1974,197400,190
0649,064905,131
1649,164901,135
0752,075203,151
1221,122103,740
1919,191900,122
0522,052203,77
0570,057004,111
1659,165902,70
0290,029000,97
1633,163302,141
0369,036900,78
1115,111500,69
0960,096001,49
1223,122300,400
0506,050602,149
0287,028702,42
1788,178802,104
0227,022700,125
0227,022700,375
0522,052203,77
1215,121507,128
1092,109202,600
1007,100700,57
1817,181705,26
0465,046500,61
1378,137803,56
1435,143502,59
0151,015100,396
1090,109003,288
0536,053604,435
1315,131504,84
1492,149204,128
0338,033802,685
0590,059000,109
0482,048203,163
0979,097901,72
0931,093101,99
1501,150100,62
0807,080700,37
1480,148000,90
0158,015803,290
1056,105604,40
1850,185002,41
1527,152705,89
0013,001301,83
0485,048500,33
0178,017803,492
0678,067801,440
1176,117604,810
1221,122103,272
0344,034403,328
0171,017104,845
1915,191500,96
1579,157902,97
0147,014700,100
1735,173500,60
0346,034600,108
0140,014000,84
0561,056105,158
1196,119601,104
0315,031501,252
0312,031203,104
0547,054700,73
0751,075103,165
0876,087602,100
1875,187504,100
0482,048203,163
0623,062301,1188
1720,172003,112
1919,191900,122
1053,105301,115
1110,111001,85
1484,148401,68
0713,071300,89
0407,040704,100
0433,043304,141
1547,154704,93
0969,096902,141
0155,015503,78
0694,069401,71
0918,091803,288
1175,117501,84
0456,045602,678
1894,189400,77
1487,148704,1276
1151,115101,250
0094,009404,87
0956,095603,42
1226,122602,80
1886,188600,119
0094,009404,261
1417,141703,114
1942,194203,83
0934,093400,120
0369,036900,390
0939,093902,60
1090,109003,480
1942,194203,83
0713,071300,89
0344,034403,82
0501,050100,109
0714,071401,60
1315,131504,84
1568,156800,135
1565,156500,118
1781,178102,80
0891,089104,264
0405,040502,78
0353,035306,344
1875,187504,100
1755,175504,238
0712,071201,342
1941,194101,55
0171,017104,169
0188,018800,2094
1776,177603,116
1340,134000,125
0952,095201,516
1376,137605,77
1383,138301,258
1515,151500,540
1258,125804,100
0192,019200,128
0523,052300,342
0485,048500,33
0054,005401,101
1291,129100,81
0302,030201,172
0191,019104,166
1248,124805,70
1826,182601,61
0690,069004,123
1889,188901,336
0854,085400,74
1578,157805,99
0844,084400,86
0674,067402,40
1883,188302,564
1668,166803,59
1444,144403,76
0220,022000,495
0192,019200,128
0586,058602,425
1291,129100,324
0358,035804,90
0341,034102,80
0371,037101,79
1686,168602,122
1548,154802,69
0013,001302,53
1816,181600,36
0707,070700,846
1301,130103,134
1889,188901,2016
1100,110001,63
1080,108004,77
1053,105301,207
0266,026600,189
0508,050800,260
1238,123804,21
0617,061702,75
0138,013801,375
1207,120700,92
0971,097100,65
1677,167705,79
0346,034600,837
1677,167705,474
0193,019301,83
0501,050100,109
0346,034600,279
1435,143502,59
0341,034102,400
0506,050602,149
0235,023501,81
1720,172003,672
1725,172506,175
0104,010400,400
0344,034403,82
1148,114804,490
0813,081303,122
0367,036703,40
1341,134100,28
0934,093400,72
1771,177104,332
1878,187801,142
1248,124805,70
0465,046500,366
1578,157805,1285
0038,003805,147
1226,122602,80
0038,003805,441
1001,100101,117
0416,041600,101
0340,034000,112
1714,171400,792
1193,119302,142
1674,167405,280
1878,187801,426
0320,032001,121
1148,114803,90
0501,050100,545
1378,137803,56
1747,174700,62
1942,194203,83
0547,054700,365
0188,018800,1396
1763,176305,105
1100,110003,80
0854,085400,370
1496,149602,327
1143,114302,108
1100,110001,63
0405,040501,87
1686,168602,122
1480,148000,90
1487,148704,319
1053,105301,207
1124,112402,111
1896,189601,60
0728,072803,622
1579,157902,582
0690,069004,123
1839,183902,94
0983,098300,101
1558,155803,28
0596,059604,74
0108,010800,1052
0675,067503,111
1057,105702,91
0208,020801,558
0694,069401,71
1336,133600,67
1571,157103,85
0533,053304,65
0854,085400,74
1919,191900,854
0508,050800,364
0769,076900,49
0266,026600,367
0151,015100,99
1033,103300,500
0171,017104,1014
1656,165602,496
1487,148704,3582
0371,037101,136
1444,144403,380
1083,108301,62
0663,066302,315
1021,102100,54
1789,178902,146
0788,078801,82
0023,002300,270
1043,104301,155
0876,087602,189
1354,135401,95
0550,055004,510
0597,059700,31
0823,082303,123
1747,174700,62
0442,044204,119
0713,071300,445
0712,071200,168
1100,110001,63
1340,134000,125
1674,167405,70
0104,010401,76
0736,073600,445
0369,036900,78
0585,058501,202
0506,050602,149
0752,075203,151
0894,089401,575
1850,185002,41
1844,184400,60
1674,167405,70
1293,129301,285
1894,189400,77
1258,125804,100
0099,009902,495
1886,188600,595
1776,177601,612
1789,178900,86
1193,119302,142
1839,183902,94
0302,030201,172
1145,114501,76
0370,037000,57
0002,000202,62
1924,192404,99
0371,037101,1250
0188,018800,349
1369,136902,545
0590,059000,109
0616,061601,620
0869,086900,125
1322,132200,104
0438,043802,120
1291,129100,81
0268,026800,762
1716,171603,300
1012,101201,73
0449,044901,69
1496,149603,100
1369,136902,436
0344,034403,82
1955,195503,117
0769,076900,245
1207,120700,774
1854,185406,86
1844,184400,114
0567,056702,98
1117,111700,89
0175,017501,380
0506,050602,1043
1646,164603,90
1496,149602,327
1875,187504,100
0189,018900,303
0969,096902,141
0418,041802,650
1274,127401,110
0188,018800,1745
1353,135300,85
1148,114804,98
1007,100700,57
1293,129301,57
0104,010400,80
1570,157000,52
0546,054605,97
1772,177201,110
0266,026600,2202
1889,188901,1344
1893,189300,201
1293,129301,57
0621,062100,108
1417,141703,196
0109,010905,63
1839,183902,269
0678,067801,528
0542,054202,282
0191,019104,830
0255,025502,97
1115,111500,345
1471,147100,53
1124,112402,111
1148,114804,98
1193,119302,142
0062,006201,83
1714,171400,198
1484,148401,340
0623,062301,198
0542,054202,282
0143,014301,30
0107,010703,87
0227,022700,125
0764,076402,102
1433,143303,380
0670,067001,114
1334,133400,37
1835,183504,56
0308,030800,532
0108,010800,263
0570,057004,555
1921,192103,79
1170,117003,100
1427,142700,51
0565,056500,335
1854,185406,169
0712,071201,456
1261,126101,68
1804,180403,60
1124,112402,111
1705,170502,63
0623,062301,198
1100,110001,63
0153,015302,72
0191,019104,166
0745,074501,69
1896,189601,150
0405,040501,87
0942,094202,146
1148,114804,588
0068,006801,114
1221,122103,272
1012,101201,73
0807,080700,37
1263,126302,276
0179,017901,61
1686,168602,610
1285,128501,645
0869,086900,125
0158,015803,58
0140,014000,239
1571,157103,240
0485,048500,59
1258,125804,100
0171,017104,169
1100,110001,378
0191,019104,166
0769,076900,49
0295,029500,48
0494,049400,76
0969,096902,564
1145,114501,228
1364,136402,82
1221,122103,272
1258,125804,400
0729,072900,60
1133,113302,106
1012,101201,73
1198,119800,1265
1854,185406,1014
1720,172003,112
1772,177201,440
0561,056105,158
0623,062301,1188
1886,188600,119
1347,134702,76
0663,066302,63
1137,113701,762
0891,089104,88
1124,112402,555
1677,167705,79
1376,137605,462
0547,054700,73
0302,030202,96
0282,028200,76
0138,013801,300
0442,044204,119
0471,047101,432
1735,173500,300
0013,001300,422
0713,071300,89
0749,074904,98
0939,093902,360
1033,103300,100
0193,019301,498
0549,054906,116
0788,078801,82
0887,088701,108
1113,111304,57
1974,197403,405
0370,037000,57
0823,082303,123
0929,092901,500
1057,105702,91
0018,001800,456
1380,138005,118
0405,040501,609
1230,123000,102
1853,185300,67
0104,010401,532
0191,019104,166
1943,194300,124
0570,057004,111
1170,117003,100
0140,014000,2112
1322,132200,104
0597,059700,31
0193,019301,83
1207,120700,297
1038,103804,400
1893,189300,201
0112,011201,46
1674,167405,70
0569,056902,141
1510,151003,97
1053,105301,1035
0151,015100,99
0597,059700,31
1322,132200,624
0876,087602,189
1765,176502,56
1974,197403,405
1854,185406,1014
1714,171400,1188
1487,148704,1791
1736,173603,315
1006,100601,72
1674,167405,70
1523,152302,485
1880,188002,486
1444,144403,76
1570,157000,52
1994,199404,284
0904,090400,102
1032,103200,92
1730,173005,47
1369,136902,109
1916,191600,33
0025,002501,460
1610,161001,72
0596,059604,74
0109,010905,63
1482,148204,570
1799,179903,102
0465,046500,244
1771,177104,83
1215,121503,97
0597,059700,52
0745,074501,69
1032,103200,736
1510,151003,485
1942,194203,83
0536,053604,87
0068,006801,114
1482,148204,570
1942,194203,332
1319,131902,318
0745,074501,69
1674,167405,70
0140,014000,2112
0227,022700,125
0471,047101,648
0508,050800,208
0143,014301,30
1639,163900,138
0811,081103,385
0126,012600,65
1400,140000,114
1735,173500,60
0151,015100,594
1013,101300,565
0079,007901,170
0929,092901,100
1566,156600,88
1322,132200,520
0361,036103,678
1376,137605,539
0155,015503,78
1556,155601,88
0025,002501,92
1705,170502,63
0799,079901,102
0361,036103,226
1875,187504,100
1820,182004,218
0302,030202,96
0367,036703,40
1487,148704,6937
1414,141405,61
1765,176502,56
0617,061702,162
1148,114803,90
0506,050602,596
0971,097100,65
1215,121503,97
0745,074501,345
1886,188600,119
0550,055003,107
0578,057800,254
1515,151500,108
1714,171400,594
0227,022704,108
0319,031904,1296
1376,137605,308
0956,095603,42
1776,177601,102
1484,148401,204
1043,104301,311
1896,189601,30
0796,079600,136
0928,092801,270
1886,188600,213
0220,022000,222
1669,166901,108
1893,189300,201
0080,008001,69
1789,178902,146
0013,001301,581
1067,106705,73
1285,128501,129
0578,057800,254
1492,149206,96
0983,098300,404
1921,192103,79
1148,114803,90
1714,171400,198
1444,144403,76
1525,152504,57
0931,093101,99
1001,100100,139
0779,077901,57
0340,034000,672
0207,020700,160
1568,156800,135
1902,190200,540
1207,120700,297
1033,103300,100
0108,010800,263
0227,022700,625
0013,001302,265
0949,094901,93
0482,048203,163
0126,012600,195
0536,053604,435
1193,119302,568
1896,189601,150
0901,090101,275
0931,093101,99
1193,119305,68
1755,175504,1428
0321,032101,74
0565,056500,67
1812,181200,57
0109,010905,63
1124,112400,64
1032,103200,368
0266,026600,367
0844,084400,86
1221,122103,272
0545,054503,31
0554,055401,55
1006,100601,72
0779,077901,57
0026,002605,300
0405,040502,468
0147,014700,100
0442,044204,272
1776,177601,102
1735,173500,60
0522,052201,94
1117,111700,89
0079,007901,34
0358,035804,90
0112,011201,46
1145,114502,122
1987,198701,369
1126,112600,51
1501,150100,62
1886,188600,213
0171,017104,169
1492,149206,181
0165,016502,139
0542,054202,282
1433,143303,76
1714,171400,990
0126,012600,260
0052,005200,90
0085,008500,59
1489,148900,244
0554,055401,55
0518,051802,114
0844,084400,86
0052,005200,90
0934,093400,24
0321,032101,74
1820,182004,109
1903,190301,29
1415,141500,76
0048,004803,88
1053,105300,112
0614,061400,92
0506,050602,149
0052,005200,90
1991,199103,75
1788,178802,312
0921,092100,85
1067,106705,73
1080,108004,308
1717,171700,792
1518,151800,60
1216,121600,400
0407,040704,500
0983,098300,101
0449,044901,414
0869,086900,125
1880,188002,243
0929,092901,100
1310,131000,217
1646,164603,90
1941,194101,580
1714,171400,198
0376,037601,462
0295,029502,74
0506,050602,149
1017,101703,450
1033,103300,100
0590,059000,109
1804,180403,60
1021,102101,255
0207,020700,160
0769,076900,49
0567,056702,1070
1463,146303,431
1565,156500,118
0728,072803,981
1886,188601,148
0779,077901,57
1017,101703,75
0129,012907,50
1501,150100,62
1301,130103,670
0773,077301,505
0107,010703,87
1763,176305,136
0590,059000,109
0523,052300,114
0769,076900,49
1839,183902,1920
0781,078100,68
0844,084400,86
1974,197403,81
1674,167405,258
1994,199404,284
0501,050100,109
0522,052203,77
1339,133901,480
0569,056902,141
1548,154802,69
1057,105702,455
0777,077700,108
1919,191900,122
0061,006101,395
1110,111001,85
1203,120300,82
1649,164901,135
1092,109202,100
0471,047104,104
0518,051802,342
0713,071300,186
0617,061701,43
1301,130103,134
0567,056702,328
1124,112400,320
0844,084401,126
0129,012907,50
1298,129803,94
0061,006101,79
0416,041600,101
0485,048500,59
1894,189400,77
0802,080203,101
0786,078602,109
0471,047104,104
0192,019200,128
1818,181803,70
1889,188901,1968
1844,184400,570
0405,040501,435
0586,058602,170
0151,015100,99
0501,050100,109
1319,131902,53
1537,153702,342
1482,148204,114
0712,071201,114
0956,095603,42
1017,101703,75
1126,112600,51
1196,119601,104
0227,022700,125
0779,077905,315
1799,179903,102
0171,017104,169
1053,105301,207
0752,075203,755
1440,144003,125
1322,132200,104
1226,122600,113
1854,185406,169
0876,087602,1445
0013,001302,122
0013,001300,422
1902,190200,108
0745,074501,207
1880,188002,81
0393,039303,496
0353,035306,258
1198,119800,1518
0023,002300,540
0556,055600,86
0369,036900,221
0369,036900,221
0048,004801,64
1053,105301,207
0171,017104,169
1492,149202,64
1850,185002,41
0048,004803,88
0614,061400,92
0939,093900,83
0344,034403,82
0358,035804,450
0742,074201,44
0147,014701,88
0523,052300,771
1883,188302,376
1994,199404,568
0407,040704,100
0456,045602,452
1341,134100,56
0353,035306,86
0617,061701,93
1053,105300,112
0649,064905,131
0482,048203,163
0407,040704,100
0605,060502,119
1319,131902,53
1765,176502,56
1258,125804,100
1273,127302,101
0690,069004,289
0405,040501,87
1293,129301,57
0153,015302,432
1100,110001,63
0929,092901,212
1772,177202,126
1021,102100,54
0854,085400,74
1466,146600,40
1537,153702,114
1771,177104,581
1509,150903,145
0506,050602,311
0013,001300,422
0407,040704,100
1376,137605,77
0062,006201,83
0605,060502,119
1409,140900,84
0386,038605,142
0728,072803,981
1799,179903,102
0939,093902,60
0729,072900,60
0151,015100,99
0870,087000,127
0290,029000,97
0465,046500,61
1340,134000,625
1471,147100,318
0606,060602,192
0019,001902,115
1565,156500,118
0048,004803,176
1417,141703,1176
1248,124805,350
0438,043802,120
0714,071401,60
0052,005200,90
0316,031601,81
1496,149602,327
1715,171502,410
0606,060602,64
1862,186200,101
1537,153702,798
1006,100601,72
0566,056608,88
1913,191300,84
1376,137605,77
1248,124805,70
0376,037601,385
0340,034000,112
1565,156500,708
0188,018800,1190
1215,121503,97
0175,017501,76
0523,052300,257
0694,069401,426
0729,072900,60
0136,013601,76
0596,059601,450
1853,185300,67
1215,121503,97
1765,176502,224
0107,010703,87
1668,166803,59
0472,047200,540
0846,084604,159
1261,126101,68
0023,002300,90
0604,060401,117
1117,111700,89
0604,060401,117
0578,057800,254
1415,141500,532
1763,176305,136
0295,029502,74
1649,164901,135
1489,148900,122
0266,026600,367
1226,122603,75
0854,085400,74
0612,061203,1092
1215,121503,97
0013,001300,2532
0266,026600,1835
0769,076900,294
0606,060602,64
1570,157000,52
1007,100700,57
1110,111001,425
0713,071300,186
1107,110702,400
1400,140000,114
0013,001302,366
1198,119800,1012
1405,140503,291
0929,092901,212
1258,125804,100
0550,055003,107
0358,035804,90
0518,051802,684
0876,087602,437
0725,072501,33
0472,047200,108
0523,052300,257
0094,009404,87
1310,131000,217
1853,185300,889
0207,020700,160
0235,023501,81
0463,046307,58
1586,158605,618
0393,039303,124
0713,071300,186
1124,112402,111
0129,012907,50
0013,001302,122
0266,026600,1468
0781,078100,408
1151,115102,236
1789,178900,86
1595,159501,139
1427,142700,51
1878,187801,710
0621,062100,108
0604,060401,117
0353,035306,86
1862,186200,101
0266,026600,2202
1875,187504,100
0779,077901,57
1347,134702,76
1565,156500,118
1853,185300,127
1083,108301,62
0147,014701,170
0473,047303,618
0707,070700,141
0522,052203,77
1148,114804,588
0189,018903,348
1574,157403,98
0140,014000,468
1668,166803,59
1154,115400,558
1298,129803,564
1644,164402,324
0013,001300,1106
0107,010703,522
1649,164901,135
0750,075000,80
1238,123804,105
0048,004801,64
0824,082403,59
0745,074501,69
0376,037601,77
0099,009902,99
0591,059107,99
0904,090400,102
1007,100700,57
1730,173005,47
1258,125804,600
1216,121600,80
1327,132700,75
1468,146801,91
0545,054503,31
0614,061400,92
1950,195003,115
1725,172506,700
1804,180403,300
1148,114803,540
0501,050100,763
1477,147704,131
0442,044204,272
1100,110003,80
0370,037000,57
0728,072803,981
1772,177201,110
0549,054906,580
0394,039401,93
0596,059601,90
1376,137605,77
0442,044204,1360
1487,148704,2973
0465,046500,744
1285,128501,129
0353,035306,516
0303,030302,101
0090,009002,83
0263,026304,73
0694,069401,71
1060,106004,468
1258,125804,300
1341,134100,56
1035,103504,84
1610,161001,72
1322,132200,104
0052,005200,204
1501,150100,62
1226,122600,339
1161,116101,125
1725,172506,175
1053,105301,1242
0112,011201,46
1090,109003,96
1684,168403,107
0076,007605,85
1405,140503,388
0023,002300,90
1378,137803,56
0463,046305,25
0344,034403,82
1258,125804,100
1193,119305,68
0506,050602,397
0129,012907,250
1991,199103,75
0518,051802,200
1260,126001,142
0773,077301,101
0126,012600,141
1336,133601,85
0407,040704,500
0694,069401,71
1133,113302,106
1886,188600,213
1525,152504,57
1440,144003,125
1478,147800,99
0604,060401,117
1789,178900,86
0523,052300,257
0320,032001,121
0597,059700,52
0353,035306,134
0158,015803,290
0542,054202,282
0591,059107,99
1415,141500,152
0463,046307,58
0153,015302,360
0547,054700,73
1789,178900,86
1319,131902,53
0799,079901,102
0690,069004,487
1919,191900,122
1755,175504,238
1659,165902,143
0129,012907,50
1285,128501,645
0679,067905,159
0061,006101,79
1556,155601,88
1468,146801,231
0189,018903,696
1878,187801,142
1820,182004,763
1100,110001,63
1463,146303,431
1100,110001,315
1776,177601,102
0463,046307,348
1730,173005,47
0894,089401,115
1987,198701,174
0844,084400,86
1444,144403,76
0844,084401,126
0485,048500,59
0282,028200,76
0208,020801,279
0320,032001,121
0104,010400,80
0581,058102,109
0340,034000,560
1226,122600,565
1427,142700,51
1942,194203,83
0701,070100,510
0054,005400,66
1090,109003,96
1417,141703,233
1677,167705,124
1296,129603,560
1080,108004,154
1556,155601,88
1902,190200,432
1551,155101,106
1755,175504,238
1646,164603,90
0854,085404,49
0361,036103,339
0717,071700,63
0175,017501,76
1574,157403,98
1273,127302,101
1763,176305,136
0371,037101,250
1143,114302,108
0048,004803,440
1886,188601,37
0779,077900,44
1875,187504,100
0423,042305,468
0423,042305,234
1137,113701,508
1649,164901,135
0312,031203,104
0828,082803,352
1739,173902,180
0338,033801,55
1943,194300,620
1007,100700,92
1925,192500,45
1007,100700,92
1684,168403,107
1021,102100,54
1175,117501,420
0523,052300,1542
0188,018800,595
0094,009404,87
1649,164903,504
0769,076900,101
1546,154601,72
0545,054503,49
1556,155601,88
1334,133400,74
1772,177201,110
0386,038605,142
0546,054605,97
1634,163400,97
0465,046500,620
0405,040501,87
0416,041600,101
1170,117003,700
1896,189601,116
1340,134000,125
1835,183504,56
1556,155601,528
0522,052203,77
1378,137803,56
0604,060401,117
0550,055003,107
0952,095201,430
1322,132200,104
0536,053604,87
1943,194300,254
0346,034600,837
1273,127302,283
1489,148900,122
1489,148902,140
0119,011903,68
0712,071201,114
0807,080700,37
0412,041201,435
0376,037601,385
0556,055600,86
0523,052300,257
0024,002400,118
1067,106705,73
0725,072501,198
0508,050800,260
1883,188302,171
0227,022700,125
0678,067801,352
0319,031904,1944
1291,129100,189
1380,138005,118
1021,102100,54
0597,059700,52
1083,108300,123
0573,057301,675
0623,062301,198
1921,192103,79
0054,005404,127
0596,059601,90
0751,075103,55
1624,162401,121
1347,134702,76
0621,062100,108
1987,198701,174
1143,114302,108
0716,071600,137
1844,184400,114
0569,056902,141
1361,136102,83
1686,168602,1788
0369,036901,83
1925,192500,315
1015,101501,57
1336,133601,425
1301,130103,670
0048,004803,88
1083,108301,62
1788,178802,104
