manufacturer,CategoryCode4,totalQuantity,totalAmount
0813,1403,9,4752
0823,1118,55,33657
0824,1101,25,6423
0824,1404,17,5835
0828,1118,16,6064
0828,1202,13,6903
0835,1103,4,1472
0836,1120,4,796
0836,1301,9,5652
0844,1104,84,58489
0844,1119,179,75696
0846,1404,32,7698
0854,1115,36,7596
0854,1301,117,44028
0856,1406,133,65485
0869,1112,112,30466
0870,1101,52,32850
0871,1111,16,7341
0875,1110,18,8262
0876,1108,101,49574
0887,1301,144,80046
0891,1401,16,6064
0894,1406,108,67431
0898,1401,30,15690
0901,1112,62,18143
0904,1107,54,24087
0907,1103,10,3180
0909,1104,26,11940
0910,1403,62,34431
0915,1115,2,996
0918,1402,136,107378
0921,1403,6,2202
0921,1406,16,11913
0928,1101,25,5232
0929,1108,9,3303
0929,1115,120,77963
0931,1115,117,53119
0932,1117,2,516
0934,1402,75,8871
0938,1116,19,7908
0939,1113,147,45768
0939,1401,15,5158
0939,1404,48,18881
0942,1105,9,5679
0949,1406,92,39816
0951,1112,25,10900
0952,1106,39,14508
0956,1101,92,17314
0960,1110,51,16575
0960,1406,33,9288
0967,1301,4,1272
0969,1115,80,49738
0971,1301,119,38610
0976,1302,12,5796
0977,1114,39,15122
0979,1301,12,3708
0983,1401,125,60504
0984,1105,4,1444
0996,1111,36,12588
0997,1116,4,1884
1001,1103,16,8096
1001,1108,18,12112
1001,1115,51,34926
1006,1101,123,46127
1007,1104,149,48275
1012,1116,29,9377
1013,1105,129,73690
1013,1115,23,5957
1015,1115,22,5434
1017,1301,183,78594
1021,1101,175,46822
1021,1105,77,18735
1024,1197,1,268
1032,1105,145,68083
1033,1301,140,68721
1034,1110,11,2475
1035,1104,13,4719
1038,1403,16,5796
1043,1406,37,25467
1053,1101,75,36375
1053,1108,4,1288
1053,1406,152,102618
1056,1301,72,12755
1057,1104,110,60108
1060,1121,16,5376
1067,1101,110,48408
1068,1401,28,14874
1077,1107,20,7138
1080,1103,153,56191
1083,1113,67,19764
1083,1121,160,98559
1090,1102,91,39823
1092,1403,28,12504
1100,1105,44,15614
1100,1403,223,81331
1107,1119,107,37951
1108,1104,16,8352
1110,1105,86,34483
1113,1107,37,9322
1115,1301,70,20908
1117,1119,200,86347
1124,1101,112,31244
1124,1115,75,42218
1126,1101,22,4958
1133,1118,133,67016
1136,1116,25,6125
1137,1303,109,63247
1139,1121,14,5488
1143,1403,133,71094
1145,1102,130,46036
1145,1118,25,13766
1148,1112,132,64251
1148,1404,114,47235
1151,1101,1,333
1151,1197,54,35605
1151,1406,65,15316
1154,1118,40,16116
1157,1301,14,6888
1158,1103,46,10787
1160,1101,18,8244
1161,1104,9,4851
1170,1115,58,26390
1172,1197,4,2332
1175,1106,125,48065
1176,1402,24,14040
1188,1121,12,6216
1193,1103,110,33998
1193,1104,103,68006
1195,1301,26,10816
1196,1403,55,25900
1198,1101,152,80227
1202,1301,9,4167
1203,1107,20,7308
1203,1115,26,17366
1207,1112,2,1038
1207,1115,160,82114
1213,1403,6,2730
1215,1121,37,20862
1215,1406,221,130284
1216,1121,139,49685
1221,1105,119,45575
1221,1119,43,23396
1223,1111,75,34123
1226,1104,131,79764
1226,1113,14,4894
1226,1301,36,11892
1229,1105,90,54732
1229,1107,13,3601
1230,1302,71,36939
1238,1108,88,9503
1241,1118,18,3852
1248,1304,87,28933
1258,1105,205,111843
1259,1101,10,4220
1260,1112,72,44208
1261,1102,185,63294
1263,1102,157,54245
1273,1119,55,25168
1274,1105,40,19040
1285,1105,147,96675
1287,1102,129,47017
1290,1403,10,4270
1290,1406,12,3671
1291,1403,152,65443
1293,1301,110,32776
1296,1116,78,27306
1298,1120,120,55124
1301,1301,105,70748
1310,1301,146,90847
1315,1108,101,30503
1318,1105,15,7920
1318,1406,10,3310
1319,1110,87,20159
1322,1101,194,113376
1325,1113,4,1624
1327,1116,68,22566
1327,1119,111,36536
1327,1121,3,957
1327,1403,16,5936
1334,1110,118,22533
1336,1119,128,54994
1336,1404,55,17698
1339,1113,11,3806
1340,1106,138,93288
1341,1118,140,24658
1347,1116,41,15641
1353,1101,68,26495
1354,1406,4,1640
1361,1115,104,40565
1364,1112,155,71521
1369,1110,89,44822
1376,1401,155,62290
1378,1119,177,54970
1378,1121,36,14585
1380,1302,38,20426
1382,1301,66,46666
1383,1406,131,76248
1393,1401,6,2148
1400,1112,119,68955
1403,1104,15,10896
1404,1101,12,6396
1404,1116,18,8319
1405,1121,145,68349
1409,1107,44,16804
1410,1120,14,5698
1414,1101,8,832
1414,1406,29,7598
1415,1119,72,24720
1416,1203,10,4495
1417,1113,125,42678
1421,1406,144,94907
1424,1197,24,9552
1427,1301,81,19569
1429,1105,12,4620
1430,1112,47,16262
1431,1121,90,40388
1433,1102,38,12646
1435,1406,52,15733
1440,1101,85,47791
1441,1119,26,10321
1444,1112,164,65188
1454,1302,38,14592
1454,1401,12,6792
1463,1104,111,93510
1466,1115,28,5251
1468,1304,127,59086
1471,1111,52,13538
1472,1404,16,5808
1475,1406,23,10419
1477,1119,87,57348
1478,1115,33,14798
1480,1107,91,40723
1482,1301,86,24155
1483,1202,49,17815
1484,1111,161,54249
1487,1107,153,96618
1489,1107,25,15125
1489,1401,175,110642
1492,1101,35,9695
1492,1301,141,67440
1492,1401,12,6858
1496,1108,11,4763
1496,1111,194,136084
1501,1403,104,29704
1505,1402,53,24433
1508,1117,32,22870
1509,1115,4,2512
1509,1119,12,5722
1510,1103,61,25912
1515,1104,11,3658
1515,1106,8,3848
1515,1402,50,23400
1516,1110,65,20276
1517,1105,4,1672
1518,1406,9,2340
1523,1104,80,37997
1525,1403,82,22242
1527,1116,89,40037
1537,1304,98,50078
1546,1105,11,3432
1546,1113,1,548
1547,1106,11,4433
1548,1110,102,32455
1551,1403,47,25536
1556,1118,195,92754
1558,1101,34,19878
1558,1119,104,22643
1565,1104,133,78384
1566,1102,77,31129
1568,1111,58,37449
1568,1114,45,20409
1570,1108,43,19935
1570,1497,148,53442
1571,1115,39,14933
1574,1105,139,71219
1578,1101,87,40275
1579,1102,66,31095
1586,1115,26,11636
1595,1402,57,36519
1610,1403,155,56479
1613,1403,78,43884
1624,1105,87,52410
1628,1101,2,848
1631,1119,33,16014
1632,1401,58,17116
1633,1403,100,77094
1634,1404,34,14246
1639,1406,103,66444
1644,1119,87,50681
1646,1119,135,56116
1649,1104,18,5598
1649,1116,153,101489
1651,1112,23,7544
1653,1115,15,6990
1656,1113,37,19869
1658,1105,7,3297
1659,1107,181,75820
1659,1113,17,12291
1662,1105,55,25936
1668,1120,127,38999
1669,1115,100,51576
1674,1406,201,84344
1677,1301,141,64804
1682,1105,12,6264
1684,1121,39,18710
1686,1304,61,39011
1689,1302,39,8369
1689,1406,7,1169
1690,1301,10,5270
1705,1101,153,52684
1705,1117,177,110144
1714,1406,176,96935
1715,1111,32,12348
1716,1108,74,31716
1717,1404,92,57368
1720,1110,125,48743
1725,1105,48,29342
1725,1107,1,236
1725,1116,29,13107
1725,1201,141,65328
1729,1107,21,8653
1730,1406,40,13630
1730,1497,64,13552
1734,1406,23,5934
1735,1102,87,26458
1736,1116,124,41406
1739,1111,18,3456
1747,1301,8,4552
1747,1406,36,11117
1749,1302,12,5040
1755,1113,137,61751
1760,1118,16,8832
1763,1106,147,41941
1765,1101,118,30983
1765,1107,2,1012
1770,1121,53,25175
1771,1111,130,48432
1772,1113,75,43988
1772,1301,98,57395
1776,1116,136,71587
1776,1301,8,4418
1781,1301,51,17668
1788,1403,93,47886
1789,1106,55,34830
1789,1403,108,44664
1799,1406,116,62908
1801,1115,65,44576
1804,1401,133,41284
1808,1121,8,3480
1811,1111,42,15198
1812,1118,119,36131
1816,1108,55,9065
1817,1403,65,7897
1818,1401,25,7976
1819,1115,9,3762
1820,1101,34,16014
1826,1108,10,2640
1835,1111,40,10440
1839,1301,92,52479
1844,1105,149,42446
1844,1301,14,8400
1850,1113,69,12967
1853,1121,133,43874
1854,1120,121,49527
1860,1107,12,3156
1862,1104,141,72594
1862,1114,55,18283
1869,1112,20,9360
1875,1401,82,40530
1878,1297,80,51847
1880,1115,106,27831
1883,1110,89,38738
1884,1102,42,15490
1886,1121,52,8616
1886,1301,183,114677
1889,1105,223,181489
1889,1111,31,13778
1893,1301,76,36942
1894,1406,75,29737
1895,1101,57,33180
1896,1103,184,28704
1898,1113,8,3416
1902,1115,218,104645
1903,1403,121,17257
1908,1118,140,53427
1913,1110,71,25702
1915,1115,9,3717
1916,1401,20,2800
1918,1101,9,3600
1919,1103,255,203362
1921,1301,26,8840
1924,1197,22,9590
1925,1401,129,28557
1941,1403,40,10151
1942,1101,118,48250
1943,1117,132,93286
1944,1404,11,4422
1950,1301,100,60937
1953,1402,81,38727
1955,1110,141,87729
1962,1401,1,333
1974,1114,55,22886
1974,1402,68,24582
1987,1404,163,50426
1991,1113,50,16509
1994,1101,84,44514
1995,1104,9,2844
